순위,관광지명,주소,분류,외지인 검색 수
1,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑센터,477120
2,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,472746
3,김해공항국내선청사,부산 강서구 공항진입로 108-0,공항,436021
4,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑센터,332628
5,이케아동부산점,부산 기장군 동부산관광3로 17-0,쇼핑센터,331950
6,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑센터,290448
7,코스트코홀세일부산점,부산 수영구 구락로 137-0,쇼핑센터,267885
8,김해국제공항,부산 강서구 공항진입로 108-0,공항,264494
9,송정해수욕장,부산 해운대구 송정해변로 62-0,해수욕장,246841
10,광안리해수욕장,부산 수영구 광안해변로 219-0,해수욕장,227627
11,해운대해수욕장,부산 해운대구 해운대해변로 264-0,해수욕장,220314
12,롯데백화점광복점,부산 중구 중앙대로 2-0,쇼핑센터,170610
13,해동용궁사,부산 기장군 용궁길 86-0,절,164603
14,이마트트레이더스연산점,부산 연제구 좌수영로 241-0,쇼핑센터,162797
15,아난티힐튼부산,부산 기장군 기장해안로 268-32,호텔,148413
16,다대포해수욕장,부산 사하구 몰운대1길 14-0,해수욕장,145691
17,NC백화점서면점,부산 부산진구 동천로 92-0,쇼핑센터,140004
18,기장시장,부산 기장군 읍내로104번길 16-0,재래시장,121400
19,스타필드시티명지,부산 강서구 명지국제6로 168-0,쇼핑센터,121146
20,BEXCO,부산 해운대구 APEC로 55-0,전시장,116595
21,반여농산물도매시장,부산 해운대구 수영강변대로 626-0,농수축산물시장,113600
22,이마트트레이더스명지점,부산 강서구 명지국제6로 168-0,쇼핑센터,113553
23,송도해수욕장,부산 서구,해수욕장,113430
24,태종대,부산 영도구 전망로 24-0,문화유적지,105039
25,롯데백화점동래점,부산 동래구 중앙대로 1393-0,쇼핑센터,104089
26,파라다이스호텔부산,부산 해운대구 해운대해변로 296-0,호텔,102897
27,국제시장,부산 중구 국제시장2길 25-0,종합시장,98932
28,이마트트레이더스서면점,부산 부산진구 시민공원로 31-0,쇼핑센터,95049
29,이마트해운대점,부산 해운대구 좌동순환로 511-0,쇼핑센터,94912
30,자갈치시장,부산 중구 자갈치해안로 52-0,농수축산물시장,89655
31,일광해수욕장,부산 기장군 삼성3길 0-0,해수욕장,88989
32,롯데마트화명점,부산 북구 화명대로 47-0,쇼핑센터,87949
33,이마트문현점,부산 남구 전포대로91번길 47-0,쇼핑센터,86412
34,한화리조트해운대,부산 해운대구 마린시티3로 52-0,콘도/리조트,81067
35,메가마트동래점,부산 동래구 충렬대로 197-0,쇼핑센터,79177
36,부산진시장,부산 동구,재래시장,77414
37,이마트금정점,부산 금정구 중앙대로1841번길 24-0,쇼핑센터,76577
38,대변항,부산 기장군 기장해안로 0-0,항구,74237
39,부산시민공원,부산 부산진구 시민공원로 73-0,공원,73943
40,신세계센텀시티몰,부산 해운대구 센텀4로 15-0,쇼핑센터,72877
41,이마트연제점,부산 연제구 연수로 89-0,쇼핑센터,71818
42,범어사,부산 금정구 범어사로 250-0,절,70531
43,현대백화점부산점,부산 동구 범일로 125-0,쇼핑센터,69733
44,엄궁농산물도매시장,부산 사상구 농산물시장로9번길 11-0,농수축산물시장,67821
45,이마트사상점,부산 사상구 광장로 17-0,쇼핑센터,67518
46,롯데백화점센텀시티점,부산 해운대구 센텀남대로 59-0,쇼핑센터,64948
47,신선대부두,부산 남구,항구,61142
48,기장해녀촌,부산 기장군 연화1길 184-0,관광명소기타,60867
49,파크하얏트부산호텔,부산 해운대구 마린시티1로 51-0,호텔,59141
50,홈플러스아시아드점,부산 연제구 종합운동장로 7-0,쇼핑센터,58662
51,해운대달맞이길,부산 해운대구 달맞이길 0-0,드라이브코스,58344
52,부산어린이대공원,부산 부산진구 새싹로 295-0,테마파크,57969
53,삼락생태공원,부산 사상구,공원,56907
54,웨스틴조선호텔부산,부산 해운대구 동백로 67-0,호텔,56017
55,송도해상케이블카,부산 서구 송도해변로 171-0,관광명소기타,56006
56,홈플러스가야점,부산 부산진구 가야대로 506-0,쇼핑센터,55253
57,홈플러스부산정관점,부산 기장군 정관5로 50-0,쇼핑센터,54335
