순위,관광지명,주소,분류,현지인 검색 수
1,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑센터,77563
2,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑센터,41337
3,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,37866
4,송정해수욕장,부산 해운대구 송정해변로 62-0,해수욕장,35941
5,다대포해수욕장,부산 사하구 몰운대1길 14-0,해수욕장,35854
6,이마트해운대점,부산 해운대구 좌동순환로 511-0,쇼핑센터,35818
7,김해공항국내선청사,부산 강서구 공항진입로 108-0,공항,35168
8,김해국제공항,부산 강서구 공항진입로 108-0,공항,34253
9,반여농산물도매시장,부산 해운대구 수영강변대로 626-0,농수축산물시장,32242
10,롯데마트화명점,부산 북구 화명대로 47-0,쇼핑센터,28899
11,NC백화점서면점,부산 부산진구 동천로 92-0,쇼핑센터,27865
12,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑센터,25424
13,스타필드시티명지,부산 강서구 명지국제6로 168-0,쇼핑센터,24808
14,코스트코홀세일부산점,부산 수영구 구락로 137-0,쇼핑센터,23549
15,기장시장,부산 기장군 읍내로104번길 16-0,재래시장,22918
16,롯데백화점동래점,부산 동래구 중앙대로 1393-0,쇼핑센터,22255
17,부산신항,부산 강서구 신항남로 330-0,항구,21675
18,이마트금정점,부산 금정구 중앙대로1841번길 24-0,쇼핑센터,21421
19,이마트문현점,부산 남구 전포대로91번길 47-0,쇼핑센터,21172
20,이마트트레이더스서면점,부산 부산진구 시민공원로 31-0,쇼핑센터,20365
21,이케아동부산점,부산 기장군 동부산관광3로 17-0,쇼핑센터,19373
22,이마트트레이더스연산점,부산 연제구 좌수영로 241-0,쇼핑센터,19025
23,홈플러스부산정관점,부산 기장군 정관5로 50-0,쇼핑센터,18899
24,메가마트동래점,부산 동래구 충렬대로 197-0,쇼핑센터,17811
25,홈플러스가야점,부산 부산진구 가야대로 506-0,쇼핑센터,17180
26,해운대해수욕장,부산 해운대구 해운대해변로 264-0,해수욕장,17000
27,이마트연제점,부산 연제구 연수로 89-0,쇼핑센터,16997
28,신선대부두,부산 남구,항구,16690
29,이마트트레이더스명지점,부산 강서구 명지국제6로 168-0,쇼핑센터,16656
30,BEXCO,부산 해운대구 APEC로 55-0,전시장,16583
31,부산어린이대공원,부산 부산진구 새싹로 295-0,테마파크,16532
32,부산산업용품유통상가,부산 사상구 괘감로 37-0,쇼핑기타,16306
33,부산신항국제터미널,부산 강서구 신항남로 330-0,항구,16205
34,홈플러스센텀시티점,부산 해운대구 센텀동로 6-0,쇼핑센터,16011
35,롯데백화점센텀시티점,부산 해운대구 센텀남대로 59-0,쇼핑센터,15484
36,이마트사상점,부산 사상구 광장로 17-0,쇼핑센터,14746
37,NC백화점해운대점,부산 해운대구 해운대로 813-0,쇼핑센터,14549
38,엄궁농산물도매시장,부산 사상구 농산물시장로9번길 11-0,농수축산물시장,14227
39,해운대센텀호텔,부산 해운대구 센텀3로 20-0,호텔,14116
40,부산시민공원,부산 부산진구 시민공원로 73-0,공원,13799
41,광안리해수욕장,부산 수영구 광안해변로 219-0,해수욕장,13263
42,아트몰링하단점,부산 사하구 낙동남로 1413-0,쇼핑센터,13166
43,파라다이스호텔부산,부산 해운대구 해운대해변로 296-0,호텔,13158
44,홈플러스아시아드점,부산 연제구 종합운동장로 7-0,쇼핑센터,12833
45,신세계센텀시티몰,부산 해운대구 센텀4로 15-0,쇼핑센터,12504
46,범어사,부산 금정구 범어사로 250-0,절,12360
47,사직야구장,부산 동래구 사직로 45-0,운동장,11894
48,팔레드시즈,부산 해운대구 해운대해변로298번길 24-0,콘도/리조트,11826
49,롯데마트부산점,부산 부산진구 신천대로 241-0,쇼핑센터,11758
50,구덕종합운동장,부산 서구 망양로 57-0,운동장,11188
51,송도해수욕장,부산 서구,해수욕장,11071
52,부산신항만,부산 강서구 신항남로 330-0,항구,10786
53,해운대구문화복합센터,부산 해운대구 센텀중앙로 170-0,문화생활시설기타,10769
54,선프라자,부산 해운대구 마린시티3로 1-0,쇼핑기타,10494
55,스포원파크,부산 금정구 체육공원로399번길 324-0,공원,10402
56,일광해수욕장,부산 기장군 삼성3길 0-0,해수욕장,10359
57,제니스스퀘어,부산 해운대구 마린시티2로 33-0,쇼핑기타,10124
58,메가마트남천점,부산 수영구 황령대로 521-0,쇼핑센터,9890
59,홈플러스부산연산점,부산 연제구 반송로 88-0,쇼핑센터,9824
60,장림시장,부산 사하구 장림시장3길 77-0,재래시장,9400
61,아난티힐튼부산,부산 기장군 기장해안로 268-32,호텔,9353
62,부산요트경기장,부산 해운대구 해운대해변로 84-0,수상해양스포츠,8979
63,홈플러스해운대점,부산 해운대구 해운대해변로 140-0,쇼핑센터,8970
64,부산광역시립반송도서관,부산 해운대구 아랫반송로 22-0,문화생활시설기타,8915
65,한화리조트해운대,부산 해운대구 마린시티3로 52-0,콘도/리조트,8752
66,롯데마트사하점,부산 사하구 을숙도대로 610-0,쇼핑센터,8462
67,좌동재래시장,부산 해운대구 좌동로91번길 20-0,재래시장,8369
68,뉴코아아울렛덕천점,부산 북구 만덕대로 23-0,쇼핑센터,8026
69,삼락생태공원,부산 사상구,공원,7992
70,롯데백화점광복점,부산 중구 중앙대로 2-0,쇼핑센터,7965
71,홈플러스동래점,부산 동래구 중앙대로 1523-0,쇼핑센터,7957
72,롯데마트사상점,부산 사상구 낙동대로 733-0,쇼핑센터,7709
73,홈플러스부산감만점,부산 남구 우암로 124-0,쇼핑센터,7585
74,뉴코아아울렛괴정점,부산 사하구 사하로 190-0,쇼핑센터,7523
75,현대백화점부산점,부산 동구 범일로 125-0,쇼핑센터,7393
76,렛츠런파크부산경남,부산 강서구 가락대로 929-0,경마장,7365
77,부산진시장,부산 동구,재래시장,7363
78,화명생태공원,부산 북구,공원,7345
79,W스퀘어,부산 남구 분포로 145-0,쇼핑센터,7334
80,허심청,부산 동래구 온천장로107번길 32-0,온천,7264
81,파크하얏트부산호텔,부산 해운대구 마린시티1로 51-0,호텔,7220
82,르네시떼,부산 사상구 광장로 7-0,쇼핑센터,7151
83,부전시장,부산 부산진구 중앙대로783번길 23-0,재래시장,7090
