순위,관광지명,주소,분류,외지인 검색 수
1,김해공항국내선청사,부산 강서구 공항진입로 108-0,공항,436021
2,김해국제공항,부산 강서구 공항진입로 108-0,공항,264494
3,스타필드시티명지,부산 강서구 명지국제6로 168-0,쇼핑센터,121146
4,이마트트레이더스명지점,부산 강서구 명지국제6로 168-0,쇼핑센터,113553
5,부산신항,부산 강서구 신항남로 330-0,항구,45084
6,부산신항국제터미널,부산 강서구 신항남로 330-0,항구,37275
7,렛츠런파크부산경남,부산 강서구 가락대로 929-0,경마장,36508
8,대저생태공원,부산 강서구,공원,34530
9,강서체육공원,부산 강서구 체육공원로 43-0,공원,27572
10,부산신항만,부산 강서구 신항남로 330-0,항구,24194
11,신라스테이서부산,부산 강서구 명지국제7로 38-0,호텔,23628
12,맥도생태공원,부산 강서구 공항로 500-0,공원,20542
13,천성항,부산 강서구,항구,16868
14,대저캠핑장,부산 강서구,캠프장,16618
15,가덕도,부산 강서구,섬,15483
16,하이스트CC,부산 강서구 과학산단1로 172-0,골프장,13011
17,천성항방파제등대,부산 강서구,등대,12886
18,롯데시네마부산명지,부산 강서구 명지국제6로 107-0,극장,12283
19,해라CC,부산 강서구 과학산단로306번길 77-0,골프장,11953
20,낚시밸리,부산 강서구 미음국제2로가길 29-0,낚시,11599
21,강서브라이트센터,부산 강서구 공항로811번길 10-0,문화생활시설기타,10571
22,다이소부산명지국제신도시점,부산 강서구 명지국제8로 237-0,쇼핑기타,10025
23,가덕도대항인공동굴,부산 강서구,동굴,9754
24,명지시장,부산 강서구 신포길 13-9,재래시장,8384
25,부산강서기적의도서관,부산 강서구 명지오션시티10로 80-0,문화생활시설기타,7869
26,다이소부산명지오션시티점,부산 강서구 명지오션시티4로 87-0,쇼핑기타,6975
27,새바지방파제,부산 강서구,방파제,6868
28,대항방파제,부산 강서구,방파제,6642
29,CUE오션블루휴게소가덕점,부산 강서구 거가대로 2571-0,쇼핑기타,5955
30,건축자재유통단지,부산 강서구 유통단지1로 76-0,쇼핑기타,5790
31,명지시장활어센터,부산 강서구 신포길 13-9,농수축산물시장,5360
32,녹산고향동산,부산 강서구,공원,5187
33,명지동근린공원,부산 강서구 명지오션시티7로 30-0,공원,5144
34,피싱마트21,부산 강서구 미음산단로8번길 6-0,낚시,4930
35,롯데슈퍼명지점,부산 강서구 명지오션시티10로 16-0,쇼핑기타,4881
36,부산축산농협한우프라자,부산 강서구 낙동남로 446-1,쇼핑기타,4542
37,씨엘오션호텔,부산 강서구 명지국제6로34번길 22-0,호텔,4509
38,에코팰리스,부산 강서구 명지국제2로28번길 34-0,쇼핑기타,4369
39,김해체력단련장,부산 강서구,골프장,4271
40,가덕도선착장,부산 강서구,항구,4188
40,국군복지단해성마트,부산 강서구 공항진입로42번길 20-0,쇼핑기타,4188
42,넘버25호텔명지서부지청점,부산 강서구 명지국제2로28번길 7-0,호텔,4119
43,명지오이아호텔,부산 강서구 명지국제6로1번길 24-0,호텔,4108
44,우리마트신호점,부산 강서구 신호산단2로27번길 23-0,쇼핑기타,3976
45,명지레포츠센터,부산 강서구 명지오션시티13로 12-11,레저/스포츠기타,3830
46,뉴오션골프연습장,부산 강서구 르노삼성대로 630-0,골프장,3677
47,베스트루이스해밀턴호텔서부산점,부산 강서구 범방3로29번길 6-0,호텔,3559
48,메가탑마트,부산 강서구 명지국제1로 56-3,쇼핑기타,3526
49,가덕도등대,부산 강서구 가덕해안로 1237-0,등대,3511
50,연대봉,부산 강서구,명산,3507
51,반누리반품닷컴서부산점,부산 강서구 유통단지1로57번가길 67-0,쇼핑기타,3465
52,트렉스타녹산상설매장,부산 강서구 녹산산업중로192번길 10-0,쇼핑기타,3395
53,대항항포진지,부산 강서구,동굴,3388
54,브라운도트호텔명지점,부산 강서구 르노삼성대로 576-6,모텔/여관,3369
55,브라운도트호텔신호점,부산 강서구 신호산단1로72번길 33-0,모텔/여관,3356
56,신호공원축구장,부산 강서구,운동장,3272
57,국회부산도서관건축중(2022년02월개관예정),부산 강서구 명지국제1로 161-0,문화생활시설기타,3232
58,대저수문,부산 강서구 공항로 1516-0,관광명소기타,3195
59,신호공원,부산 강서구,공원,3126
60,원업배드민턴센터,부산 강서구 대저로3번길 106-0,레저/스포츠기타,3063
61,대저수문생태공원,부산 강서구,공원,2976
62,대항선착장,부산 강서구 가덕해안로 0-0,항구,2887
63,서린골프클럽,부산 강서구 명지국제1로 60-1,골프장,2865
64,윤성피싱샵부산점,부산 강서구 대저로155번길 11-0,낚시,2765
65,호텔오유,부산 강서구 명지국제6로 21-0,호텔,2749
66,울림공원,부산 강서구 명지국제6로318번길 77-0,공원,2741
67,더포인트호텔서부지청점,부산 강서구 명지국제2로28번길 8-0,호텔,2671
68,우리마트지사점,부산 강서구 과학산단2로10번길 31-0,쇼핑기타,2635
69,영도우리마트명지점,부산 강서구 명지오션시티12로 92-0,쇼핑기타,2633
70,에어풋살파크,부산 강서구 강동신덕1길 6-0,운동장,2619
71,GDR아카데미부산명지점,부산 강서구 명지국제2로28번길 23-0,골프장,2563
72,강동배드민턴센터,부산 강서구 낙동북로126번길 56-0,레저/스포츠기타,2555
73,굿프라임호텔,부산 강서구 과학산단2로 12-0,모텔/여관,2551
74,삼영엠티생곡지점,부산 강서구 생곡산단1로 28-0,쇼핑기타,2475
75,외양포일본군포진지,부산 강서구 가덕해안로 1309-0,관광명소기타,2457
76,JK모텔,부산 강서구 르노삼성대로 590-0,모텔/여관,2434
77,바이크런,부산 강서구 낙동남로 636-0,쇼핑기타,2386
78,제이티프라자,부산 강서구 명지국제1로 56-2,쇼핑기타,2369
79,발렌시아CF풋살파크,부산 강서구,레저/스포츠기타,2332
80,조이배드민턴센터,부산 강서구 대저로89번가길 59-0,레저/스포츠기타,2326
81,보람공원,부산 강서구 녹산산단262로14번길 20-0,공원,2300
82,네오웨스턴스퀘어,부산 강서구 명지국제2로28번길 23-0,쇼핑기타,2241
83,부산배드민턴센터,부산 강서구 낙동북로 41-0,레저/스포츠기타,2213
84,헤르몬호텔,부산 강서구 과학산단2로10번길 23-0,호텔,2182
85,더델타배드민턴센터,부산 강서구 공항앞길85번길 68-0,레저/스포츠기타,2116
86,대항전망대,부산 강서구,전망대,2112
87,캠핑트렁크부산명지점,부산 강서구 명지국제12로 52-0,쇼핑기타,2091
88,외항포항,부산 강서구,항구,2012
89,녹산수문아울렛패션거리,부산 강서구 낙동남로 657-0,살거리기타,2005
90,델타루,부산 강서구,전망대,1970
91,새바지항,부산 강서구,항구,1949
92,신항만낚시,부산 강서구,낚시,1903
93,오션시티호텔,부산 강서구 명지오션시티3로 37-0,모텔/여관,1892
94,블랑호텔,부산 강서구 신호산단1로217번길 10-0,모텔/여관,1884
95,더원스크린골프,부산 강서구 대저들길17번길 323-0,골프장,1882
96,넘버25호텔명지오션시티점비즈니스,부산 강서구 명지오션시티3로 41-0,모텔/여관,1860
96,에어스카이호텔,부산 강서구 유통단지1로57번길 2-0,호텔,1860
96,부경배드민턴센터,부산 강서구 대저로155번가길 18-0,레저/스포츠기타,1860
99,해조낚시가락점,부산 강서구 가락대로 989-0,낚시,1807
