순위,관광지명,주소,분류,합산 검색 수
1,김해공항국내선청사,부산 강서구 공항진입로 108-0,공항,471189
2,김해국제공항,부산 강서구 공항진입로 108-0,공항,298747
3,스타필드시티명지,부산 강서구 명지국제6로 168-0,쇼핑센터,145954
4,이마트트레이더스명지점,부산 강서구 명지국제6로 168-0,쇼핑센터,130209
5,부산신항,부산 강서구 신항남로 330-0,항구,66759
6,부산신항국제터미널,부산 강서구 신항남로 330-0,항구,53480
7,렛츠런파크부산경남,부산 강서구 가락대로 929-0,경마장,43873
8,대저생태공원,부산 강서구,공원,38526
9,부산신항만,부산 강서구 신항남로 330-0,항구,34980
10,강서체육공원,부산 강서구 체육공원로 43-0,공원,33876
11,신라스테이서부산,부산 강서구 명지국제7로 38-0,호텔,26438
12,맥도생태공원,부산 강서구 공항로 500-0,공원,23712
13,천성항,부산 강서구,항구,19141
14,대저캠핑장,부산 강서구,캠프장,18586
15,가덕도,부산 강서구,섬,17203
16,롯데시네마부산명지,부산 강서구 명지국제6로 107-0,극장,16349
17,강서브라이트센터,부산 강서구 공항로811번길 10-0,문화생활시설기타,15232
18,하이스트CC,부산 강서구 과학산단1로 172-0,골프장,14519
19,천성항방파제등대,부산 강서구,등대,14481
20,다이소부산명지국제신도시점,부산 강서구 명지국제8로 237-0,쇼핑기타,14059
21,해라CC,부산 강서구 과학산단로306번길 77-0,골프장,13243
22,낚시밸리,부산 강서구 미음국제2로가길 29-0,낚시,13096
23,부산강서기적의도서관,부산 강서구 명지오션시티10로 80-0,문화생활시설기타,11551
24,가덕도대항인공동굴,부산 강서구,동굴,10977
25,명지시장,부산 강서구 신포길 13-9,재래시장,10405
26,다이소부산명지오션시티점,부산 강서구 명지오션시티4로 87-0,쇼핑기타,10101
27,새바지방파제,부산 강서구,방파제,7692
28,건축자재유통단지,부산 강서구 유통단지1로 76-0,쇼핑기타,7585
29,대항방파제,부산 강서구,방파제,7497
30,롯데슈퍼명지점,부산 강서구 명지오션시티10로 16-0,쇼핑기타,7084
31,녹산고향동산,부산 강서구,공원,6449
32,명지시장활어센터,부산 강서구 신포길 13-9,농수축산물시장,6273
33,CUE오션블루휴게소가덕점,부산 강서구 거가대로 2571-0,쇼핑기타,6209
34,명지동근린공원,부산 강서구 명지오션시티7로 30-0,공원,6170
35,부산축산농협한우프라자,부산 강서구 낙동남로 446-1,쇼핑기타,5942
36,에코팰리스,부산 강서구 명지국제2로28번길 34-0,쇼핑기타,5848
37,명지레포츠센터,부산 강서구 명지오션시티13로 12-11,레저/스포츠기타,5807
38,피싱마트21,부산 강서구 미음산단로8번길 6-0,낚시,5548
39,메가탑마트,부산 강서구 명지국제1로 56-3,쇼핑기타,5506
40,우리마트신호점,부산 강서구 신호산단2로27번길 23-0,쇼핑기타,5443
41,씨엘오션호텔,부산 강서구 명지국제6로34번길 22-0,호텔,5250
42,국군복지단해성마트,부산 강서구 공항진입로42번길 20-0,쇼핑기타,5035
43,넘버25호텔명지서부지청점,부산 강서구 명지국제2로28번길 7-0,호텔,4898
44,명지오이아호텔,부산 강서구 명지국제6로1번길 24-0,호텔,4877
45,김해체력단련장,부산 강서구,골프장,4855
46,뉴오션골프연습장,부산 강서구 르노삼성대로 630-0,골프장,4649
47,가덕도선착장,부산 강서구,항구,4587
48,연대봉,부산 강서구,명산,4330
49,트렉스타녹산상설매장,부산 강서구 녹산산업중로192번길 10-0,쇼핑기타,4138
50,대저수문,부산 강서구 공항로 1516-0,관광명소기타,4088
51,GDR아카데미부산명지점,부산 강서구 명지국제2로28번길 23-0,골프장,4057
52,반누리반품닷컴서부산점,부산 강서구 유통단지1로57번가길 67-0,쇼핑기타,3954
53,가덕도등대,부산 강서구 가덕해안로 1237-0,등대,3924
54,베스트루이스해밀턴호텔서부산점,부산 강서구 범방3로29번길 6-0,호텔,3871
55,신호공원축구장,부산 강서구,운동장,3838
56,서린골프클럽,부산 강서구 명지국제1로 60-1,골프장,3816
57,브라운도트호텔신호점,부산 강서구 신호산단1로72번길 33-0,모텔/여관,3798
