순위,관광지명,주소,분류,현지인 검색 수
1,김해공항국내선청사,부산 강서구 공항진입로 108-0,공항,35168
2,김해국제공항,부산 강서구 공항진입로 108-0,공항,34253
3,스타필드시티명지,부산 강서구 명지국제6로 168-0,쇼핑센터,24808
4,부산신항,부산 강서구 신항남로 330-0,항구,21675
5,이마트트레이더스명지점,부산 강서구 명지국제6로 168-0,쇼핑센터,16656
6,부산신항국제터미널,부산 강서구 신항남로 330-0,항구,16205
7,부산신항만,부산 강서구 신항남로 330-0,항구,10786
8,렛츠런파크부산경남,부산 강서구 가락대로 929-0,경마장,7365
9,강서체육공원,부산 강서구 체육공원로 43-0,공원,6304
10,강서브라이트센터,부산 강서구 공항로811번길 10-0,문화생활시설기타,4661
11,롯데시네마부산명지,부산 강서구 명지국제6로 107-0,극장,4066
12,다이소부산명지국제신도시점,부산 강서구 명지국제8로 237-0,쇼핑기타,4034
13,대저생태공원,부산 강서구,공원,3996
14,부산강서기적의도서관,부산 강서구 명지오션시티10로 80-0,문화생활시설기타,3682
15,맥도생태공원,부산 강서구 공항로 500-0,공원,3170
16,다이소부산명지오션시티점,부산 강서구 명지오션시티4로 87-0,쇼핑기타,3126
17,신라스테이서부산,부산 강서구 명지국제7로 38-0,호텔,2810
18,천성항,부산 강서구,항구,2273
19,롯데슈퍼명지점,부산 강서구 명지오션시티10로 16-0,쇼핑기타,2203
20,명지시장,부산 강서구 신포길 13-9,재래시장,2021
21,메가탑마트,부산 강서구 명지국제1로 56-3,쇼핑기타,1980
22,명지레포츠센터,부산 강서구 명지오션시티13로 12-11,레저/스포츠기타,1977
23,대저캠핑장,부산 강서구,캠프장,1968
24,건축자재유통단지,부산 강서구 유통단지1로 76-0,쇼핑기타,1795
25,가덕도,부산 강서구,섬,1720
26,천성항방파제등대,부산 강서구,등대,1595
27,하이스트CC,부산 강서구 과학산단1로 172-0,골프장,1508
28,낚시밸리,부산 강서구 미음국제2로가길 29-0,낚시,1497
29,GDR아카데미부산명지점,부산 강서구 명지국제2로28번길 23-0,골프장,1494
30,에코팰리스,부산 강서구 명지국제2로28번길 34-0,쇼핑기타,1479
31,우리마트신호점,부산 강서구 신호산단2로27번길 23-0,쇼핑기타,1467
32,부산축산농협한우프라자,부산 강서구 낙동남로 446-1,쇼핑기타,1400
33,해라CC,부산 강서구 과학산단로306번길 77-0,골프장,1290
34,녹산고향동산,부산 강서구,공원,1262
35,가덕도대항인공동굴,부산 강서구,동굴,1223
36,삼영엠티생곡지점,부산 강서구 생곡산단1로 28-0,쇼핑기타,1134
37,영도우리마트명지점,부산 강서구 명지오션시티12로 92-0,쇼핑기타,1111
38,제이티프라자,부산 강서구 명지국제1로 56-2,쇼핑기타,1100
