순위,관광지명,주소,분류,외지인 검색 수
1,다대포해수욕장,부산 사하구 몰운대1길 14-0,해수욕장,145691
2,다대포해변공원,부산 사하구,공원,49679
3,아트몰링하단점,부산 사하구 낙동남로 1413-0,쇼핑센터,41394
4,감천문화마을,부산 사하구 감내2로 203-0,관광명소기타,33495
5,뉴코아아울렛괴정점,부산 사하구 사하로 190-0,쇼핑센터,25056
6,장림시장,부산 사하구 장림시장3길 77-0,재래시장,23155
7,롯데마트사하점,부산 사하구 을숙도대로 610-0,쇼핑센터,23014
8,홈플러스장림점,부산 사하구 다대로 225-0,쇼핑센터,16872
9,부산현대미술관,부산 사하구 낙동남로 1191-0,미술관,14506
10,탑마트신평점,부산 사하구 하신중앙로 210-0,쇼핑기타,13966
11,낙동강1경(을숙도생태공원)을숙도문화관,부산 사하구 낙동남로1233번길 25-0,관광명소기타,13777
12,장림포구,부산 사하구,포구,11837
13,감천중앙부두,부산 사하구,항구,9700
14,을숙도피크닉광장,부산 사하구 낙동남로 1240-2,공원,8022
15,장보고식자재마트,부산 사하구 신산로 177-2,쇼핑기타,7394
16,낙동강하구에코센터,부산 사하구 낙동남로 1240-0,관광명소기타,6820
17,고릴라캠핑부산사하점,부산 사하구 보덕포1길 85-3,쇼핑기타,6379
18,감천항,부산 사하구,항구,6036
19,을숙도공원,부산 사하구,공원,5622
20,괴정시장,부산 사하구 낙동대로 203-0,종합시장,5574
21,을숙도,부산 사하구,섬,5239
22,감천서편부두,부산 사하구,항구,5099
23,구평가구단지,부산 사하구 두송로 156-0,살거리기타,4945
24,탑마트장림점,부산 사하구 다대로 296-0,쇼핑기타,4888
25,감천항서방파제,부산 사하구,방파제,4681
26,낫개방파제,부산 사하구,방파제,4381
27,탑마트신다대점,부산 사하구 다송로 58-0,쇼핑기타,4289
28,아미산전망대,부산 사하구 다대낙조2길 77-0,전망대,4246
29,하단레이어스호텔,부산 사하구 낙동남로 1395-0,호텔,4201
30,다대포꿈의낙조분수,부산 사하구 몰운대1길 14-0,관광명소기타,4124
31,부산교통공사신평체육관,부산 사하구 하신번영로 140-0,운동장,3860
32,크로바관광호텔,부산 사하구 사하로 166-0,호텔,3741
33,사하구국민체육센터,부산 사하구 감천로 68-0,운동장,3387
34,CU구평이편한세상점,부산 사하구 서포로30번길 3-0,쇼핑기타,3306
35,브라운도트호텔하단점,부산 사하구 낙동남로1423번길 47-0,호텔,3187
36,탑마트감천점,부산 사하구 감천로 29-0,쇼핑기타,3186
37,탑마트당리점,부산 사하구 낙동대로 353-0,쇼핑기타,3090
38,부산광역시립사하도서관,부산 사하구 승학로 247-0,문화생활시설기타,2982
39,다대도서관,부산 사하구 다대낙조2길 9-0,문화생활시설기타,2977
40,다이소부산장림점,부산 사하구 장림번영로 71-0,쇼핑기타,2826
41,유니클로부산사하점,부산 사하구 하신중앙로 129-0,쇼핑기타,2743
42,캠핑고래부산사하점,부산 사하구 하신번영로 365-0,쇼핑기타,2685
43,서부산권장애인스포츠센터,부산 사하구 낙동남로1233번길 20-0,레저/스포츠기타,2495
44,노브랜드부산다대점,부산 사하구 다대로 447-0,쇼핑기타,2472
45,신평골프연습장,부산 사하구 을숙도대로677번길 28-0,골프장,2422
45,다이소부산괴정점,부산 사하구 낙동대로 229-0,쇼핑기타,2422
47,다이소부산다대포점,부산 사하구 윤공단로 4-0,쇼핑기타,2418
48,다대포항,부산 사하구,항구,2407
49,오이아호텔,부산 사하구 다대동로 45-0,호텔,2388
50,세정아울렛부산점,부산 사하구 다대로 207-0,쇼핑센터,2378
51,신평레포츠공원,부산 사하구 하신번영로 119-0,공원,2361
52,신평시장,부산 사하구 다대로134번길 44-0,재래시장,2285
53,대티고개,부산 사하구,고개/재/령,2199
54,다이소부산하단2호점,부산 사하구 낙동남로1389번길 1-0,쇼핑기타,2087
55,우리마트감천동지점,부산 사하구 감천로 125-0,쇼핑기타,1968
56,발렌타인호텔,부산 사하구 낙동남로1423번길 50-0,모텔/여관,1923
57,두송방파제,부산 사하구,방파제,1905
58,탑마트다대점,부산 사하구 다대로554번길 7-0,쇼핑기타,1769
59,CGV하단아트몰링,부산 사하구 낙동남로 1413-0,극장,1707
60,드림디포장림점,부산 사하구 장평로 171-0,쇼핑기타,1695
61,올마켓,부산 사하구 장평로 283-0,쇼핑기타,1675
62,다이소부산동아대점,부산 사하구 낙동대로516번길 56-0,쇼핑기타,1602
63,애드파골프,부산 사하구 낙동대로 378-0,쇼핑기타,1568
64,통일아시아드공원,부산 사하구,공원,1552
65,을숙도철새공원,부산 사하구,공원,1501
66,다대포재래시장,부산 사하구 다대동로8번길 57-0,재래시장,1451
67,하단5일상설시장,부산 사하구 제석로17번길 1-0,재래시장,1439
68,코스모스볼링장,부산 사하구 장평로 7-0,레저/스포츠기타,1433
69,E팰리스호텔,부산 사하구 낙동남로1423번길 55-0,모텔/여관,1414
70,감천문화마을골목축제,부산 사하구 감내2로 203-0,축제,1344
71,홍티예술촌,부산 사하구 홍티로 76-0,문화생활시설기타,1274
72,롯데슈퍼당리점,부산 사하구 제석로 68-0,쇼핑기타,1268
73,고려수산2냉동공장,부산 사하구 원양로 363-0,농수축산물시장,1216
74,프로픽풋볼사하신평점,부산 사하구 하신중앙로54번길 17-0,운동장,1191
75,골프존파크구평플러스점,부산 사하구 감천항로 225-0,골프장,1177
76,부산수협다대공판장,부산 사하구 다대동로8번길 40-0,농수축산물시장,1172
77,사하E편한세상2차아파트상가,부산 사하구 서포로30번길 12-0,쇼핑기타,1083
78,대교마트당리점,부산 사하구 마하로5번길 7-0,쇼핑기타,1082
79,성불사,부산 사하구 신산북로 51-0,절,1053
80,다대포생태탐방로,부산 사하구,여행/레저기타,998
81,맘모스프라자,부산 사하구 다대로 473-0,쇼핑기타,987
82,원모텔,부산 사하구 다대로 649-0,모텔/여관,977
83,을숙도인라인스케이트장,부산 사하구 낙동남로1233번길 38-0,스케이트장,961
84,승학온천스포츠랜드,부산 사하구 승학로 190-0,레저/스포츠기타,953
85,강변환경공원,부산 사하구 을숙도대로 466-0,공원,931
86,관음사,부산 사하구 제석로79번길 33-0,절,919
87,탑클래스배드민턴,부산 사하구 을숙도대로 578-0,레저/스포츠기타,863
88,사하시장,부산 사하구 괴정로 219-0,시장기타,855
89,을숙도축구장,부산 사하구 낙동남로1233번길 59-0,운동장,837
90,을숙도테니스장,부산 사하구 낙동남로1233번길 25-0,레저/스포츠기타,836
91,코리아골프연습장,부산 사하구 장림번영로103번길 39-0,골프장,828
92,퀸모텔,부산 사하구 하신번영로300번길 100-12,모텔/여관,798
93,다이소감천점,부산 사하구 옥천로 33-0,쇼핑기타,791
94,WOW모텔,부산 사하구 하신번영로300번길 100-0,모텔/여관,781
95,6월모텔,부산 사하구 다대로 567-3,모텔/여관,779
95,에덴종합시장,부산 사하구 낙동대로535번길 28-0,종합시장,779
97,YTT모텔,부산 사하구 하신번영로300번길 100-9,모텔/여관,778
98,지티모텔,부산 사하구 사하로197번길 50-0,모텔/여관,777
99,로쏘호텔,부산 사하구 낙동대로216번길 2-0,모텔/여관,764
100,노브랜드부산아트몰링점,부산 사하구 낙동남로 1413-0,쇼핑기타,688
