순위,관광지명,주소,분류,합산 검색 수
1,다대포해수욕장,부산 사하구 몰운대1길 14-0,해수욕장,181545
2,다대포해변공원,부산 사하구,공원,54642
3,아트몰링하단점,부산 사하구 낙동남로 1413-0,쇼핑센터,54560
4,감천문화마을,부산 사하구 감내2로 203-0,관광명소기타,36907
5,뉴코아아울렛괴정점,부산 사하구 사하로 190-0,쇼핑센터,32579
6,장림시장,부산 사하구 장림시장3길 77-0,재래시장,32555
7,롯데마트사하점,부산 사하구 을숙도대로 610-0,쇼핑센터,31476
8,홈플러스장림점,부산 사하구 다대로 225-0,쇼핑센터,22655
9,탑마트신평점,부산 사하구 하신중앙로 210-0,쇼핑기타,19577
10,부산현대미술관,부산 사하구 낙동남로 1191-0,미술관,15650
11,낙동강1경(을숙도생태공원)을숙도문화관,부산 사하구 낙동남로1233번길 25-0,관광명소기타,14997
12,장림포구,부산 사하구,포구,13480
13,감천중앙부두,부산 사하구,항구,10772
14,장보고식자재마트,부산 사하구 신산로 177-2,쇼핑기타,10264
15,을숙도피크닉광장,부산 사하구 낙동남로 1240-2,공원,9157
16,고릴라캠핑부산사하점,부산 사하구 보덕포1길 85-3,쇼핑기타,8262
17,낙동강하구에코센터,부산 사하구 낙동남로 1240-0,관광명소기타,7994
18,괴정시장,부산 사하구 낙동대로 203-0,종합시장,6917
19,탑마트장림점,부산 사하구 다대로 296-0,쇼핑기타,6821
20,감천항,부산 사하구,항구,6780
21,구평가구단지,부산 사하구 두송로 156-0,살거리기타,6345
22,을숙도공원,부산 사하구,공원,6190
23,을숙도,부산 사하구,섬,6116
24,탑마트신다대점,부산 사하구 다송로 58-0,쇼핑기타,5825
25,감천서편부두,부산 사하구,항구,5437
26,크로바관광호텔,부산 사하구 사하로 166-0,호텔,5384
27,부산교통공사신평체육관,부산 사하구 하신번영로 140-0,운동장,5333
28,감천항서방파제,부산 사하구,방파제,5324
29,낫개방파제,부산 사하구,방파제,5148
30,사하구국민체육센터,부산 사하구 감천로 68-0,운동장,4929
31,다대포꿈의낙조분수,부산 사하구 몰운대1길 14-0,관광명소기타,4890
32,아미산전망대,부산 사하구 다대낙조2길 77-0,전망대,4840
33,하단레이어스호텔,부산 사하구 낙동남로 1395-0,호텔,4685
34,다대도서관,부산 사하구 다대낙조2길 9-0,문화생활시설기타,4409
35,CU구평이편한세상점,부산 사하구 서포로30번길 3-0,쇼핑기타,4397
36,다이소부산장림점,부산 사하구 장림번영로 71-0,쇼핑기타,4316
37,부산광역시립사하도서관,부산 사하구 승학로 247-0,문화생활시설기타,4288
38,탑마트감천점,부산 사하구 감천로 29-0,쇼핑기타,4231
39,탑마트당리점,부산 사하구 낙동대로 353-0,쇼핑기타,4023
40,서부산권장애인스포츠센터,부산 사하구 낙동남로1233번길 20-0,레저/스포츠기타,3931
41,유니클로부산사하점,부산 사하구 하신중앙로 129-0,쇼핑기타,3832
42,브라운도트호텔하단점,부산 사하구 낙동남로1423번길 47-0,호텔,3697
43,다이소부산다대포점,부산 사하구 윤공단로 4-0,쇼핑기타,3464
44,다이소부산괴정점,부산 사하구 낙동대로 229-0,쇼핑기타,3450
45,캠핑고래부산사하점,부산 사하구 하신번영로 365-0,쇼핑기타,3447
46,노브랜드부산다대점,부산 사하구 다대로 447-0,쇼핑기타,3370
47,신평레포츠공원,부산 사하구 하신번영로 119-0,공원,3356
48,신평골프연습장,부산 사하구 을숙도대로677번길 28-0,골프장,3313
49,세정아울렛부산점,부산 사하구 다대로 207-0,쇼핑센터,3197
50,대티고개,부산 사하구,고개/재/령,3060
51,신평시장,부산 사하구 다대로134번길 44-0,재래시장,2931
52,다대포항,부산 사하구,항구,2780
53,다이소부산하단2호점,부산 사하구 낙동남로1389번길 1-0,쇼핑기타,2769
54,오이아호텔,부산 사하구 다대동로 45-0,호텔,2629
55,드림디포장림점,부산 사하구 장평로 171-0,쇼핑기타,2604
56,우리마트감천동지점,부산 사하구 감천로 125-0,쇼핑기타,2522
57,통일아시아드공원,부산 사하구,공원,2463
58,다이소부산동아대점,부산 사하구 낙동대로516번길 56-0,쇼핑기타,2402
59,두송방파제,부산 사하구,방파제,2239
60,발렌타인호텔,부산 사하구 낙동남로1423번길 50-0,모텔/여관,2237
61,올마켓,부산 사하구 장평로 283-0,쇼핑기타,2207
62,탑마트다대점,부산 사하구 다대로554번길 7-0,쇼핑기타,2205
63,CGV하단아트몰링,부산 사하구 낙동남로 1413-0,극장,2179
64,하단5일상설시장,부산 사하구 제석로17번길 1-0,재래시장,1969
65,코스모스볼링장,부산 사하구 장평로 7-0,레저/스포츠기타,1733
66,을숙도철새공원,부산 사하구,공원,1701
67,사하E편한세상2차아파트상가,부산 사하구 서포로30번길 12-0,쇼핑기타,1700
68,골프존파크구평플러스점,부산 사하구 감천항로 225-0,골프장,1690
69,애드파골프,부산 사하구 낙동대로 378-0,쇼핑기타,1669
70,E팰리스호텔,부산 사하구 낙동남로1423번길 55-0,모텔/여관,1648
71,롯데슈퍼당리점,부산 사하구 제석로 68-0,쇼핑기타,1632
72,홍티예술촌,부산 사하구 홍티로 76-0,문화생활시설기타,1585
73,다대포재래시장,부산 사하구 다대동로8번길 57-0,재래시장,1562
74,프로픽풋볼사하신평점,부산 사하구 하신중앙로54번길 17-0,운동장,1472
75,감천문화마을골목축제,부산 사하구 감내2로 203-0,축제,1464
76,대교마트당리점,부산 사하구 마하로5번길 7-0,쇼핑기타,1408
77,맘모스프라자,부산 사하구 다대로 473-0,쇼핑기타,1342
77,성불사,부산 사하구 신산북로 51-0,절,1342
79,고려수산2냉동공장,부산 사하구 원양로 363-0,농수축산물시장,1335
80,부산수협다대공판장,부산 사하구 다대동로8번길 40-0,농수축산물시장,1298
81,승학온천스포츠랜드,부산 사하구 승학로 190-0,레저/스포츠기타,1232
82,에덴종합시장,부산 사하구 낙동대로535번길 28-0,종합시장,1218
83,관음사,부산 사하구 제석로79번길 33-0,절,1197
84,사하시장,부산 사하구 괴정로 219-0,시장기타,1185
85,원모텔,부산 사하구 다대로 649-0,모텔/여관,1141
86,탑클래스배드민턴,부산 사하구 을숙도대로 578-0,레저/스포츠기타,1067
87,강변환경공원,부산 사하구 을숙도대로 466-0,공원,1062
88,을숙도인라인스케이트장,부산 사하구 낙동남로1233번길 38-0,스케이트장,1061
89,다대포생태탐방로,부산 사하구,여행/레저기타,1039
90,YTT모텔,부산 사하구 하신번영로300번길 100-9,모텔/여관,1031
91,코리아골프연습장,부산 사하구 장림번영로103번길 39-0,골프장,1008
92,퀸모텔,부산 사하구 하신번영로300번길 100-12,모텔/여관,951
93,지존헬스,부산 사하구 다대로 207-0,레저/스포츠기타,950
94,고투장림점,부산 사하구 장림번영로 50-0,레저/스포츠기타,945
95,다이소감천점,부산 사하구 옥천로 33-0,쇼핑기타,936
96,을숙도테니스장,부산 사하구 낙동남로1233번길 25-0,레저/스포츠기타,929
97,롯데슈퍼장림점,부산 사하구 다대로277번길 12-0,쇼핑기타,913
98,지티모텔,부산 사하구 사하로197번길 50-0,모텔/여관,910
99,을숙도축구장,부산 사하구 낙동남로1233번길 59-0,운동장,897
100,로쏘호텔,부산 사하구 낙동대로216번길 2-0,모텔/여관,886
