순위,관광지명,주소,분류,현지인 검색 수
1,다대포해수욕장,부산 사하구 몰운대1길 14-0,해수욕장,35854
2,아트몰링하단점,부산 사하구 낙동남로 1413-0,쇼핑센터,13166
3,장림시장,부산 사하구 장림시장3길 77-0,재래시장,9400
4,롯데마트사하점,부산 사하구 을숙도대로 610-0,쇼핑센터,8462
5,뉴코아아울렛괴정점,부산 사하구 사하로 190-0,쇼핑센터,7523
6,홈플러스장림점,부산 사하구 다대로 225-0,쇼핑센터,5783
7,탑마트신평점,부산 사하구 하신중앙로 210-0,쇼핑기타,5611
8,다대포해변공원,부산 사하구,공원,4963
9,감천문화마을,부산 사하구 감내2로 203-0,관광명소기타,3412
10,장보고식자재마트,부산 사하구 신산로 177-2,쇼핑기타,2870
11,탑마트장림점,부산 사하구 다대로 296-0,쇼핑기타,1933
12,고릴라캠핑부산사하점,부산 사하구 보덕포1길 85-3,쇼핑기타,1883
13,크로바관광호텔,부산 사하구 사하로 166-0,호텔,1643
13,장림포구,부산 사하구,포구,1643
15,사하구국민체육센터,부산 사하구 감천로 68-0,운동장,1542
16,탑마트신다대점,부산 사하구 다송로 58-0,쇼핑기타,1536
17,다이소부산장림점,부산 사하구 장림번영로 71-0,쇼핑기타,1490
18,부산교통공사신평체육관,부산 사하구 하신번영로 140-0,운동장,1473
19,서부산권장애인스포츠센터,부산 사하구 낙동남로1233번길 20-0,레저/스포츠기타,1436
20,다대도서관,부산 사하구 다대낙조2길 9-0,문화생활시설기타,1432
21,구평가구단지,부산 사하구 두송로 156-0,살거리기타,1400
22,괴정시장,부산 사하구 낙동대로 203-0,종합시장,1343
23,부산광역시립사하도서관,부산 사하구 승학로 247-0,문화생활시설기타,1306
24,낙동강1경(을숙도생태공원)을숙도문화관,부산 사하구 낙동남로1233번길 25-0,관광명소기타,1220
25,낙동강하구에코센터,부산 사하구 낙동남로 1240-0,관광명소기타,1174
26,부산현대미술관,부산 사하구 낙동남로 1191-0,미술관,1144
27,을숙도피크닉광장,부산 사하구 낙동남로 1240-2,공원,1135
28,CU구평이편한세상점,부산 사하구 서포로30번길 3-0,쇼핑기타,1091
29,유니클로부산사하점,부산 사하구 하신중앙로 129-0,쇼핑기타,1089
30,감천중앙부두,부산 사하구,항구,1072
31,다이소부산다대포점,부산 사하구 윤공단로 4-0,쇼핑기타,1046
32,탑마트감천점,부산 사하구 감천로 29-0,쇼핑기타,1045
33,다이소부산괴정점,부산 사하구 낙동대로 229-0,쇼핑기타,1028
34,신평레포츠공원,부산 사하구 하신번영로 119-0,공원,995
35,탑마트당리점,부산 사하구 낙동대로 353-0,쇼핑기타,933
36,통일아시아드공원,부산 사하구,공원,911
37,드림디포장림점,부산 사하구 장평로 171-0,쇼핑기타,909
38,노브랜드부산다대점,부산 사하구 다대로 447-0,쇼핑기타,898
39,신평골프연습장,부산 사하구 을숙도대로677번길 28-0,골프장,891
40,을숙도,부산 사하구,섬,877
41,대티고개,부산 사하구,고개/재/령,861
42,세정아울렛부산점,부산 사하구 다대로 207-0,쇼핑센터,819
43,다이소부산동아대점,부산 사하구 낙동대로516번길 56-0,쇼핑기타,800
44,낫개방파제,부산 사하구,방파제,767
45,다대포꿈의낙조분수,부산 사하구 몰운대1길 14-0,관광명소기타,766
46,캠핑고래부산사하점,부산 사하구 하신번영로 365-0,쇼핑기타,762
47,감천항,부산 사하구,항구,744
48,다이소부산하단2호점,부산 사하구 낙동남로1389번길 1-0,쇼핑기타,682
49,신평시장,부산 사하구 다대로134번길 44-0,재래시장,646
50,감천항서방파제,부산 사하구,방파제,643
51,사하E편한세상2차아파트상가,부산 사하구 서포로30번길 12-0,쇼핑기타,617
52,아미산전망대,부산 사하구 다대낙조2길 77-0,전망대,594
53,을숙도공원,부산 사하구,공원,568
54,우리마트감천동지점,부산 사하구 감천로 125-0,쇼핑기타,554
55,올마켓,부산 사하구 장평로 283-0,쇼핑기타,532
56,하단5일상설시장,부산 사하구 제석로17번길 1-0,재래시장,530
57,골프존파크구평플러스점,부산 사하구 감천항로 225-0,골프장,513
58,브라운도트호텔하단점,부산 사하구 낙동남로1423번길 47-0,호텔,510
59,하단레이어스호텔,부산 사하구 낙동남로 1395-0,호텔,484
60,CGV하단아트몰링,부산 사하구 낙동남로 1413-0,극장,472
61,에덴종합시장,부산 사하구 낙동대로535번길 28-0,종합시장,439
62,탑마트다대점,부산 사하구 다대로554번길 7-0,쇼핑기타,436
63,지존헬스,부산 사하구 다대로 207-0,레저/스포츠기타,410
64,다대포항,부산 사하구,항구,373
65,롯데슈퍼당리점,부산 사하구 제석로 68-0,쇼핑기타,364
66,맘모스프라자,부산 사하구 다대로 473-0,쇼핑기타,355
67,감천서편부두,부산 사하구,항구,338
68,두송방파제,부산 사하구,방파제,334
69,사하시장,부산 사하구 괴정로 219-0,시장기타,330
70,대교마트당리점,부산 사하구 마하로5번길 7-0,쇼핑기타,326
71,고투장림점,부산 사하구 장림번영로 50-0,레저/스포츠기타,315
72,발렌타인호텔,부산 사하구 낙동남로1423번길 50-0,모텔/여관,314
73,홍티예술촌,부산 사하구 홍티로 76-0,문화생활시설기타,311
74,코스모스볼링장,부산 사하구 장평로 7-0,레저/스포츠기타,300
75,성불사,부산 사하구 신산북로 51-0,절,289
76,프로픽풋볼사하신평점,부산 사하구 하신중앙로54번길 17-0,운동장,281
77,승학온천스포츠랜드,부산 사하구 승학로 190-0,레저/스포츠기타,279
78,관음사,부산 사하구 제석로79번길 33-0,절,278
79,롯데슈퍼장림점,부산 사하구 다대로277번길 12-0,쇼핑기타,276
80,두송생활문화센터,부산 사하구 다송로 59-0,문화생활시설기타,269
81,YTT모텔,부산 사하구 하신번영로300번길 100-9,모텔/여관,253
82,스카이짐괴정점,부산 사하구 장평로 440-0,레저/스포츠기타,248
83,가락타운상가시장,부산 사하구 하신중앙로 265-0,재래시장,243
84,오이아호텔,부산 사하구 다대동로 45-0,호텔,241
85,E팰리스호텔,부산 사하구 낙동남로1423번길 55-0,모텔/여관,234
86,탑클래스배드민턴,부산 사하구 을숙도대로 578-0,레저/스포츠기타,204
87,을숙도철새공원,부산 사하구,공원,200
88,자연드림다대점,부산 사하구 다송로72번길 50-0,농수축산물시장,182
89,코리아골프연습장,부산 사하구 장림번영로103번길 39-0,골프장,180
90,사하골프연습장,부산 사하구,골프장,176
91,원모텔,부산 사하구 다대로 649-0,모텔/여관,164
91,케이프포인트,부산 사하구 다대낙조2길 85-0,쇼핑기타,164
93,스타볼링장,부산 사하구 장평로 440-0,레저/스포츠기타,163
94,장가유통,부산 사하구 을숙도대로748번길 10-0,농수축산물시장,162
95,퀸모텔,부산 사하구 하신번영로300번길 100-12,모텔/여관,153
96,하단펑키락볼링센터,부산 사하구 낙동대로 487-0,레저/스포츠기타,149
97,다이소감천점,부산 사하구 옥천로 33-0,쇼핑기타,145
98,우리마트가락점,부산 사하구 하신번영로 352-0,쇼핑기타,142
99,농축산마트장림점,부산 사하구 하신중앙로 27-0,쇼핑기타,138
100,지티모텔,부산 사하구 사하로197번길 50-0,모텔/여관,133
