순위,관광지명,주소,분류,외지인 검색 수
1,이마트금정점,부산 금정구 중앙대로1841번길 24-0,쇼핑센터,76577
2,범어사,부산 금정구 범어사로 250-0,절,70531
3,스포원파크,부산 금정구 체육공원로399번길 324-0,공원,46884
4,NC백화점부산대점,부산 금정구 부산대학로63번길 2-0,쇼핑센터,40283
5,부산CC,부산 금정구 중앙대로2327번길 112-0,골프장,25677
6,동래베네스트GC,부산 금정구,골프장,20807
7,홍법사,부산 금정구 두구로33번길 202-0,절,10792
8,회동저수지,부산 금정구,저수지,9116
9,탑마트금사점,부산 금정구 공단서로 22-0,쇼핑기타,8986
10,고릴라캠핑부산점,부산 금정구 개좌로 266-7,쇼핑기타,8639
11,부곡시장,부산 금정구 동부곡로 5-0,종합시장,7452
12,금정도서관,부산 금정구 금정도서관로 33-0,문화생활시설기타,6119
13,금정화훼도매단지,부산 금정구 두구로 0-0,쇼핑기타,6084
14,서동시장,부산 금정구 서동로141번길 21-0,재래시장,5648
15,남산새벽시장,부산 금정구 금강로 700-0,종합시장,4718
16,금정산온천레포츠,부산 금정구 구서중앙로15번길 20-0,레저/스포츠기타,4481
17,BnBK파3골프클럽,부산 금정구,골프장,4468
18,파디글스골프연습장,부산 금정구 수림로 32-0,골프장,4434
19,스포원파크싸이드롬,부산 금정구 체육공원로399번길 324-0,경륜장,4301
20,스포원파크스포츠센터,부산 금정구 체육공원로399번길 324-0,레저/스포츠기타,4111
21,금정산성,부산 금정구,성,4014
22,써니마트부곡점,부산 금정구 부곡로 97-0,쇼핑기타,3578
23,탑마트남산점,부산 금정구 금샘로 456-0,쇼핑기타,3554
24,브라운도트호텔구서역점,부산 금정구 중앙대로 1833-0,호텔,3476
25,롯데시네마오투,부산 금정구 중앙대로 1607-0,극장,3422
26,회동수원지둘레길,부산 금정구 개좌로 147-0,여행/레저기타,3409
27,호텔프렌치코드,부산 금정구 중앙대로1805번길 16-0,모텔/여관,3187
28,금정산성동문,부산 금정구,문화유적지,2905
29,스포원파크테니스경기장,부산 금정구 체육공원로399번길 324-0,레저/스포츠기타,2882
30,서동고갯길,부산 금정구,고개/재/령,2855
31,금샘도서관,부산 금정구 기찰로 94-0,문화생활시설기타,2704
32,영풍원예자재,부산 금정구 두구로 13-0,쇼핑기타,2379
33,고고커피,부산 금정구 중앙대로 1784-0,쇼핑기타,2309
34,오륜대전망대,부산 금정구 오륜대로 229-0,전망대,2215
35,안국선원,부산 금정구 금단로 124-0,절,2214
36,금정구민운동장,부산 금정구,운동장,2115
37,금정산부곡온천,부산 금정구 수림로20번길 36-0,온천,2105
38,금정농협하나로마트,부산 금정구 금강로 717-0,쇼핑기타,2072
39,호텔헤이브,부산 금정구 서동로 193-14,모텔/여관,2056
40,다이소부산대점,부산 금정구 장전온천천로 55-0,쇼핑기타,2042
41,부산광역시립서동도서관,부산 금정구 서부로76번길 5-0,문화생활시설기타,1991
42,금정산성다목적광장,부산 금정구,공원,1916
43,유아인호텔,부산 금정구 온천장로125번길 28-12,호텔,1909
44,다이소부산서동역점,부산 금정구 반송로 400-0,쇼핑기타,1906
45,구서종합시장,부산 금정구 구서로 12-0,재래시장,1847
46,서동미로시장,부산 금정구 서동로141번길 16-0,재래시장,1834
47,캠핑트렁크부산금정점,부산 금정구 부곡로 50-0,쇼핑기타,1787
48,광명사,부산 금정구 금샘로17번안길 45-0,절,1773
49,테라스파크,부산 금정구 장전온천천로 51-0,쇼핑기타,1746
