순위,관광지명,주소,분류,합산 검색 수
1,이마트금정점,부산 금정구 중앙대로1841번길 24-0,쇼핑센터,97998
2,범어사,부산 금정구 범어사로 250-0,절,82891
3,스포원파크,부산 금정구 체육공원로399번길 324-0,공원,57286
4,NC백화점부산대점,부산 금정구 부산대학로63번길 2-0,쇼핑센터,46112
5,부산CC,부산 금정구 중앙대로2327번길 112-0,골프장,28612
6,동래베네스트GC,부산 금정구,골프장,22606
7,홍법사,부산 금정구 두구로33번길 202-0,절,12682
8,탑마트금사점,부산 금정구 공단서로 22-0,쇼핑기타,11074
9,회동저수지,부산 금정구,저수지,10072
10,고릴라캠핑부산점,부산 금정구 개좌로 266-7,쇼핑기타,9492
11,부곡시장,부산 금정구 동부곡로 5-0,종합시장,9312
12,금정도서관,부산 금정구 금정도서관로 33-0,문화생활시설기타,8421
13,서동시장,부산 금정구 서동로141번길 21-0,재래시장,7236
14,금정화훼도매단지,부산 금정구 두구로 0-0,쇼핑기타,6732
15,남산새벽시장,부산 금정구 금강로 700-0,종합시장,6490
16,금정산온천레포츠,부산 금정구 구서중앙로15번길 20-0,레저/스포츠기타,5648
17,파디글스골프연습장,부산 금정구 수림로 32-0,골프장,5423
18,스포원파크스포츠센터,부산 금정구 체육공원로399번길 324-0,레저/스포츠기타,5069
19,BnBK파3골프클럽,부산 금정구,골프장,4879
20,스포원파크싸이드롬,부산 금정구 체육공원로399번길 324-0,경륜장,4833
21,써니마트부곡점,부산 금정구 부곡로 97-0,쇼핑기타,4522
22,탑마트남산점,부산 금정구 금샘로 456-0,쇼핑기타,4511
23,금정산성,부산 금정구,성,4364
24,롯데시네마오투,부산 금정구 중앙대로 1607-0,극장,4141
25,회동수원지둘레길,부산 금정구 개좌로 147-0,여행/레저기타,3964
26,호텔프렌치코드,부산 금정구 중앙대로1805번길 16-0,모텔/여관,3908
27,브라운도트호텔구서역점,부산 금정구 중앙대로 1833-0,호텔,3872
28,서동고갯길,부산 금정구,고개/재/령,3760
29,금샘도서관,부산 금정구 기찰로 94-0,문화생활시설기타,3757
30,스포원파크테니스경기장,부산 금정구 체육공원로399번길 324-0,레저/스포츠기타,3299
31,금정산성동문,부산 금정구,문화유적지,3123
32,안국선원,부산 금정구 금단로 124-0,절,2899
33,고고커피,부산 금정구 중앙대로 1784-0,쇼핑기타,2809
34,부산광역시립서동도서관,부산 금정구 서부로76번길 5-0,문화생활시설기타,2688
35,영풍원예자재,부산 금정구 두구로 13-0,쇼핑기타,2657
36,금정산부곡온천,부산 금정구 수림로20번길 36-0,온천,2656
37,금정구민운동장,부산 금정구,운동장,2536
38,오륜대전망대,부산 금정구 오륜대로 229-0,전망대,2479
39,금정농협하나로마트,부산 금정구 금강로 717-0,쇼핑기타,2457
40,다이소부산대점,부산 금정구 장전온천천로 55-0,쇼핑기타,2450
41,서동미로시장,부산 금정구 서동로141번길 16-0,재래시장,2420
42,다이소부산서동역점,부산 금정구 반송로 400-0,쇼핑기타,2363
43,호텔헤이브,부산 금정구 서동로 193-14,모텔/여관,2356
44,테라스파크,부산 금정구 장전온천천로 51-0,쇼핑기타,2307
45,광명사,부산 금정구 금샘로17번안길 45-0,절,2162
46,구서종합시장,부산 금정구 구서로 12-0,재래시장,2144
47,금정산성다목적광장,부산 금정구,공원,2142
48,유아인호텔,부산 금정구 온천장로125번길 28-12,호텔,2121
49,캠핑트렁크부산금정점,부산 금정구 부곡로 50-0,쇼핑기타,2056
50,넘버25호텔서동점,부산 금정구 서동로 193-11,호텔,2026
51,금사시장,부산 금정구 개좌로 81-0,재래시장,1942
52,제이스타골프연습장,부산 금정구 중앙대로 1989-0,골프장,1921
53,휴마트장전점,부산 금정구 수림로20번길 41-0,쇼핑기타,1906
54,금정국민체육센터,부산 금정구 서부로 109-0,레저/스포츠기타,1900
55,부산광역시학생교육원,부산 금정구 북문로 178-0,수련장,1895
56,금정청소년수련관,부산 금정구 기찰로96번길 47-0,수련장,1866
57,다이소부산구서점,부산 금정구 구서로 8-0,쇼핑기타,1788
58,메가박스부산대,부산 금정구 장전로12번길 55-0,극장,1741
59,부곡동푸르지오아파트상가,부산 금정구 중앙대로 1617-12,쇼핑기타,1713
60,마블피트니스,부산 금정구 중앙대로1719번길 47-0,레저/스포츠기타,1508
61,허브랑야생화,부산 금정구 북문로 73-0,여행/레저기타,1484
62,선동잔디구장,부산 금정구,운동장,1417
63,늘푸른숲,부산 금정구 체육공원로 270-0,체험농가,1353
64,비아이마트,부산 금정구 청룡예전로 25-1,쇼핑기타,1271
65,버튼호텔구서역점,부산 금정구 금정로237번길 28-0,모텔/여관,1256
66,애드파골프금정점,부산 금정구 중앙대로 1675-0,쇼핑기타,1242
67,스포원파크풋살장,부산 금정구,운동장,1239
68,부곡암,부산 금정구 윤산로 73-21,절,1157
69,금샘도서관,부산 금정구,문화생활시설기타,1136
70,오륜동인조잔디구장,부산 금정구,운동장,1120
71,올레모텔,부산 금정구 식물원로29번길 25-0,모텔/여관,1069
72,웨이브락클라이밍부산대점,부산 금정구 장전온천천로 51-0,레저/스포츠기타,1015
72,자연드림부산부곡점,부산 금정구 중앙대로1685번길 7-0,농수축산물시장,1015
74,코베아부산점,부산 금정구 중앙대로 2073-0,쇼핑기타,1000
75,롯데슈퍼부산남산2점,부산 금정구 중앙대로 1989-0,쇼핑기타,986
76,써니스크린골프,부산 금정구 중앙대로1719번길 47-0,골프장,984
77,노포축산,부산 금정구 중앙대로 1670-0,쇼핑기타,983
78,연꽃소류지,부산 금정구,저수지,972
78,자연드림부산구서점,부산 금정구 중앙대로1841번길 91-0,쇼핑기타,972
80,조은영풍SG스크린골프,부산 금정구 중앙대로 2344-0,골프장,962
81,금정산,부산 금정구,명산,932
82,금사락,부산 금정구 개좌로 162-0,공연장,886
83,호텔블랑,부산 금정구 서동로 193-15,모텔/여관,854
84,탄생의신비관청소년성문화센터,부산 금정구 체육공원로399번길 324-0,문화생활시설기타,819
85,금정골프클럽,부산 금정구 금정로237번길 14-0,골프장,816
86,GS더프레시부곡점,부산 금정구 부곡로 79-0,쇼핑기타,810
87,청련암,부산 금정구 범어사로 246-0,절,764
88,오륜대한국순교자박물관,부산 금정구 오륜대로 106-1,박물관/기념관,761
89,KT스크린골프,부산 금정구 수림로20번길 36-0,골프장,742
90,영풍문고부산NC점,부산 금정구 부산대학로63번길 2-0,쇼핑기타,729
91,호텔G&G,부산 금정구 금정로 242-0,호텔,710
92,와인파크,부산 금정구 중앙대로1685번길 6-0,쇼핑기타,709
93,위드골프존,부산 금정구 중앙대로1826번길 10-8,골프장,701
94,베니스모텔,부산 금정구 서동로186번길 18-6,모텔/여관,658
95,CU부곡글로리점,부산 금정구 중앙대로1778번길 37-0,쇼핑기타,635
96,초록마술극장,부산 금정구 기찰로108번길 49-0,극장,634
97,니즈호텔,부산 금정구 팔송로24번길 52-0,모텔/여관,633
98,구시코리아,부산 금정구 공단로50번길 1-0,쇼핑기타,629
99,땅뫼산,부산 금정구,명산,595
100,하늘완구,부산 금정구 중앙대로 2053-0,쇼핑기타,586
