순위,관광지명,주소,분류,현지인 검색 수
1,이마트금정점,부산 금정구 중앙대로1841번길 24-0,쇼핑센터,21421
2,범어사,부산 금정구 범어사로 250-0,절,12360
3,스포원파크,부산 금정구 체육공원로399번길 324-0,공원,10402
4,NC백화점부산대점,부산 금정구 부산대학로63번길 2-0,쇼핑센터,5829
5,부산CC,부산 금정구 중앙대로2327번길 112-0,골프장,2935
6,금정도서관,부산 금정구 금정도서관로 33-0,문화생활시설기타,2302
7,탑마트금사점,부산 금정구 공단서로 22-0,쇼핑기타,2088
8,홍법사,부산 금정구 두구로33번길 202-0,절,1890
9,부곡시장,부산 금정구 동부곡로 5-0,종합시장,1860
10,동래베네스트GC,부산 금정구,골프장,1799
11,남산새벽시장,부산 금정구 금강로 700-0,종합시장,1772
12,서동시장,부산 금정구 서동로141번길 21-0,재래시장,1588
13,금정산온천레포츠,부산 금정구 구서중앙로15번길 20-0,레저/스포츠기타,1167
14,금샘도서관,부산 금정구 기찰로 94-0,문화생활시설기타,1053
15,파디글스골프연습장,부산 금정구 수림로 32-0,골프장,989
16,스포원파크스포츠센터,부산 금정구 체육공원로399번길 324-0,레저/스포츠기타,958
17,탑마트남산점,부산 금정구 금샘로 456-0,쇼핑기타,957
18,회동저수지,부산 금정구,저수지,956
19,써니마트부곡점,부산 금정구 부곡로 97-0,쇼핑기타,944
20,서동고갯길,부산 금정구,고개/재/령,905
21,고릴라캠핑부산점,부산 금정구 개좌로 266-7,쇼핑기타,853
22,호텔프렌치코드,부산 금정구 중앙대로1805번길 16-0,모텔/여관,721
23,롯데시네마오투,부산 금정구 중앙대로 1607-0,극장,719
24,부산광역시립서동도서관,부산 금정구 서부로76번길 5-0,문화생활시설기타,697
25,안국선원,부산 금정구 금단로 124-0,절,685
26,금정화훼도매단지,부산 금정구 두구로 0-0,쇼핑기타,648
27,금정국민체육센터,부산 금정구 서부로 109-0,레저/스포츠기타,604
28,금정청소년수련관,부산 금정구 기찰로96번길 47-0,수련장,592
29,서동미로시장,부산 금정구 서동로141번길 16-0,재래시장,586
30,테라스파크,부산 금정구 장전온천천로 51-0,쇼핑기타,561
31,회동수원지둘레길,부산 금정구 개좌로 147-0,여행/레저기타,555
32,금정산부곡온천,부산 금정구 수림로20번길 36-0,온천,551
33,스포원파크싸이드롬,부산 금정구 체육공원로399번길 324-0,경륜장,532
34,휴마트장전점,부산 금정구 수림로20번길 41-0,쇼핑기타,513
35,고고커피,부산 금정구 중앙대로 1784-0,쇼핑기타,500
36,다이소부산서동역점,부산 금정구 반송로 400-0,쇼핑기타,457
37,제이스타골프연습장,부산 금정구 중앙대로 1989-0,골프장,450
38,부곡동푸르지오아파트상가,부산 금정구 중앙대로 1617-12,쇼핑기타,428
39,금정구민운동장,부산 금정구,운동장,421
40,스포원파크테니스경기장,부산 금정구 체육공원로399번길 324-0,레저/스포츠기타,417
41,BnBK파3골프클럽,부산 금정구,골프장,411
42,다이소부산대점,부산 금정구 장전온천천로 55-0,쇼핑기타,408
43,브라운도트호텔구서역점,부산 금정구 중앙대로 1833-0,호텔,396
44,광명사,부산 금정구 금샘로17번안길 45-0,절,389
45,금정농협하나로마트,부산 금정구 금강로 717-0,쇼핑기타,385
