순위,관광지명,주소,분류,외지인 검색 수
1,송도해수욕장,부산 서구,해수욕장,113430
2,송도해상케이블카,부산 서구 송도해변로 171-0,관광명소기타,56006
3,구덕종합운동장,부산 서구 망양로 57-0,운동장,39118
4,암남공원,부산 서구 암남공원로 185-0,공원,35429
5,베스트웨스턴플러스부산송도호텔,부산 서구 송도해변로 97-0,호텔,22340
6,부산공동어시장,부산 서구 충무대로 202-0,시장기타,17049
7,페어필드바이메리어부산송도비치,부산 서구 송도해변로 113-0,호텔,16475
8,충무동새벽시장,부산 서구 해안새벽시장길 68-0,시장기타,10341
9,송도용궁구름다리,부산 서구,관광명소기타,9642
10,부산국제수산물도매시장,부산 서구 원양로 35-0,농수축산물시장,9226
11,감천항동방파제,부산 서구,방파제,7041
12,탑마트서대신점,부산 서구 대영로 5-0,쇼핑기타,5933
13,내원정사,부산 서구 엄광산로40번길 80-0,절,3987
14,감천동편부두,부산 서구,항구,3634
15,브라운도트호텔남포충무점,부산 서구 구덕로119번길 71-0,호텔,3410
16,한웅레포츠본점,부산 서구 보수대로 105-1,레저/스포츠기타,3405
17,송도스카이워크,부산 서구 송도해변로 0-0,관광명소기타,3311
18,브라운도트호텔송도해수욕장점,부산 서구 충무대로34번길 47-0,호텔,2810
19,투헤븐호텔,부산 서구 송도해변로 191-1,모텔/여관,2689
20,부산중앙공원,부산 서구 망양로193번길 187-0,공원,2654
21,탑마트남부민점,부산 서구 충무대로 246-0,쇼핑기타,2599
22,임시수도기념관,부산 서구 임시수도기념로 45-0,박물관/기념관,2101
23,부산비치관광호텔,부산 서구 등대로 113-0,호텔,1983
24,파인힐모텔,부산 서구 암남공원로 249-0,모텔/여관,1951
25,부산광역시립구덕도서관,부산 서구 대신공원로 41-0,문화생활시설기타,1928
26,충무쇼핑,부산 서구 충무대로255번길 9-0,쇼핑기타,1573
27,남부민방파제,부산 서구,방파제,1463
28,송도해양레포츠센터,부산 서구,수상해양스포츠,1435
29,부산국민체육센터,부산 서구 대신로 150-0,운동장,1349
30,코자자호텔,부산 서구 송도해변로 185-0,모텔/여관,1316
31,대신골프프라자,부산 서구 엄광산로 41-0,골프장,1244
32,다이소서대신점,부산 서구 구덕로321번길 15-0,쇼핑기타,1211
33,오성피트니스남포점,부산 서구 보수대로 27-0,레저/스포츠기타,1190
34,2월호텔송도점,부산 서구 암남공원로 247-0,모텔/여관,1153
35,구덕문화공원,부산 서구,공원,1066
36,아바호텔암남점,부산 서구 송도해변로 183-0,모텔/여관,947
37,아리아호텔,부산 서구 암남공원로 245-0,모텔/여관,905
38,EL호텔,부산 서구 충무대로34번길 37-3,모텔/여관,873
39,호텔얌부산송도점,부산 서구 충무대로34번길 29-0,모텔/여관,807
40,누리바라기,부산 서구,전망대,772
41,버튼호텔남포점,부산 서구 구덕로114번길 27-0,모텔/여관,745
42,천마산에코하우스,부산 서구 천마산로 342-0,숙박기타,743
43,송도오토캠핑장,부산 서구 송도해변로 36-0,캠프장,731
44,대신공원,부산 서구,공원,720
44,서대신동골목시장,부산 서구 구덕로295번길 16-0,재래시장,720
46,알로이시오기지1968,부산 서구 감천로 237-0,문화생활시설기타,714
47,대방수산,부산 서구 암남공원로 218-0,농수축산물시장,633
48,ABC볼링센터,부산 서구 구덕로 102-1,레저/스포츠기타,584
49,스카이하버전망대,부산 서구 암남공원로 181-0,전망대,579
50,골프존파크초장우리동네점,부산 서구 구덕로163번길 26-0,골프장,573
51,송도스포츠센터,부산 서구 송도해변로 121-0,레저/스포츠기타,571
52,홈플러스익스프레스서대신점,부산 서구 구덕로 317-1,쇼핑기타,551
53,호텔쿼츠,부산 서구 원양로 132-0,모텔/여관,533
54,테마호텔,부산 서구 송도해변로 187-0,모텔/여관,525
55,버튼호텔남포점,부산 서구 구덕로114번길 27-1,모텔/여관,488
56,엄광산유아숲체험장,부산 서구 엄광산로 153-0,동식물원,482
57,호텔송도비치,부산 서구 암남공원로 9-0,호텔,463
58,99.9호텔,부산 서구 송도해변로 205-0,모텔/여관,458
59,천마산조각공원,부산 서구,공원,425
60,아비숑모텔,부산 서구 송도해변로 191-0,모텔/여관,409
61,구덕청소년수련관,부산 서구 꽃마을로156번길 109-0,수련장,391
62,락서암,부산 서구 망양로 227-3,절,378
