순위,관광지명,주소,분류,합산 검색 수
1,송도해수욕장,부산 서구,해수욕장,124501
2,송도해상케이블카,부산 서구 송도해변로 171-0,관광명소기타,57261
3,구덕종합운동장,부산 서구 망양로 57-0,운동장,50306
4,암남공원,부산 서구 암남공원로 185-0,공원,36708
5,베스트웨스턴플러스부산송도호텔,부산 서구 송도해변로 97-0,호텔,22979
6,부산공동어시장,부산 서구 충무대로 202-0,시장기타,20871
7,페어필드바이메리어부산송도비치,부산 서구 송도해변로 113-0,호텔,16987
8,충무동새벽시장,부산 서구 해안새벽시장길 68-0,시장기타,13032
9,부산국제수산물도매시장,부산 서구 원양로 35-0,농수축산물시장,11573
10,송도용궁구름다리,부산 서구,관광명소기타,9774
11,감천항동방파제,부산 서구,방파제,7658
12,탑마트서대신점,부산 서구 대영로 5-0,쇼핑기타,7316
13,내원정사,부산 서구 엄광산로40번길 80-0,절,4357
14,한웅레포츠본점,부산 서구 보수대로 105-1,레저/스포츠기타,4047
15,감천동편부두,부산 서구,항구,3783
16,브라운도트호텔남포충무점,부산 서구 구덕로119번길 71-0,호텔,3699
17,송도스카이워크,부산 서구 송도해변로 0-0,관광명소기타,3341
18,부산중앙공원,부산 서구 망양로193번길 187-0,공원,3148
19,탑마트남부민점,부산 서구 충무대로 246-0,쇼핑기타,3081
20,브라운도트호텔송도해수욕장점,부산 서구 충무대로34번길 47-0,호텔,2967
21,투헤븐호텔,부산 서구 송도해변로 191-1,모텔/여관,2836
22,부산광역시립구덕도서관,부산 서구 대신공원로 41-0,문화생활시설기타,2436
23,임시수도기념관,부산 서구 임시수도기념로 45-0,박물관/기념관,2306
24,부산비치관광호텔,부산 서구 등대로 113-0,호텔,2029
25,파인힐모텔,부산 서구 암남공원로 249-0,모텔/여관,2018
26,충무쇼핑,부산 서구 충무대로255번길 9-0,쇼핑기타,1975
27,부산국민체육센터,부산 서구 대신로 150-0,운동장,1845
28,남부민방파제,부산 서구,방파제,1519
29,대신골프프라자,부산 서구 엄광산로 41-0,골프장,1518
30,오성피트니스남포점,부산 서구 보수대로 27-0,레저/스포츠기타,1514
31,송도해양레포츠센터,부산 서구,수상해양스포츠,1506
32,다이소서대신점,부산 서구 구덕로321번길 15-0,쇼핑기타,1465
33,코자자호텔,부산 서구 송도해변로 185-0,모텔/여관,1388
34,2월호텔송도점,부산 서구 암남공원로 247-0,모텔/여관,1209
35,구덕문화공원,부산 서구,공원,1145
36,아바호텔암남점,부산 서구 송도해변로 183-0,모텔/여관,987
37,아리아호텔,부산 서구 암남공원로 245-0,모텔/여관,934
38,EL호텔,부산 서구 충무대로34번길 37-3,모텔/여관,924
39,서대신동골목시장,부산 서구 구덕로295번길 16-0,재래시장,919
40,대신공원,부산 서구,공원,905
41,누리바라기,부산 서구,전망대,876
42,호텔얌부산송도점,부산 서구 충무대로34번길 29-0,모텔/여관,856
43,송도스포츠센터,부산 서구 송도해변로 121-0,레저/스포츠기타,794
44,천마산에코하우스,부산 서구 천마산로 342-0,숙박기타,793
45,알로이시오기지1968,부산 서구 감천로 237-0,문화생활시설기타,790
46,버튼호텔남포점,부산 서구 구덕로114번길 27-0,모텔/여관,770
47,송도오토캠핑장,부산 서구 송도해변로 36-0,캠프장,766
48,골프존파크초장우리동네점,부산 서구 구덕로163번길 26-0,골프장,695
49,대방수산,부산 서구 암남공원로 218-0,농수축산물시장,662
50,테마호텔,부산 서구 송도해변로 187-0,모텔/여관,628
51,홈플러스익스프레스서대신점,부산 서구 구덕로 317-1,쇼핑기타,612
52,ABC볼링센터,부산 서구 구덕로 102-1,레저/스포츠기타,607
53,호텔쿼츠,부산 서구 원양로 132-0,모텔/여관,603
54,락서암,부산 서구 망양로 227-3,절,585
54,스카이하버전망대,부산 서구 암남공원로 181-0,전망대,585
56,엄광산유아숲체험장,부산 서구 엄광산로 153-0,동식물원,512
57,버튼호텔남포점,부산 서구 구덕로114번길 27-1,모텔/여관,499
