순위,관광지명,주소,분류,현지인 검색 수
1,구덕종합운동장,부산 서구 망양로 57-0,운동장,11188
2,송도해수욕장,부산 서구,해수욕장,11071
3,부산공동어시장,부산 서구 충무대로 202-0,시장기타,3822
4,충무동새벽시장,부산 서구 해안새벽시장길 68-0,시장기타,2691
5,부산국제수산물도매시장,부산 서구 원양로 35-0,농수축산물시장,2347
6,탑마트서대신점,부산 서구 대영로 5-0,쇼핑기타,1383
7,암남공원,부산 서구 암남공원로 185-0,공원,1279
8,송도해상케이블카,부산 서구 송도해변로 171-0,관광명소기타,1255
9,한웅레포츠본점,부산 서구 보수대로 105-1,레저/스포츠기타,642
10,베스트웨스턴플러스부산송도호텔,부산 서구 송도해변로 97-0,호텔,639
11,감천항동방파제,부산 서구,방파제,617
12,페어필드바이메리어부산송도비치,부산 서구 송도해변로 113-0,호텔,512
13,부산광역시립구덕도서관,부산 서구 대신공원로 41-0,문화생활시설기타,508
14,부산국민체육센터,부산 서구 대신로 150-0,운동장,496
15,부산중앙공원,부산 서구 망양로193번길 187-0,공원,494
16,탑마트남부민점,부산 서구 충무대로 246-0,쇼핑기타,482
17,충무쇼핑,부산 서구 충무대로255번길 9-0,쇼핑기타,402
18,내원정사,부산 서구 엄광산로40번길 80-0,절,370
19,오성피트니스남포점,부산 서구 보수대로 27-0,레저/스포츠기타,324
20,브라운도트호텔남포충무점,부산 서구 구덕로119번길 71-0,호텔,289
21,대신골프프라자,부산 서구 엄광산로 41-0,골프장,274
22,다이소서대신점,부산 서구 구덕로321번길 15-0,쇼핑기타,254
23,송도스포츠센터,부산 서구 송도해변로 121-0,레저/스포츠기타,223
24,락서암,부산 서구 망양로 227-3,절,207
25,임시수도기념관,부산 서구 임시수도기념로 45-0,박물관/기념관,205
26,서대신동골목시장,부산 서구 구덕로295번길 16-0,재래시장,199
27,대신공원,부산 서구,공원,185
28,브라운도트호텔송도해수욕장점,부산 서구 충무대로34번길 47-0,호텔,157
29,감천동편부두,부산 서구,항구,149
30,투헤븐호텔,부산 서구 송도해변로 191-1,모텔/여관,147
31,송도용궁구름다리,부산 서구,관광명소기타,132
32,송도모텔,부산 서구 송도해변로 117-0,모텔/여관,126
33,부산국민체육센터실내수영장,부산 서구 대신로 150-0,수영장,125
34,골프존파크초장우리동네점,부산 서구 구덕로163번길 26-0,골프장,122
35,누리바라기,부산 서구,전망대,104
36,테마호텔,부산 서구 송도해변로 187-0,모텔/여관,103
37,구덕문화공원,부산 서구,공원,79
38,알로이시오기지1968,부산 서구 감천로 237-0,문화생활시설기타,76
39,코자자호텔,부산 서구 송도해변로 185-0,모텔/여관,72
40,송도해양레포츠센터,부산 서구,수상해양스포츠,71
41,호텔쿼츠,부산 서구 원양로 132-0,모텔/여관,70
42,파인힐모텔,부산 서구 암남공원로 249-0,모텔/여관,67
43,홈플러스익스프레스서대신점,부산 서구 구덕로 317-1,쇼핑기타,61
44,용주사,부산 서구 천마산로 263-0,절,58
45,어울림작은도서관,부산 서구 해돋이로 59-0,문화생활시설기타,57
46,2월호텔송도점,부산 서구 암남공원로 247-0,모텔/여관,56
46,남부민방파제,부산 서구,방파제,56
48,감천항수산물도매시장,부산 서구 원양로 0-0,농수축산물시장,54
49,EL호텔,부산 서구 충무대로34번길 37-3,모텔/여관,51
50,천마산에코하우스,부산 서구 천마산로 342-0,숙박기타,50
51,호텔얌부산송도점,부산 서구 충무대로34번길 29-0,모텔/여관,49
52,부산비치관광호텔,부산 서구 등대로 113-0,호텔,46
53,닥밭골벽화마을,부산 서구,관광명소기타,44
54,천마산조각공원,부산 서구,공원,43
55,아바호텔암남점,부산 서구 송도해변로 183-0,모텔/여관,40
56,구덕청소년수련관,부산 서구 꽃마을로156번길 109-0,수련장,36
56,충무쇼핑맨션,부산 서구 충무대로255번길 9-0,쇼핑기타,36
58,송도오토캠핑장,부산 서구 송도해변로 36-0,캠프장,35
58,한성하우스,부산 서구 구덕로285번길 24-0,숙박기타,35
60,대한불교천태종정법사,부산 서구 구덕로345번길 12-0,절,34
61,대법사,부산 서구 남부민로 28-0,절,33
61,정도수산,부산 서구,농수축산물시장,33
63,송도스카이워크,부산 서구 송도해변로 0-0,관광명소기타,30
63,엄광산유아숲체험장,부산 서구 엄광산로 153-0,동식물원,30
65,아리아호텔,부산 서구 암남공원로 245-0,모텔/여관,29
65,대방수산,부산 서구 암남공원로 218-0,농수축산물시장,29
67,99.9호텔,부산 서구 송도해변로 205-0,모텔/여관,27
67,CU부산꽃동네점,부산 서구 꽃마을로 159-0,쇼핑기타,27
69,정관장부산동대신점,부산 서구 구덕로 284-1,쇼핑기타,26
70,버튼호텔남포점,부산 서구 구덕로114번길 27-0,모텔/여관,25
70,광성사,부산 서구 해돋이로 250-0,절,25
72,우리마트송도점,부산 서구 충무대로 8-0,쇼핑기타,24
73,ABC볼링센터,부산 서구 구덕로 102-1,레저/스포츠기타,23
73,부산송도달집축제,부산 서구,축제,23
75,호텔송도비치,부산 서구 암남공원로 9-0,호텔,22
76,충무동 해안시장,부산 서구 자갈치로 14-12,재래시장,19
76,미부아트센터,부산 서구 암남공원로 82-0,미술관,19
78,스테이모텔,부산 서구 초장로 54-0,모텔/여관,18
78,바다모텔,부산 서구 충무대로276번길 12-0,모텔/여관,18
78,블랙야크부산광복점,부산 서구 구덕로 95-0,쇼핑기타,18
78,대해수산,부산 서구 새벽시장길 35-0,농수축산물시장,18
82,오성피트니스동대신1호점,부산 서구 보수대로 198-1,레저/스포츠기타,17
83,아미동골목시장,부산 서구 아미초장로 132-0,재래시장,16
84,부산전통문화체험관,부산 서구 꽃마을로163번길 71-0,문화생활시설기타,15
85,천마산전망대,부산 서구,전망대,14
86,웰호텔,부산 서구 원양로 132-0,모텔/여관,13
86,세븐일레븐부산토성역점,부산 서구 구덕로 192-1,쇼핑기타,13
86,홍익화방,부산 서구 보수대로 243-0,쇼핑기타,13
89,구덕야영장,부산 서구 꽃마을로156번길 109-0,캠프장,12
89,부산스포츠클럽,부산 서구 성산길 45-0,골프장,12
89,세용마트,부산 서구 대영로 78-0,쇼핑기타,12
89,폴인기구필라테스&필라게이션송도비치점,부산 서구 암남공원로 1-0,레저/스포츠기타,12
89,선미슈퍼,부산 서구 부용로 20-0,쇼핑기타,12
94,SKY모텔,부산 서구 원양로 148-0,모텔/여관,11
94,맥스모텔,부산 서구 원양로142번길 8-0,모텔/여관,11
94,버튼호텔남포점,부산 서구 구덕로114번길 27-1,모텔/여관,11
94,골프존자이언트스크린골프,부산 서구 보수대로 239-0,골프장,11
94,송도오션파크,부산 서구 송도해변로 36-0,공원,11
94,대신더샵아파트상가,부산 서구 꽃마을로 48-0,쇼핑기타,11
100,환희정사,부산 서구 천마산로 85-0,절,10
