순위,관광지명,주소,분류,합산 검색 수
1,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,510612
2,이케아동부산점,부산 기장군 동부산관광3로 17-0,쇼핑센터,351323
3,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑센터,315872
4,해동용궁사,부산 기장군 용궁길 86-0,절,169201
5,아난티힐튼부산,부산 기장군 기장해안로 268-32,호텔,157766
6,기장시장,부산 기장군 읍내로104번길 16-0,재래시장,144318
7,일광해수욕장,부산 기장군 삼성3길 0-0,해수욕장,99348
8,대변항,부산 기장군 기장해안로 0-0,항구,79553
9,홈플러스부산정관점,부산 기장군 정관5로 50-0,쇼핑센터,73234
10,기장해녀촌,부산 기장군 연화1길 184-0,관광명소기타,63450
11,장안사,부산 기장군 장안로 482-0,절,50207
12,해운대CC,부산 기장군 병산2로 265-0,골프장,49649
13,임랑해수욕장,부산 기장군,해수욕장,45100
14,해운대비치골프앤리조트,부산 기장군 대변로 74-0,골프장,45018
15,아홉산숲,부산 기장군 미동길 37-1,동식물원,43588
16,국립부산과학관,부산 기장군 동부산관광6로 59-0,과학관,41819
17,죽성드림세트장,부산 기장군,촬영지,40258
18,스톤게이트CC,부산 기장군 곡천길 317-0,골프장,40148
19,베이사이드GC,부산 기장군 이천8길 100-0,골프장,37874
20,스카이라인루지부산,부산 기장군,레저/스포츠기타,37361
21,아난티코브,부산 기장군 기장해안로 268-32,종합위락시설,31777
22,엘피지에이인터내셔널부산,부산 기장군 차양길 26-0,골프장,29904
23,롯데몰메종동부산,부산 기장군 동부산관광로 8-0,쇼핑센터,28092
24,기장동원로얄컨트리클럽,부산 기장군 반송로 1345-0,골프장,22963
25,고리원자력홍보관,부산 기장군,박물관/기념관,22609
26,메가마트기장점,부산 기장군 기장대로 673-0,쇼핑센터,22049
27,탑마트정관점,부산 기장군 산단1로 133-0,쇼핑기타,17910
28,CGV정관,부산 기장군 정관중앙로 45-0,극장,16683
29,롯데시네마드라이브오시리아,부산 기장군,극장,16443
30,학리방파제,부산 기장군,방파제,16375
31,칠암방파제,부산 기장군,방파제,15785
32,용소웰빙공원,부산 기장군,공원,14875
33,국립수산과학관,부산 기장군 기장해안로 216-0,과학관,13290
34,메가박스정관,부산 기장군 정관6로 39-0,극장,12822
35,기장도서관,부산 기장군 차성동로126번길 13-5,문화생활시설기타,12458
36,롯데마트동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,12405
37,해광사,부산 기장군 기장해안로 340-0,절,11854
38,신평소공원,부산 기장군 일광로 582-47,공원,11819
39,기장현대차드림볼파크,부산 기장군 체육공원1로 155-0,운동장,11295
40,롯데몰동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,11078
41,탑마트기장점,부산 기장군 대청로71번길 5-0,쇼핑기타,10307
42,기장체육관,부산 기장군 기장대로 650-0,운동장,9833
43,고리스포츠문화센터,부산 기장군 해맞이로 454-0,문화생활시설기타,9473
44,남광식육점,부산 기장군 정관덕산길 30-0,쇼핑기타,9300
45,다이소정관신도시점,부산 기장군 정관7로 34-0,쇼핑기타,9052
46,정관온천,부산 기장군 정관8로 16-5,온천,8859
47,동부산온천호텔,부산 기장군 장안로 38-0,호텔,8743
48,대변방파제,부산 기장군,방파제,8369
49,아난티펜트하우스해운대,부산 기장군 기장해안로 268-31,콘도/리조트,8345
50,부산 칠드런스 뮤지엄,부산 기장군 기장해안로 172-0,테마파크,8330
51,정관도서관,부산 기장군 정관중앙로 138-11,문화생활시설기타,7920
52,아시아드컨트리클럽,부산 기장군 차양길 26-0,골프장,7439
53,다이소부산기장점,부산 기장군 차성동로 63-0,쇼핑기타,7298
54,이동방파제,부산 기장군 이천길 78-1,방파제,6765
55,부산치유의숲,부산 기장군 철마천로 101-0,산림욕장,6745
56,센터폴롯데동부산아울렛직영점,부산 기장군 기장해안로 147-0,쇼핑기타,6744
57,하운드호텔기장일광점,부산 기장군 해송3로 2-0,호텔,6503
58,월전활어판매장,부산 기장군,농수축산물시장,6395
59,문동방파제,부산 기장군,방파제,5834
60,롯데시네마동부산아울렛,부산 기장군 기장해안로 147-0,극장,5813
61,소원사,부산 기장군 정관중앙로 198-0,절,5731
62,히어로테마파크정관점,부산 기장군 정관중앙로 45-0,테마파크,5640
63,기장월드컵빌리지,부산 기장군,운동장,5638
64,리버사이드,부산 기장군 일광로 582-44,펜션,5619
65,은진사,부산 기장군 고무로 271-47,절,5314
66,국립달음산자연휴양림,부산 기장군 화용길 299-106,자연휴양림,5288
67,동행복권판매점뉴빅마트,부산 기장군 정관중앙로 48-0,쇼핑기타,5037
68,칠암항,부산 기장군,포구,4929
69,대변시장,부산 기장군,재래시장,4820
70,브라운도트호텔정관점,부산 기장군 산단1로 98-31,호텔,4724
71,캠핑고래부산기장점,부산 기장군 대청로71번길 49-0,쇼핑기타,4473
72,팔로스버디스,부산 기장군 장안로 8-0,골프장,4446
73,탑마트기장서부점,부산 기장군 읍내로 49-0,쇼핑기타,4350
74,옥정사,부산 기장군 달음길 101-0,절,4322
75,브라운도트호텔기장연화리점,부산 기장군 연화길 46-5,호텔,4257
76,죽성방파제,부산 기장군,방파제,4036
77,장안사계곡,부산 기장군,폭포/계곡,4019
78,해동성취사,부산 기장군 일광로 429-0,절,4006
79,안데르센극장,부산 기장군 장안로 211-0,공연장,3997
80,테마숲,부산 기장군,공원,3943
81,기장군청소년수련관,부산 기장군 달음산길 106-0,수련장,3886
82,이동항,부산 기장군 이동길 21-0,항구,3855
83,프리모리캠핑,부산 기장군 예림1로 104-0,쇼핑기타,3812
84,은아골프연습장,부산 기장군 산단로 112-0,골프장,3617
85,기장체육관보조경기장,부산 기장군 기장대로 650-0,운동장,3519
86,기장멸치축제,부산 기장군,축제,3509
87,길천방파제,부산 기장군,방파제,3468
88,소두방공원,부산 기장군 정관중앙로 138-11,공원,3355
89,장안천야구장,부산 기장군 고무로 294-0,운동장,3336
90,바모스승마클럽,부산 기장군 병산1길 0-0,승마장,3321
91,타이드어웨이풀빌라,부산 기장군 기장해안로 26-0,숙박기타,3216
92,오시리아테마파크,부산 기장군,관광명소기타,3204
93,W배드민턴센터,부산 기장군 예림1로 75-1,레저/스포츠기타,3122
94,호텔여기어때정관점,부산 기장군 산단2로 31-32,모텔/여관,3026
95,오시리아관광단지,부산 기장군 기장해안로 0-0,관광단지,2958
96,대변어촌계해녀특산물판매장,부산 기장군 기장해안로 668-0,특산물단지,2951
97,기장월드컵빌리지축구장,부산 기장군,운동장,2888
98,문중방파제,부산 기장군,방파제,2769
99,K2모텔,부산 기장군 산단1로 98-41,모텔/여관,2732
100,온정방파제,부산 기장군,방파제,2704
