순위,관광지명,주소,분류,현지인 검색 수
1,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,37866
2,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑센터,25424
3,기장시장,부산 기장군 읍내로104번길 16-0,재래시장,22918
4,이케아동부산점,부산 기장군 동부산관광3로 17-0,쇼핑센터,19373
5,홈플러스부산정관점,부산 기장군 정관5로 50-0,쇼핑센터,18899
6,일광해수욕장,부산 기장군 삼성3길 0-0,해수욕장,10359
7,아난티힐튼부산,부산 기장군 기장해안로 268-32,호텔,9353
8,장안사,부산 기장군 장안로 482-0,절,6491
9,임랑해수욕장,부산 기장군,해수욕장,5828
10,탑마트정관점,부산 기장군 산단1로 133-0,쇼핑기타,5595
11,대변항,부산 기장군 기장해안로 0-0,항구,5316
12,해운대CC,부산 기장군 병산2로 265-0,골프장,5148
13,해운대비치골프앤리조트,부산 기장군 대변로 74-0,골프장,4997
14,고리원자력홍보관,부산 기장군,박물관/기념관,4874
15,해동용궁사,부산 기장군 용궁길 86-0,절,4598
16,메가마트기장점,부산 기장군 기장대로 673-0,쇼핑센터,4556
17,스톤게이트CC,부산 기장군 곡천길 317-0,골프장,3987
18,기장도서관,부산 기장군 차성동로126번길 13-5,문화생활시설기타,3903
19,국립부산과학관,부산 기장군 동부산관광6로 59-0,과학관,3851
20,엘피지에이인터내셔널부산,부산 기장군 차양길 26-0,골프장,3824
21,베이사이드GC,부산 기장군 이천8길 100-0,골프장,3697
22,기장동원로얄컨트리클럽,부산 기장군 반송로 1345-0,골프장,3421
23,롯데몰메종동부산,부산 기장군 동부산관광로 8-0,쇼핑센터,3264
24,CGV정관,부산 기장군 정관중앙로 45-0,극장,3154
25,메가박스정관,부산 기장군 정관6로 39-0,극장,2834
26,정관온천,부산 기장군 정관8로 16-5,온천,2685
27,고리스포츠문화센터,부산 기장군 해맞이로 454-0,문화생활시설기타,2655
28,탑마트기장점,부산 기장군 대청로71번길 5-0,쇼핑기타,2622
29,기장해녀촌,부산 기장군 연화1길 184-0,관광명소기타,2583
30,다이소정관신도시점,부산 기장군 정관7로 34-0,쇼핑기타,2512
31,기장체육관,부산 기장군 기장대로 650-0,운동장,2504
32,정관도서관,부산 기장군 정관중앙로 138-11,문화생활시설기타,2400
33,롯데몰동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,2391
34,아홉산숲,부산 기장군 미동길 37-1,동식물원,2320
35,스카이라인루지부산,부산 기장군,레저/스포츠기타,2149
36,동부산온천호텔,부산 기장군 장안로 38-0,호텔,2033
37,죽성드림세트장,부산 기장군,촬영지,1941
38,칠암방파제,부산 기장군,방파제,1929
39,아난티코브,부산 기장군 기장해안로 268-32,종합위락시설,1826
40,신평소공원,부산 기장군 일광로 582-47,공원,1696
41,다이소부산기장점,부산 기장군 차성동로 63-0,쇼핑기타,1669
42,남광식육점,부산 기장군 정관덕산길 30-0,쇼핑기타,1622
43,학리방파제,부산 기장군,방파제,1619
44,국립수산과학관,부산 기장군 기장해안로 216-0,과학관,1522
45,용소웰빙공원,부산 기장군,공원,1344
46,기장체육관보조경기장,부산 기장군 기장대로 650-0,운동장,1272
47,롯데시네마드라이브오시리아,부산 기장군,극장,1263
48,기장현대차드림볼파크,부산 기장군 체육공원1로 155-0,운동장,1140
49,탑마트기장서부점,부산 기장군 읍내로 49-0,쇼핑기타,1120
50,롯데마트동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,1102
51,기장월드컵빌리지,부산 기장군,운동장,1012
52,기장군청소년수련관,부산 기장군 달음산길 106-0,수련장,1004
53,기장군국민체육센터,부산 기장군 체육공원1로 29-0,레저/스포츠기타,962
54,해광사,부산 기장군 기장해안로 340-0,절,904
55,이동방파제,부산 기장군 이천길 78-1,방파제,897
56,대변방파제,부산 기장군,방파제,893
57,히어로테마파크정관점,부산 기장군 정관중앙로 45-0,테마파크,886
58,리버사이드,부산 기장군 일광로 582-44,펜션,868
59,부산치유의숲,부산 기장군 철마천로 101-0,산림욕장,864
60,아시아드컨트리클럽,부산 기장군 차양길 26-0,골프장,831
61,팔로스버디스,부산 기장군 장안로 8-0,골프장,822
62,캠핑고래부산기장점,부산 기장군 대청로71번길 49-0,쇼핑기타,790
63,동행복권판매점뉴빅마트,부산 기장군 정관중앙로 48-0,쇼핑기타,777
64,정관신도시시장,부산 기장군 정관6로 5-20,종합시장,776
65,롯데시네마동부산아울렛,부산 기장군 기장해안로 147-0,극장,773
66,은아골프연습장,부산 기장군 산단로 112-0,골프장,750
67,안데르센극장,부산 기장군 장안로 211-0,공연장,746
68,은진사,부산 기장군 고무로 271-47,절,738
69,W배드민턴센터,부산 기장군 예림1로 75-1,레저/스포츠기타,705
70,휴먼시아마트,부산 기장군 정관4로 23-0,쇼핑기타,701
71,소두방공원,부산 기장군 정관중앙로 138-11,공원,630
72,국립달음산자연휴양림,부산 기장군 화용길 299-106,자연휴양림,618
73,장안천야구장,부산 기장군 고무로 294-0,운동장,612
74,문동방파제,부산 기장군,방파제,577
75,테마숲,부산 기장군,공원,571
76,장안사계곡,부산 기장군,폭포/계곡,568
77,옥정사,부산 기장군 달음길 101-0,절,564
78,센터폴롯데동부산아울렛직영점,부산 기장군 기장해안로 147-0,쇼핑기타,561
79,물조은온천,부산 기장군 반송로 1650-0,온천,554
80,카덴96,부산 기장군 기장대로 1075-3,온천,544
81,미진마트,부산 기장군 모전1길 14-0,쇼핑기타,534
82,본다빈치스퀘어부산,부산 기장군 기장해안로 98-0,화랑/전시관,524
83,JN총각정육백화점정관점,부산 기장군 병산로 2-0,쇼핑기타,519
84,이마트에브리데이부산일광점,부산 기장군 해빛로 39-22,쇼핑기타,513
85,부산 칠드런스 뮤지엄,부산 기장군 기장해안로 172-0,테마파크,508
86,길천방파제,부산 기장군,방파제,505
87,월전활어판매장,부산 기장군,농수축산물시장,502
88,바모스승마클럽,부산 기장군 병산1길 0-0,승마장,498
89,프리모리캠핑,부산 기장군 예림1로 104-0,쇼핑기타,486
90,아난티펜트하우스해운대,부산 기장군 기장해안로 268-31,콘도/리조트,479
90,하운드호텔기장일광점,부산 기장군 해송3로 2-0,호텔,479
92,죽성방파제,부산 기장군,방파제,466
93,칠암항,부산 기장군,포구,465
94,가화만사성더테라스1차아파트상가,부산 기장군 구연방곡로 120-0,쇼핑기타,464
95,오시리아테마파크,부산 기장군,관광명소기타,445
96,장안캠프,부산 기장군 장안로 18-0,캠프장,435
96,매직골프연습장,부산 기장군 기장대로 1047-7,골프장,435
98,대라다목적도서관,부산 기장군 차성서로 86-0,문화생활시설기타,434
98,정관휴먼시아5단지아파트상가,부산 기장군 산단2로 60-0,쇼핑기타,434
100,브라운도트호텔정관점,부산 기장군 산단1로 98-31,호텔,420
