순위,관광지명,주소,분류,외지인 검색 수
1,코스트코홀세일부산점,부산 수영구 구락로 137-0,쇼핑센터,267885
2,광안리해수욕장,부산 수영구 광안해변로 219-0,해수욕장,227627
3,메가마트남천점,부산 수영구 황령대로 521-0,쇼핑센터,49644
4,민락수변공원,부산 수영구,공원,24889
5,민락회타운,부산 수영구 민락수변로 1-0,농수축산물시장,24335
6,호메르스호텔,부산 수영구 광안해변로 217-0,호텔,18982
7,남천해변시장,부산 수영구 광안해변로15번길 77-0,종합시장,18702
8,수영팔도시장,부산 수영구 수영로705번길 43-0,재래시장,14759
9,민락어민활어직판장,부산 수영구 광안해변로312번길 60-0,농수축산물시장,14240
10,F1963,부산 수영구 구락로123번길 20-0,문화생활시설기타,11905
11,호텔센트럴베이,부산 수영구 광안해변로 189-0,호텔,11703
12,수영구국민체육센터,부산 수영구 수영로521번길 77-0,레저/스포츠기타,10787
13,아쿠아펠리스호텔,부산 수영구 광안해변로 225-0,호텔,10685
14,켄트호텔,부산 수영구 광안해변로 229-0,호텔,7937
15,수영사적공원,부산 수영구,공원,7614
16,홈플러스익스프레스광안점,부산 수영구 수영로 625-0,쇼핑기타,6985
17,캠핑고래부산센텀점,부산 수영구 수영로741번길 120-0,쇼핑기타,4882
18,금련산청소년수련원,부산 수영구 황령산로 156-0,수련장,4804
19,유토피아호텔,부산 수영구 무학로9번길 133-0,호텔,4610
20,예스24중고서점수영점F1963,부산 수영구 구락로123번길 20-0,쇼핑기타,4517
21,망미중앙시장,부산 수영구 망미배산로10번길 35-0,시장기타,4164
22,원에잇,부산 수영구 광남로 63-0,쇼핑기타,4146
23,광안하운드호텔,부산 수영구 남천바다로33번길 12-0,호텔,4078
24,다이소부산수영점,부산 수영구 연수로 411-0,쇼핑기타,3846
25,브라운도트호텔수영점,부산 수영구 망미번영로52번길 112-0,호텔,3650
26,현대모터스튜디오부산,부산 수영구 구락로123번길 20-0,전시장,3529
27,에이치에비뉴호텔광안리점,부산 수영구 민락수변로 29-0,호텔,3413
28,크레이지11,부산 수영구 수영로 737-0,쇼핑기타,3359
29,다이소부산남천점,부산 수영구 수영로464번길 20-0,쇼핑기타,2991
30,베스트루이스해밀턴호텔광안점,부산 수영구 광안해변로 276-0,호텔,2790
31,민락어패류시장,부산 수영구 광안해변로 278-0,농수축산물시장,2738
32,부산MBC드림홀,부산 수영구 감포로8번길 69-0,공연장,2682
33,AG405호텔,부산 수영구 민락수변로 141-0,호텔,2621
33,망고호텔,부산 수영구 남천바다로33번길 90-0,호텔,2621
35,브라운도트호텔민락점,부산 수영구 광안해변로278번길 42-0,모텔/여관,2546
36,오션더포인트호텔광안점,부산 수영구 광안해변로278번길 42-0,호텔,2510
37,마린뷰호텔,부산 수영구 광안해변로278번길 42-0,호텔,2467
38,민락골목시장,부산 수영구 광안해변로277번길 28-8,재래시장,2387
39,오션투헤븐호텔,부산 수영구 광안해변로278번길 42-0,호텔,2374
40,에이치에비뉴광안리해변점,부산 수영구 광안해변로278번길 42-0,호텔,2320
41,호텔1,부산 수영구 광안해변로 203-0,호텔,2303
42,옥련선원,부산 수영구 광남로257번길 58-0,절,2268
43,웨이브락 클라이밍광안점,부산 수영구 장대골로 41-0,레저/스포츠기타,2221
44,비콘그라운드,부산 수영구 망미번영로 0-0,문화생활시설기타,2127
45,삼익비치A상가,부산 수영구 광안해변로 95-0,쇼핑기타,2083
46,어반스테이더테라스,부산 수영구 광남로94번길 16-0,숙박기타,2059
47,수영구도서관,부산 수영구 남천서로 33-0,문화생활시설기타,2042
48,수영골프연습장,부산 수영구 망미번영로16번나길 42-0,골프장,2031
49,브라운도트호텔광안리해수욕장점,부산 수영구 남천바다로33번길 31-0,호텔,1985
50,호텔런더너광안점,부산 수영구 민락본동로 12-4,호텔,1884
51,그레이193호텔,부산 수영구 광안해변로278번길 42-0,모텔/여관,1865
52,돈비치관광호텔,부산 수영구 광남로 96-0,호텔,1856
53,광안종합시장,부산 수영구 무학로49번길 71-0,종합시장,1804
54,골프존파크민락씨플러스점,부산 수영구 민락수변로 29-0,골프장,1803
55,호텔야자광안리점,부산 수영구 민락본동로11번길 74-0,모텔/여관,1716
56,Y모텔,부산 수영구 광안해변로290번길 7-0,모텔/여관,1536
57,넘버25호텔광안리점,부산 수영구 광안해변로284번길 16-0,모텔/여관,1532
57,누리호텔,부산 수영구 남천바다로33번길 86-0,모텔/여관,1532
59,오션스테이호텔,부산 수영구 광안해변로278번길 42-0,호텔,1493
60,투헤븐호텔,부산 수영구 남천바다로33번길 25-0,호텔,1448
61,프리미엄브이호텔,부산 수영구 남천바다로33번길 51-0,호텔,1331
62,씨유호텔,부산 수영구 남천바다로33번길 16-0,모텔/여관,1310
63,오션뷰호텔,부산 수영구 광안해변로278번길 42-0,모텔/여관,1280
64,총각정육백화점남천점,부산 수영구 수영로 418-0,쇼핑기타,1263
65,호텔스미스,부산 수영구 수영로 690-10,모텔/여관,1262
66,호텔더라찌,부산 수영구 수영로 562-14,모텔/여관,1260
66,광안리해양레포츠센터,부산 수영구 광안해변로54번길 222-0,수상해양스포츠,1260
68,호텔메종,부산 수영구 민락본동로11번길 59-0,호텔,1153
69,WABA모텔,부산 수영구 무학로9번길 89-0,모텔/여관,1118
70,호텔휴,부산 수영구 광남로 132-0,모텔/여관,1098
71,광안시장,부산 수영구 수영로603번길 18-0,재래시장,1041
72,코오롱하늘채골든비치상가,부산 수영구 남천동로 23-0,쇼핑기타,1027
73,푸드엔남천점,부산 수영구 수영로 402-0,쇼핑기타,951
74,수영구어린이도서관,부산 수영구 장대골로 75-6,문화생활시설기타,921
75,위더스오션,부산 수영구 광남로94번길 16-0,숙박기타,897
76,광안해변공원,부산 수영구,공원,893
77,디옴므호텔,부산 수영구 광안해변로278번길 42-0,호텔,872
78,수영구도서관 망미분관,부산 수영구 연수로315번길 23-0,문화생활시설기타,871
79,남천마리나,부산 수영구 광안해변로 44-0,수상해양스포츠,847
80,금련사,부산 수영구 광일로 71-0,절,831
81,루센트골프랩,부산 수영구 남천동로108번길 38-0,골프장,830
82,골프존파크광안스타일골프점,부산 수영구 망미번영로16번나길 42-0,골프장,826
83,더엠호텔,부산 수영구 민락수변로7번길 20-0,모텔/여관,813
84,영주암,부산 수영구 망미배산로76번나길 15-0,절,789
85,정선미한복갤러리,부산 수영구 좌수영로101번길 22-0,쇼핑기타,771
86,광안스테이호텔,부산 수영구 광안해변로307번길 18-0,호텔,759
87,아쿠아리즘,부산 수영구 수영로408번길 10-0,쇼핑기타,754
88,브릿지호텔,부산 수영구 광안해변로 155-0,모텔/여관,752
89,동방마트동방오거리점,부산 수영구 수영로606번길 129-0,쇼핑기타,730
90,웁스,부산 수영구 수영로 690-4,모텔/여관,721
91,호텔형킹스턴파크,부산 수영구 무학로9번길 59-0,호텔,706
92,와바모텔,부산 수영구 광안해변로279번길 30-0,모텔/여관,705
93,엘레브,부산 수영구 수영로725번길 27-0,문화생활시설기타,697
94,호텔더그랑광안,부산 수영구 광안해변로290번길 6-0,모텔/여관,673
95,쿱스토어부산수영점,부산 수영구 감포로 88-0,쇼핑기타,669
96,자이마트,부산 수영구 광안해변로277번길 18-0,쇼핑기타,667
97,인디고서원,부산 수영구 수영로408번길 28-0,쇼핑기타,646
98,다온채,부산 수영구 광안해변로307번길 15-0,숙박기타,637
99,뉴비치스크린골프연습장,부산 수영구 광남로 60-0,골프장,625
100,오세암,부산 수영구 망미번영로 12-0,절,617
