순위,관광지명,주소,분류,합산 검색 수
1,코스트코홀세일부산점,부산 수영구 구락로 137-0,쇼핑센터,291434
2,광안리해수욕장,부산 수영구 광안해변로 219-0,해수욕장,240890
3,메가마트남천점,부산 수영구 황령대로 521-0,쇼핑센터,59534
4,민락수변공원,부산 수영구,공원,28156
5,민락회타운,부산 수영구 민락수변로 1-0,농수축산물시장,25829
6,남천해변시장,부산 수영구 광안해변로15번길 77-0,종합시장,22067
7,호메르스호텔,부산 수영구 광안해변로 217-0,호텔,20686
8,수영팔도시장,부산 수영구 수영로705번길 43-0,재래시장,16978
9,민락어민활어직판장,부산 수영구 광안해변로312번길 60-0,농수축산물시장,15308
10,수영구국민체육센터,부산 수영구 수영로521번길 77-0,레저/스포츠기타,14953
11,F1963,부산 수영구 구락로123번길 20-0,문화생활시설기타,12643
12,호텔센트럴베이,부산 수영구 광안해변로 189-0,호텔,12226
13,아쿠아펠리스호텔,부산 수영구 광안해변로 225-0,호텔,11460
14,수영사적공원,부산 수영구,공원,9558
15,홈플러스익스프레스광안점,부산 수영구 수영로 625-0,쇼핑기타,8271
16,켄트호텔,부산 수영구 광안해변로 229-0,호텔,8210
17,캠핑고래부산센텀점,부산 수영구 수영로741번길 120-0,쇼핑기타,5671
18,금련산청소년수련원,부산 수영구 황령산로 156-0,수련장,5470
19,망미중앙시장,부산 수영구 망미배산로10번길 35-0,시장기타,5290
20,유토피아호텔,부산 수영구 무학로9번길 133-0,호텔,5203
21,다이소부산수영점,부산 수영구 연수로 411-0,쇼핑기타,4878
22,예스24중고서점수영점F1963,부산 수영구 구락로123번길 20-0,쇼핑기타,4835
23,원에잇,부산 수영구 광남로 63-0,쇼핑기타,4323
24,광안하운드호텔,부산 수영구 남천바다로33번길 12-0,호텔,4235
25,브라운도트호텔수영점,부산 수영구 망미번영로52번길 112-0,호텔,3980
26,다이소부산남천점,부산 수영구 수영로464번길 20-0,쇼핑기타,3704
27,현대모터스튜디오부산,부산 수영구 구락로123번길 20-0,전시장,3654
28,에이치에비뉴호텔광안리점,부산 수영구 민락수변로 29-0,호텔,3562
29,크레이지11,부산 수영구 수영로 737-0,쇼핑기타,3459
30,민락어패류시장,부산 수영구 광안해변로 278-0,농수축산물시장,3002
31,부산MBC드림홀,부산 수영구 감포로8번길 69-0,공연장,2975
32,베스트루이스해밀턴호텔광안점,부산 수영구 광안해변로 276-0,호텔,2949
33,민락골목시장,부산 수영구 광안해변로277번길 28-8,재래시장,2938
34,옥련선원,부산 수영구 광남로257번길 58-0,절,2839
35,망고호텔,부산 수영구 남천바다로33번길 90-0,호텔,2785
36,AG405호텔,부산 수영구 민락수변로 141-0,호텔,2736
37,브라운도트호텔민락점,부산 수영구 광안해변로278번길 42-0,모텔/여관,2688
38,비콘그라운드,부산 수영구 망미번영로 0-0,문화생활시설기타,2680
39,마린뷰호텔,부산 수영구 광안해변로278번길 42-0,호텔,2602
40,오션더포인트호텔광안점,부산 수영구 광안해변로278번길 42-0,호텔,2601
41,수영구도서관,부산 수영구 남천서로 33-0,문화생활시설기타,2544
42,삼익비치A상가,부산 수영구 광안해변로 95-0,쇼핑기타,2530
43,오션투헤븐호텔,부산 수영구 광안해변로278번길 42-0,호텔,2466
44,웨이브락 클라이밍광안점,부산 수영구 장대골로 41-0,레저/스포츠기타,2447
45,수영골프연습장,부산 수영구 망미번영로16번나길 42-0,골프장,2392
46,호텔1,부산 수영구 광안해변로 203-0,호텔,2389
47,에이치에비뉴광안리해변점,부산 수영구 광안해변로278번길 42-0,호텔,2378
48,돈비치관광호텔,부산 수영구 광남로 96-0,호텔,2161
49,어반스테이더테라스,부산 수영구 광남로94번길 16-0,숙박기타,2157
50,광안종합시장,부산 수영구 무학로49번길 71-0,종합시장,2138
51,브라운도트호텔광안리해수욕장점,부산 수영구 남천바다로33번길 31-0,호텔,2111
52,골프존파크민락씨플러스점,부산 수영구 민락수변로 29-0,골프장,1990
53,호텔런더너광안점,부산 수영구 민락본동로 12-4,호텔,1982
