순위,관광지명,주소,분류,현지인 검색 수
1,코스트코홀세일부산점,부산 수영구 구락로 137-0,쇼핑센터,23549
2,광안리해수욕장,부산 수영구 광안해변로 219-0,해수욕장,13263
3,메가마트남천점,부산 수영구 황령대로 521-0,쇼핑센터,9890
4,수영구국민체육센터,부산 수영구 수영로521번길 77-0,레저/스포츠기타,4166
5,남천해변시장,부산 수영구 광안해변로15번길 77-0,종합시장,3365
6,민락수변공원,부산 수영구,공원,3267
7,수영팔도시장,부산 수영구 수영로705번길 43-0,재래시장,2219
8,수영사적공원,부산 수영구,공원,1944
9,호메르스호텔,부산 수영구 광안해변로 217-0,호텔,1704
10,민락회타운,부산 수영구 민락수변로 1-0,농수축산물시장,1494
11,홈플러스익스프레스광안점,부산 수영구 수영로 625-0,쇼핑기타,1286
12,망미중앙시장,부산 수영구 망미배산로10번길 35-0,시장기타,1126
13,민락어민활어직판장,부산 수영구 광안해변로312번길 60-0,농수축산물시장,1068
14,다이소부산수영점,부산 수영구 연수로 411-0,쇼핑기타,1032
15,캠핑고래부산센텀점,부산 수영구 수영로741번길 120-0,쇼핑기타,789
16,아쿠아펠리스호텔,부산 수영구 광안해변로 225-0,호텔,775
17,F1963,부산 수영구 구락로123번길 20-0,문화생활시설기타,738
18,다이소부산남천점,부산 수영구 수영로464번길 20-0,쇼핑기타,713
19,코오롱하늘채골든비치상가,부산 수영구 남천동로 23-0,쇼핑기타,698
20,금련산청소년수련원,부산 수영구 황령산로 156-0,수련장,666
21,유토피아호텔,부산 수영구 무학로9번길 133-0,호텔,593
22,옥련선원,부산 수영구 광남로257번길 58-0,절,571
23,비콘그라운드,부산 수영구 망미번영로 0-0,문화생활시설기타,553
24,민락골목시장,부산 수영구 광안해변로277번길 28-8,재래시장,551
25,호텔센트럴베이,부산 수영구 광안해변로 189-0,호텔,523
26,수영구도서관,부산 수영구 남천서로 33-0,문화생활시설기타,502
27,수영구어린이도서관,부산 수영구 장대골로 75-6,문화생활시설기타,460
28,삼익비치A상가,부산 수영구 광안해변로 95-0,쇼핑기타,447
29,수영골프연습장,부산 수영구 망미번영로16번나길 42-0,골프장,361
30,뉴비치스크린골프연습장,부산 수영구 광남로 60-0,골프장,356
31,수영구도서관 망미분관,부산 수영구 연수로315번길 23-0,문화생활시설기타,341
32,광안종합시장,부산 수영구 무학로49번길 71-0,종합시장,334
33,브라운도트호텔수영점,부산 수영구 망미번영로52번길 112-0,호텔,330
34,예스24중고서점수영점F1963,부산 수영구 구락로123번길 20-0,쇼핑기타,318
35,돈비치관광호텔,부산 수영구 광남로 96-0,호텔,305
36,부산MBC드림홀,부산 수영구 감포로8번길 69-0,공연장,293
