순위,관광지명,주소,분류,외지인 검색 수
1,이마트문현점,부산 남구 전포대로91번길 47-0,쇼핑센터,86412
2,신선대부두,부산 남구,항구,61142
3,황령산전망대,부산 남구 못골로 15-0,전망대,40992
4,이기대수변공원,부산 남구 이기대공원로 105-20,공원,37080
5,W스퀘어,부산 남구 분포로 145-0,쇼핑센터,30207
6,아바니센트럴호텔부산,부산 남구 전포대로 133-0,호텔,25750
7,오륙도스카이워크,부산 남구 오륙도로 137-0,전망대,24658
8,감만부두,부산 남구,항구,22127
9,홈플러스부산감만점,부산 남구 우암로 124-0,쇼핑센터,21153
10,백운포체육공원,부산 남구 백운포로 108-0,공원,20294
11,드림씨어터,부산 남구 전포대로 133-0,공연장,18391
12,UN기념공원,부산 남구,공원,17542
13,캐니언파크부산,부산 남구 전포대로 133-0,동식물원,15222
14,BIFC몰,부산 남구 문현금융로 40-0,쇼핑센터,13621
15,감만시민공원,부산 남구,공원,13154
16,오륙도,부산 남구,섬,10738
17,백운포체육공원,부산 남구 백운포로 34-0,공원,10587
18,메가마트문현점,부산 남구 수영로39번길 2-5,쇼핑센터,10564
19,못골시장,부산 남구 못골로 66-1,재래시장,10352
20,부산항제7부두,부산 남구,항구,10310
21,남구국민체육센터,부산 남구 백운포로 110-0,운동장,10176
22,시티원골프연습장,부산 남구 신선로 468-0,골프장,9295
23,부산해군회관,부산 남구 이기대공원로 401-0,호텔,7955
24,오륙도해맞이공원,부산 남구,공원,7914
25,부산박물관,부산 남구 유엔평화로 63-0,박물관/기념관,7587
26,평화공원,부산 남구,공원,6991
27,부산골프클럽,부산 남구 우암로 375-0,골프장,6984
28,우암동도시숲,부산 남구 동항로106번가길 6-6,공원,6944
29,남구도서관,부산 남구 수영로267번길 61-0,문화생활시설기타,6597
30,동광골프연습장,부산 남구 황령대로319번가길 82-28,골프장,6514
31,IFC부산몰,부산 남구 전포대로 133-0,쇼핑센터,6022
32,CGV대연,부산 남구 수영로 305-0,극장,5375
33,남구실내빙상장,부산 남구 백운포로 106-0,스케이트장,5368
34,대연킴스볼링장,부산 남구 석포로 116-0,레저/스포츠기타,4733
35,뽀로로파크부산W스퀘어점,부산 남구 분포로 145-0,레저/스포츠기타,4682
36,대연혁신지구복합상가,부산 남구 수영로 345-0,쇼핑기타,4617
37,이기대해안산책로,부산 남구,여행/레저기타,4537
38,부산항제8부두,부산 남구,항구,4504
39,하나로마트용호점,부산 남구 용호로 228-0,쇼핑센터,4420
40,감만시민부두,부산 남구,항구,4394
41,이기대섭자리,부산 남구,관광명소기타,4381
42,부산문화회관대극장,부산 남구 유엔평화로76번길 1-0,공연장,4304
43,동명불원,부산 남구 동명로 57-0,절,4077
44,교보문고경성대부경대센터,부산 남구 수영로 324-0,쇼핑기타,4050
45,부산예술회관,부산 남구 용소로 78-0,문화생활시설기타,3958
46,용호시장,부산 남구 동명로152번길 93-0,재래시장,3857
47,문현BB골프클럽,부산 남구 수영로39번길 2-21,골프장,3590
48,다이소부산용호점,부산 남구 용호로 133-0,쇼핑기타,3327
49,GS하이츠자이상가,부산 남구 신선로 566-0,쇼핑기타,3155
50,부산항감만터미널,부산 남구 북항로 105-0,항구,3132
51,남광시장,부산 남구 홍곡로 359-0,재래시장,3121
52,부산항신선대터미널,부산 남구 신선로 294-0,항구,3002
53,정성호텔,부산 남구 수영로13번길 9-0,모텔/여관,2706
54,호텔스미스,부산 남구 못골로12번길 20-0,호텔,2555
55,국립일제강제동원역사관,부산 남구 홍곡로320번길 100-0,박물관/기념관,2445
56,인각사,부산 남구 진남로 234-0,절,2429
57,다이소부산문현점,부산 남구 수영로 45-0,쇼핑기타,2424
58,국군복지단오륙도마트,부산 남구 무민사로 17-0,쇼핑기타,2422
59,분포도서관,부산 남구 분포로 97-0,문화생활시설기타,2324
60,한스빌모텔,부산 남구 유엔평화로4번길 12-0,모텔/여관,2161
61,호텔뮤리,부산 남구 수영로219번길 12-8,모텔/여관,2136
62,호텔시카고,부산 남구 동명로132번길 21-0,모텔/여관,2077
63,신감만부두,부산 남구,항구,2053
64,엘지메트로시티,부산 남구 분포로 111-0,쇼핑기타,2040
65,감만시장,부산 남구 홍곡로 15-6,재래시장,1977
66,홈플러스익스프레스메트로시티점,부산 남구 분포로 113-0,쇼핑기타,1970
67,골마켓부산점,부산 남구 유엔로 167-0,쇼핑기타,1862
68,유엔평화기념관,부산 남구 홍곡로320번길 106-0,박물관/기념관,1849
69,아토즈캠핑부산점,부산 남구 신선로 446-0,쇼핑기타,1804
70,못골스크린골프,부산 남구 진남로 115-7,골프장,1790
71,부산문화회관중극장,부산 남구 유엔평화로76번길 1-0,공연장,1688
72,아트박스부산경성대점,부산 남구 수영로 296-0,쇼핑기타,1660
73,보스코호텔,부산 남구 못골로12번길 64-0,호텔,1655
74,감만창의문화촌,부산 남구 우암로 84-1,문화생활시설기타,1641
75,롯데슈퍼대연점,부산 남구 못골로 78-0,쇼핑기타,1587
76,신선대,부산 남구,문화유적지,1565
77,동명부두,부산 남구 북항로 17-0,항구,1544
78,뮤트호텔,부산 남구 수영로220번길 7-0,모텔/여관,1528
79,유엔조각공원,부산 남구,공원,1525
80,넘버25호텔용호점,부산 남구 용호로 156-1,모텔/여관,1504
81,호텔온나,부산 남구 유엔평화로4번길 5-0,모텔/여관,1458
82,웰킨호텔,부산 남구 유엔평화로4번길 30-0,모텔/여관,1451
83,브라운도트호텔대연점,부산 남구 수영로208번길 8-0,모텔/여관,1426
84,오륙도유람선터미널,부산 남구,항구,1270
85,메트로랜드,부산 남구 분포로 66-14,종합위락시설,1265
86,이노세븐스크린골프연습장,부산 남구 문현로 68-0,골프장,1234
87,용호레포츠수영장,부산 남구 동명로152번길 27-0,수영장,1221
88,GS25용당해군점,부산 남구 신선로 393-9,쇼핑기타,1185
89,다이소부산경성대점,부산 남구 수영로 306-0,쇼핑기타,1157
90,르이데아호텔,부산 남구 유엔평화로 35-0,호텔,1134
91,세븐일레븐부산감만부두점,부산 남구,쇼핑기타,1111
92,탑마트감만점,부산 남구 홍곡로 3-0,쇼핑기타,1102
93,푸드엔남부산점,부산 남구 수영로266번길 7-0,쇼핑기타,1034
94,용호별빛공원,부산 남구 분포로 66-38,공원,1000
95,롯데슈퍼부산문현점,부산 남구 지게골로 45-0,쇼핑기타,991
96,성암사,부산 남구 진남로210번길 58-15,절,988
97,골프존파크대연VIP24점,부산 남구 수영로 286-0,골프장,907
98,홈플러스익스프레스문현점,부산 남구 고동골로 66-0,쇼핑기타,845
99,문현장고개,부산 남구,고개/재/령,836
100,아주문구,부산 남구 진남로 116-0,쇼핑기타,793
