순위,관광지명,주소,분류,합산 검색 수
1,이마트문현점,부산 남구 전포대로91번길 47-0,쇼핑센터,107584
2,신선대부두,부산 남구,항구,77832
3,황령산전망대,부산 남구 못골로 15-0,전망대,43322
4,이기대수변공원,부산 남구 이기대공원로 105-20,공원,40528
5,W스퀘어,부산 남구 분포로 145-0,쇼핑센터,37541
6,아바니센트럴호텔부산,부산 남구 전포대로 133-0,호텔,29037
7,홈플러스부산감만점,부산 남구 우암로 124-0,쇼핑센터,28738
8,감만부두,부산 남구,항구,27721
9,오륙도스카이워크,부산 남구 오륙도로 137-0,전망대,26387
10,백운포체육공원,부산 남구 백운포로 108-0,공원,24822
11,UN기념공원,부산 남구,공원,20126
12,드림씨어터,부산 남구 전포대로 133-0,공연장,19556
13,BIFC몰,부산 남구 문현금융로 40-0,쇼핑센터,17287
14,캐니언파크부산,부산 남구 전포대로 133-0,동식물원,16141
15,감만시민공원,부산 남구,공원,15706
16,메가마트문현점,부산 남구 수영로39번길 2-5,쇼핑센터,13923
17,남구국민체육센터,부산 남구 백운포로 110-0,운동장,13085
18,못골시장,부산 남구 못골로 66-1,재래시장,12916
19,백운포체육공원,부산 남구 백운포로 34-0,공원,12675
20,오륙도,부산 남구,섬,11716
21,부산항제7부두,부산 남구,항구,11639
22,시티원골프연습장,부산 남구 신선로 468-0,골프장,11339
23,부산해군회관,부산 남구 이기대공원로 401-0,호텔,11219
24,남구도서관,부산 남구 수영로267번길 61-0,문화생활시설기타,9998
25,평화공원,부산 남구,공원,9233
26,부산박물관,부산 남구 유엔평화로 63-0,박물관/기념관,9022
27,부산골프클럽,부산 남구 우암로 375-0,골프장,8546
28,IFC부산몰,부산 남구 전포대로 133-0,쇼핑센터,8370
29,오륙도해맞이공원,부산 남구,공원,8268
30,동광골프연습장,부산 남구 황령대로319번가길 82-28,골프장,7862
31,우암동도시숲,부산 남구 동항로106번가길 6-6,공원,7725
32,CGV대연,부산 남구 수영로 305-0,극장,6737
33,대연혁신지구복합상가,부산 남구 수영로 345-0,쇼핑기타,6601
34,남구실내빙상장,부산 남구 백운포로 106-0,스케이트장,6220
35,대연킴스볼링장,부산 남구 석포로 116-0,레저/스포츠기타,5933
36,부산항제8부두,부산 남구,항구,5614
37,동명불원,부산 남구 동명로 57-0,절,5489
38,하나로마트용호점,부산 남구 용호로 228-0,쇼핑센터,5409
39,부산문화회관대극장,부산 남구 유엔평화로76번길 1-0,공연장,5362
40,교보문고경성대부경대센터,부산 남구 수영로 324-0,쇼핑기타,5308
41,용호시장,부산 남구 동명로152번길 93-0,재래시장,5143
42,감만시민부두,부산 남구,항구,5072
43,뽀로로파크부산W스퀘어점,부산 남구 분포로 145-0,레저/스포츠기타,4954
44,이기대섭자리,부산 남구,관광명소기타,4918
45,이기대해안산책로,부산 남구,여행/레저기타,4829
46,GS하이츠자이상가,부산 남구 신선로 566-0,쇼핑기타,4656
47,부산예술회관,부산 남구 용소로 78-0,문화생활시설기타,4614
48,문현BB골프클럽,부산 남구 수영로39번길 2-21,골프장,4472
49,남광시장,부산 남구 홍곡로 359-0,재래시장,4246
50,다이소부산용호점,부산 남구 용호로 133-0,쇼핑기타,4210
51,부산항감만터미널,부산 남구 북항로 105-0,항구,3823
52,분포도서관,부산 남구 분포로 97-0,문화생활시설기타,3602
53,부산항신선대터미널,부산 남구 신선로 294-0,항구,3472
54,정성호텔,부산 남구 수영로13번길 9-0,모텔/여관,3358
55,인각사,부산 남구 진남로 234-0,절,3302
56,국군복지단오륙도마트,부산 남구 무민사로 17-0,쇼핑기타,3084
57,국립일제강제동원역사관,부산 남구 홍곡로320번길 100-0,박물관/기념관,3013
58,호텔스미스,부산 남구 못골로12번길 20-0,호텔,2976
59,신감만부두,부산 남구,항구,2841
60,다이소부산문현점,부산 남구 수영로 45-0,쇼핑기타,2767
61,감만시장,부산 남구 홍곡로 15-6,재래시장,2709
62,엘지메트로시티,부산 남구 분포로 111-0,쇼핑기타,2619
63,호텔뮤리,부산 남구 수영로219번길 12-8,모텔/여관,2522
64,한스빌모텔,부산 남구 유엔평화로4번길 12-0,모텔/여관,2447
65,홈플러스익스프레스메트로시티점,부산 남구 분포로 113-0,쇼핑기타,2437
66,호텔시카고,부산 남구 동명로132번길 21-0,모텔/여관,2434
67,못골스크린골프,부산 남구 진남로 115-7,골프장,2338
68,유엔평화기념관,부산 남구 홍곡로320번길 106-0,박물관/기념관,2219
69,골마켓부산점,부산 남구 유엔로 167-0,쇼핑기타,2182
70,아토즈캠핑부산점,부산 남구 신선로 446-0,쇼핑기타,2046
71,보스코호텔,부산 남구 못골로12번길 64-0,호텔,1982
72,감만창의문화촌,부산 남구 우암로 84-1,문화생활시설기타,1955
73,롯데슈퍼대연점,부산 남구 못골로 78-0,쇼핑기타,1928
74,아트박스부산경성대점,부산 남구 수영로 296-0,쇼핑기타,1926
75,이노세븐스크린골프연습장,부산 남구 문현로 68-0,골프장,1891
76,부산문화회관중극장,부산 남구 유엔평화로76번길 1-0,공연장,1855
77,유엔조각공원,부산 남구,공원,1835
78,뮤트호텔,부산 남구 수영로220번길 7-0,모텔/여관,1780
79,웰킨호텔,부산 남구 유엔평화로4번길 30-0,모텔/여관,1746
80,신선대,부산 남구,문화유적지,1739
81,메트로랜드,부산 남구 분포로 66-14,종합위락시설,1700
82,넘버25호텔용호점,부산 남구 용호로 156-1,모텔/여관,1687
82,브라운도트호텔대연점,부산 남구 수영로208번길 8-0,모텔/여관,1687
84,호텔온나,부산 남구 유엔평화로4번길 5-0,모텔/여관,1669
85,동명부두,부산 남구 북항로 17-0,항구,1654
86,GS25용당해군점,부산 남구 신선로 393-9,쇼핑기타,1629
87,용호레포츠수영장,부산 남구 동명로152번길 27-0,수영장,1589
88,오륙도유람선터미널,부산 남구,항구,1416
89,다이소부산경성대점,부산 남구 수영로 306-0,쇼핑기타,1340
90,르이데아호텔,부산 남구 유엔평화로 35-0,호텔,1290
91,용호별빛공원,부산 남구 분포로 66-38,공원,1270
92,성암사,부산 남구 진남로210번길 58-15,절,1249
93,탑마트감만점,부산 남구 홍곡로 3-0,쇼핑기타,1237
94,푸드엔남부산점,부산 남구 수영로266번길 7-0,쇼핑기타,1234
95,세븐일레븐부산감만부두점,부산 남구,쇼핑기타,1220
96,골프존파크대연VIP24점,부산 남구 수영로 286-0,골프장,1119
97,롯데슈퍼부산문현점,부산 남구 지게골로 45-0,쇼핑기타,1083
98,우일볼링센터,부산 남구 고동골로 66-0,레저/스포츠기타,1008
99,홈플러스익스프레스문현점,부산 남구 고동골로 66-0,쇼핑기타,988
100,태성지류,부산 남구 지게골로 43-16,쇼핑기타,985
