순위,관광지명,주소,분류,외지인 검색 수
1,이마트트레이더스연산점,부산 연제구 좌수영로 241-0,쇼핑센터,162797
2,이마트연제점,부산 연제구 연수로 89-0,쇼핑센터,71818
3,홈플러스아시아드점,부산 연제구 종합운동장로 7-0,쇼핑센터,58662
4,홈플러스부산연산점,부산 연제구 반송로 88-0,쇼핑센터,38712
5,한창타워,부산 연제구 고분로13번길 25-0,쇼핑기타,10183
6,연동시장,부산 연제구 연동로8번길 22-0,재래시장,10057
7,연일시장,부산 연제구 고분로 24-0,재래시장,8407
8,한양프라자부산점,부산 연제구 명륜로 3-0,쇼핑센터,8358
9,거제시장,부산 연제구 거제시장로14번길 28-0,종합시장,7681
10,HS식자재도매유통연제점,부산 연제구 세병로 19-0,쇼핑기타,6126
11,다이소부산연산본점,부산 연제구 과정로 356-0,쇼핑기타,6085
12,탑마트연제점,부산 연제구 중앙대로 1174-0,쇼핑기타,6079
13,연제구국민체육센터,부산 연제구 고분로56번길 40-0,레저/스포츠기타,5692
14,부산광역시립연산도서관,부산 연제구 고분로191번길 16-0,문화생활시설기타,4575
15,연제도서관,부산 연제구 황령산로 612-0,문화생활시설기타,4399
16,정수사,부산 연제구 톳고개로 60-0,절,4336
17,미유펫,부산 연제구 과정로344번길 1-0,쇼핑기타,4014
18,노블레스스퀘어,부산 연제구 신금로 25-0,쇼핑기타,3962
19,다이소부산연산토곡2호점,부산 연제구 과정로 157-0,쇼핑기타,3915
20,부산아시아드경기장,부산 연제구 월드컵대로 344-0,운동장,3905
21,혜원정사,부산 연제구 고분로68번길 47-0,절,3895
22,다이소부산연제점,부산 연제구 연수로 110-0,쇼핑기타,3852
23,하운드호텔연산점,부산 연제구 월드컵대로153번길 9-0,호텔,3555
24,부산아시아드보조경기장,부산 연제구 체육공원로 0-0,운동장,3314
25,다이소부산종합운동장점,부산 연제구 아시아드대로 81-0,쇼핑기타,2940
26,아르반시티호텔,부산 연제구 반송로 20-0,호텔,2687
27,브라운도트호텔연산토곡점,부산 연제구 과정로191번길 47-0,호텔,2626
28,신라장식철물,부산 연제구 거제대로 246-0,쇼핑기타,2614
29,롯데슈퍼연산점,부산 연제구 과정로 115-0,쇼핑기타,2473
