순위,관광지명,주소,분류,합산 검색 수
1,이마트트레이더스연산점,부산 연제구 좌수영로 241-0,쇼핑센터,181822
2,이마트연제점,부산 연제구 연수로 89-0,쇼핑센터,88815
3,홈플러스아시아드점,부산 연제구 종합운동장로 7-0,쇼핑센터,71495
4,홈플러스부산연산점,부산 연제구 반송로 88-0,쇼핑센터,48536
5,연동시장,부산 연제구 연동로8번길 22-0,재래시장,12437
6,한창타워,부산 연제구 고분로13번길 25-0,쇼핑기타,12434
7,연일시장,부산 연제구 고분로 24-0,재래시장,10575
8,한양프라자부산점,부산 연제구 명륜로 3-0,쇼핑센터,9250
9,거제시장,부산 연제구 거제시장로14번길 28-0,종합시장,9014
10,탑마트연제점,부산 연제구 중앙대로 1174-0,쇼핑기타,8111
11,연제구국민체육센터,부산 연제구 고분로56번길 40-0,레저/스포츠기타,7626
12,HS식자재도매유통연제점,부산 연제구 세병로 19-0,쇼핑기타,7620
13,다이소부산연산본점,부산 연제구 과정로 356-0,쇼핑기타,7292
14,부산광역시립연산도서관,부산 연제구 고분로191번길 16-0,문화생활시설기타,6529
15,연제도서관,부산 연제구 황령산로 612-0,문화생활시설기타,6075
16,노블레스스퀘어,부산 연제구 신금로 25-0,쇼핑기타,5050
17,정수사,부산 연제구 톳고개로 60-0,절,5049
18,다이소부산연산토곡2호점,부산 연제구 과정로 157-0,쇼핑기타,4676
19,혜원정사,부산 연제구 고분로68번길 47-0,절,4666
20,부산아시아드경기장,부산 연제구 월드컵대로 344-0,운동장,4498
21,다이소부산연제점,부산 연제구 연수로 110-0,쇼핑기타,4295
22,미유펫,부산 연제구 과정로344번길 1-0,쇼핑기타,4258
23,하운드호텔연산점,부산 연제구 월드컵대로153번길 9-0,호텔,3951
24,부산아시아드보조경기장,부산 연제구 체육공원로 0-0,운동장,3661
25,다이소부산종합운동장점,부산 연제구 아시아드대로 81-0,쇼핑기타,3451
26,마하사,부산 연제구 봉수로 138-0,절,3116
27,브라운도트호텔연산토곡점,부산 연제구 과정로191번길 47-0,호텔,3040
28,동남골프연습장,부산 연제구 중앙대로1150번길 36-0,골프장,3002
29,롯데슈퍼연산점,부산 연제구 과정로 115-0,쇼핑기타,2981
30,아르반시티호텔,부산 연제구 반송로 20-0,호텔,2931
31,신라장식철물,부산 연제구 거제대로 246-0,쇼핑기타,2886
32,사직골프연습장,부산 연제구 경기장로 21-0,골프장,2803
33,곰두리스포츠센터,부산 연제구 화지로 109-0,레저/스포츠기타,2762
34,목림레포츠,부산 연제구 중앙대로1043번길 50-0,레저/스포츠기타,2651
35,더테라스스크린골프,부산 연제구 신금로 25-0,골프장,2576
36,CGV아시아드,부산 연제구 종합운동장로 7-0,극장,2401
37,앰버스호텔,부산 연제구 월드컵대로99번길 30-0,모텔/여관,2338
38,다이소부산연산교차로점,부산 연제구 중앙대로 1119-0,쇼핑기타,2290
39,호텔스미스,부산 연제구 거제천로154번길 35-0,모텔/여관,2272
40,온천천시민공원,부산 연제구,공원,2248
41,알파문구부산중앙점,부산 연제구 월드컵대로99번길 25-0,쇼핑기타,2190
42,연천시장,부산 연제구 과정로276번길 28-0,재래시장,2151
43,연제골프장,부산 연제구 월드컵대로 174-0,골프장,2089
44,호텔얌연산점,부산 연제구 중앙대로1124번길 26-0,모텔/여관,2062
45,그레이191호텔,부산 연제구 과정로191번길 57-0,모텔/여관,2003
45,연제풋살장,부산 연제구 연안로 19-0,레저/스포츠기타,2003
47,웁스호텔,부산 연제구 월드컵대로119번길 10-0,모텔/여관,1993
48,영진관광 더킹호텔,부산 연제구 과정로 161-0,호텔,1940
49,자이마트,부산 연제구 쌍미천로 160-0,쇼핑기타,1823
50,칸투칸부산거제점,부산 연제구 법원로32번길 19-0,쇼핑기타,1796
51,양정모기념체육관,부산 연제구 체육공원로 43-70,운동장,1710
52,한양스토아본점,부산 연제구 토곡로 29-0,쇼핑기타,1598
53,호텔와바,부산 연제구 거제천로230번길 88-0,모텔/여관,1548
54,영진골프연습장,부산 연제구 온천천남로 183-0,골프장,1449
55,연미새시장,부산 연제구 배산로23번길 3-0,재래시장,1411
56,홈플러스아시아드볼링장,부산 연제구 종합운동장로 7-0,레저/스포츠기타,1410
57,자연드림부산거제점,부산 연제구 아시아드대로108번길 6-0,농수축산물시장,1409
58,자연드림부산연산토곡점,부산 연제구 신금로 25-0,농수축산물시장,1395
59,BNB,부산 연제구 월드컵대로114번길 15-0,모텔/여관,1377
59,청림스크린골프,부산 연제구 세병로 31-0,골프장,1377
61,멋짐휘트니스연산점,부산 연제구 반송로 21-0,레저/스포츠기타,1349
62,호텔YOU아인,부산 연제구 월드컵대로120번길 14-0,모텔/여관,1299
63,국제문화센터,부산 연제구 중앙대로 1217-0,문화생활시설기타,1292
64,호텔로이,부산 연제구 과정로191번길 41-0,모텔/여관,1279
65,영웅완구문구,부산 연제구 중앙대로1076번길 34-0,쇼핑기타,1253
66,연산시장,부산 연제구 월드컵대로3번길 24-0,종합시장,1230
67,부산사직종합운동장체조체육관,부산 연제구 체육공원로 43-90,운동장,1169
68,샤르망라이프,부산 연제구 반송로 33-0,쇼핑센터,1127
69,더퍼스트수영장,부산 연제구 거제천로87번길 30-0,수영장,1099
70,골프존마켓부산교대점,부산 연제구 거제대로 286-0,쇼핑기타,1076
71,브이모텔,부산 연제구 거제천로152번길 53-0,모텔/여관,1064
71,원보골프,부산 연제구 온천천남로 183-0,골프장,1064
73,호텔더루아,부산 연제구 월드컵대로111번길 6-10,모텔/여관,1043
74,MU플러스호텔,부산 연제구 중앙대로1120번길 25-0,모텔/여관,1035
75,다이아몬드관광호텔,부산 연제구 월드컵대로164번길 26-0,호텔,1034
76,연제문화체육공원,부산 연제구,공원,1016
77,유림스크린골프,부산 연제구 해맞이로31번길 58-0,골프장,989
78,렛츠런CCC부산연제지점,부산 연제구 월드컵대로164번길 26-0,경마장,967
79,삼호레포츠센터,부산 연제구 과정로 137-0,레저/스포츠기타,959
80,아지트스크린골프,부산 연제구 안연로7번가길 6-0,골프장,935
81,오모텔,부산 연제구 과정로 165-2,모텔/여관,922
82,위드모텔,부산 연제구 거제천로182번길 54-0,모텔/여관,920
83,초록마을거제점,부산 연제구 아시아드대로 106-0,농수축산물시장,853
84,호텔아마레연산점,부산 연제구 거제천로154번길 36-0,모텔/여관,837
85,호텔오마이,부산 연제구 과정로191번길 59-0,모텔/여관,827
86,골프존파크사직골프랜드점,부산 연제구 경기장로 21-0,골프장,819
87,휴마트연산점연산점,부산 연제구 거제천로 142-0,쇼핑기타,818
88,굿타임모텔,부산 연제구 중앙대로1054번길 20-0,모텔/여관,795
89,센트럴호텔,부산 연제구 중앙대로 1122-0,호텔,766
90,독도청과도매시장,부산 연제구 거제천로 152-0,농수축산물시장,764
91,대원주류,부산 연제구 교대로24번길 51-0,쇼핑기타,751
92,호텔샤이어,부산 연제구 반송로 18-6,모텔/여관,737
93,FCBS89유소년축구클럽,부산 연제구 반송로 89-0,레저/스포츠기타,683
94,아바모텔,부산 연제구 거제천로152번길 56-0,모텔/여관,647
95,망미주공아파트상가,부산 연제구 토현로 6-0,쇼핑기타,628
96,황령산벚꽃길,부산 연제구,관광명소기타,626
97,인트로피트니스,부산 연제구 반송로 89-0,레저/스포츠기타,620
98,아이유모텔,부산 연제구 월드컵대로99번길 31-0,모텔/여관,574
99,골프프렌드부산동래점,부산 연제구 거제대로 148-0,쇼핑기타,568
100,삼호볼링장,부산 연제구 과정로 137-0,레저/스포츠기타,565
