순위,관광지명,주소,분류,현지인 검색 수
1,이마트트레이더스연산점,부산 연제구 좌수영로 241-0,쇼핑센터,19025
2,이마트연제점,부산 연제구 연수로 89-0,쇼핑센터,16997
3,홈플러스아시아드점,부산 연제구 종합운동장로 7-0,쇼핑센터,12833
4,홈플러스부산연산점,부산 연제구 반송로 88-0,쇼핑센터,9824
5,연동시장,부산 연제구 연동로8번길 22-0,재래시장,2380
6,한창타워,부산 연제구 고분로13번길 25-0,쇼핑기타,2251
7,연일시장,부산 연제구 고분로 24-0,재래시장,2168
8,탑마트연제점,부산 연제구 중앙대로 1174-0,쇼핑기타,2032
9,부산광역시립연산도서관,부산 연제구 고분로191번길 16-0,문화생활시설기타,1954
10,연제구국민체육센터,부산 연제구 고분로56번길 40-0,레저/스포츠기타,1934
11,연제도서관,부산 연제구 황령산로 612-0,문화생활시설기타,1676
12,HS식자재도매유통연제점,부산 연제구 세병로 19-0,쇼핑기타,1494
13,거제시장,부산 연제구 거제시장로14번길 28-0,종합시장,1333
14,다이소부산연산본점,부산 연제구 과정로 356-0,쇼핑기타,1207
15,노블레스스퀘어,부산 연제구 신금로 25-0,쇼핑기타,1088
16,한양프라자부산점,부산 연제구 명륜로 3-0,쇼핑센터,892
17,혜원정사,부산 연제구 고분로68번길 47-0,절,771
18,다이소부산연산토곡2호점,부산 연제구 과정로 157-0,쇼핑기타,761
19,정수사,부산 연제구 톳고개로 60-0,절,713
20,마하사,부산 연제구 봉수로 138-0,절,692
21,목림레포츠,부산 연제구 중앙대로1043번길 50-0,레저/스포츠기타,630
22,알파문구부산중앙점,부산 연제구 월드컵대로99번길 25-0,쇼핑기타,619
23,부산아시아드경기장,부산 연제구 월드컵대로 344-0,운동장,593
24,동남골프연습장,부산 연제구 중앙대로1150번길 36-0,골프장,550
25,자이마트,부산 연제구 쌍미천로 160-0,쇼핑기타,523
26,다이소부산종합운동장점,부산 연제구 아시아드대로 81-0,쇼핑기타,511
27,롯데슈퍼연산점,부산 연제구 과정로 115-0,쇼핑기타,508
28,영진골프연습장,부산 연제구 온천천남로 183-0,골프장,506
29,연천시장,부산 연제구 과정로276번길 28-0,재래시장,492
30,사직골프연습장,부산 연제구 경기장로 21-0,골프장,482
31,곰두리스포츠센터,부산 연제구 화지로 109-0,레저/스포츠기타,479
32,한양스토아본점,부산 연제구 토곡로 29-0,쇼핑기타,473
33,자연드림부산연산토곡점,부산 연제구 신금로 25-0,농수축산물시장,452
34,다이소부산연제점,부산 연제구 연수로 110-0,쇼핑기타,443
35,브라운도트호텔연산토곡점,부산 연제구 과정로191번길 47-0,호텔,414
36,연제골프장,부산 연제구 월드컵대로 174-0,골프장,412
37,하운드호텔연산점,부산 연제구 월드컵대로153번길 9-0,호텔,396
38,그레이191호텔,부산 연제구 과정로191번길 57-0,모텔/여관,377
