순위,관광지명,주소,분류,외지인 검색 수
1,부산진시장,부산 동구,재래시장,77414
2,현대백화점부산점,부산 동구 범일로 125-0,쇼핑센터,69733
3,부산항제5부두,부산 동구 충장대로 314-0,항구,36558
4,부산항국제여객터미널,부산 동구 충장대로 206-0,항구,32944
5,부산자유도매시장,부산 동구 조방로 48-0,재래시장,23022
6,아스티호텔부산,부산 동구 중앙대로214번길 7-8,호텔,22384
7,토요코인호텔부산역1호점,부산 동구 중앙대로196번길 12-0,호텔,13384
8,라마다앙코르부산역호텔,부산 동구 중앙대로196번길 10-0,호텔,10489
9,오름레지던스호텔,부산 동구 중앙대로180번길 16-8,호텔,7852
10,차이나타운,부산 동구,놀거리기타,6756
11,부산항국제전시컨벤션센터,부산 동구 충장대로 206-0,전시장,6576
12,탑마트초량점,부산 동구 초량로13번길 53-0,쇼핑기타,5116
13,부산과학체험관,부산 동구 중앙대로260번길 11-0,과학관,4549
14,유니클로부산범일점,부산 동구 자성로 128-0,쇼핑기타,4016
15,부산항제4부두,부산 동구 충장대로 206-0,항구,3646
16,아몬드호텔,부산 동구 중앙대로196번길 12-5,모텔/여관,3295
17,한성기린프라자,부산 동구 중앙대로 514-0,쇼핑기타,3293
18,하운드호텔부산역,부산 동구 중앙대로236번길 9-0,호텔,3051
19,홈플러스익스프레스좌천점,부산 동구 고관로 143-0,쇼핑기타,3042
20,부산광역시동구도서관,부산 동구 성북로36번길 54-0,문화생활시설기타,2876
21,다이소부산초량점,부산 동구 초량상로 91-0,쇼핑기타,2779
22,노떼라미아호텔,부산 동구 대영로 265-0,호텔,2725
23,브라운도트호텔범일점,부산 동구 중앙대로 528-0,모텔/여관,2625
24,르컬렉티브G7,부산 동구 충장대로 160-0,호텔,2525
25,좌천동가구거리,부산 동구,살거리기타,2298
26,디노호텔,부산 동구 초량로13번길 73-0,모텔/여관,2290
27,광장관광호텔,부산 동구 중앙대로214번길 7-0,호텔,2252
28,하운드호텔범일,부산 동구 조방로34번길 5-0,모텔/여관,2203
29,부산뷰호텔,부산 동구 중앙대로196번길 16-10,호텔,2196
30,초량시장,부산 동구 초량로13번길 8-0,재래시장,2176
31,동구국민체육문예센터,부산 동구 구청로 8-0,레저/스포츠기타,2161
32,이데아호텔,부산 동구 중앙대로180번길 16-10,모텔/여관,2112
33,자성대공원,부산 동구 자성로 99-0,공원,2100
34,베스트인시티호텔,부산 동구 고관로 7-0,호텔,1946
