순위,관광지명,주소,분류,합산 검색 수
1,부산진시장,부산 동구,재래시장,84777
2,현대백화점부산점,부산 동구 범일로 125-0,쇼핑센터,77126
3,부산항제5부두,부산 동구 충장대로 314-0,항구,41896
4,부산항국제여객터미널,부산 동구 충장대로 206-0,항구,37220
5,부산자유도매시장,부산 동구 조방로 48-0,재래시장,26765
6,아스티호텔부산,부산 동구 중앙대로214번길 7-8,호텔,23926
7,토요코인호텔부산역1호점,부산 동구 중앙대로196번길 12-0,호텔,15262
8,라마다앙코르부산역호텔,부산 동구 중앙대로196번길 10-0,호텔,11341
9,오름레지던스호텔,부산 동구 중앙대로180번길 16-8,호텔,8250
10,차이나타운,부산 동구,놀거리기타,7170
11,부산항국제전시컨벤션센터,부산 동구 충장대로 206-0,전시장,6805
12,탑마트초량점,부산 동구 초량로13번길 53-0,쇼핑기타,6312
13,한성기린프라자,부산 동구 중앙대로 514-0,쇼핑기타,4940
14,부산과학체험관,부산 동구 중앙대로260번길 11-0,과학관,4748
15,유니클로부산범일점,부산 동구 자성로 128-0,쇼핑기타,4348
16,부산항제4부두,부산 동구 충장대로 206-0,항구,3939
17,홈플러스익스프레스좌천점,부산 동구 고관로 143-0,쇼핑기타,3919
18,다이소부산초량점,부산 동구 초량상로 91-0,쇼핑기타,3708
19,부산광역시동구도서관,부산 동구 성북로36번길 54-0,문화생활시설기타,3653
20,아몬드호텔,부산 동구 중앙대로196번길 12-5,모텔/여관,3426
21,하운드호텔부산역,부산 동구 중앙대로236번길 9-0,호텔,3189
22,동구국민체육문예센터,부산 동구 구청로 8-0,레저/스포츠기타,2906
23,브라운도트호텔범일점,부산 동구 중앙대로 528-0,모텔/여관,2819
24,노떼라미아호텔,부산 동구 대영로 265-0,호텔,2811
25,좌천동가구거리,부산 동구,살거리기타,2803
26,르컬렉티브G7,부산 동구 충장대로 160-0,호텔,2578
27,디노호텔,부산 동구 초량로13번길 73-0,모텔/여관,2515
28,광장관광호텔,부산 동구 중앙대로214번길 7-0,호텔,2480
29,자성대공원,부산 동구 자성로 99-0,공원,2438
30,하운드호텔범일,부산 동구 조방로34번길 5-0,모텔/여관,2365
31,초량시장,부산 동구 초량로13번길 8-0,재래시장,2313
32,부산뷰호텔,부산 동구 중앙대로196번길 16-10,호텔,2292
33,이데아호텔,부산 동구 중앙대로180번길 16-10,모텔/여관,2209
34,베스트인시티호텔,부산 동구 고관로 7-0,호텔,2088
35,웰리빙스크린골프,부산 동구 중앙대로 270-0,골프장,1929
36,수정산가족체육공원,부산 동구,공원,1893
37,동구어린이영어도서관,부산 동구 수성로 21-0,문화생활시설기타,1825
38,금수사,부산 동구 망양로 533-1,절,1783
39,정란각,부산 동구 홍곡로 75-0,문화유적지,1765
40,코리아시티관광호텔,부산 동구 조방로 10-0,호텔,1549
41,프라임관광호텔,부산 동구 중앙대로 399-0,호텔,1531
42,브라운도트호텔부산역점,부산 동구 중앙대로209번길 27-0,호텔,1530
43,부산항힐링야영장,부산 동구 충장대로 0-0,캠프장,1407
44,이바구길모노레일,부산 동구,관광명소기타,1382
45,부산진남문시장,부산 동구 범일로65번길 8-0,시장기타,1356
46,부산차이나타운특구문화축제,부산 동구 대영로243번길 61-0,축제,1324
47,제로투세븐부산상설직영점,부산 동구 중앙대로 522-0,쇼핑기타,1292
48,클래스윔스포츠센터초량지점,부산 동구 중앙대로 319-0,수영장,1261
49,렛츠런CCC부산동구지점,부산 동구 자성로 134-0,경마장,1243
50,북두칠성도서관,부산 동구 충장대로 160-0,문화생활시설기타,1107
51,호텔포레부산역점,부산 동구 중앙대로296번길 6-0,호텔,1073
52,보림극장,부산 동구 중앙대로 537-0,관광명소기타,1014
53,북항오페라하우스건축중(2022년05월완공예정),부산 동구,공연장,1004
54,라메르호텔,부산 동구 조방로34번길 9-0,호텔,999
55,딘텍,부산 동구 중앙대로 309-0,쇼핑기타,995
56,동행복권판매점복권방,부산 동구 조방로49번길 18-1,쇼핑기타,956
56,유치환우체통,부산 동구 망양로580번길 2-0,관광명소기타,956
58,초량이바구길,부산 동구 초량상로 0-0,관광명소기타,921
59,부산광역시립중앙도서관수정분관,부산 동구 홍곡로 53-0,문화생활시설기타,877
60,소림사,부산 동구 초량상로65번길 7-0,절,863
61,팝콘호텔,부산 동구 중앙대로180번길 6-7,모텔/여관,810
62,더비에스호텔,부산 동구 중앙대로236번길 7-11,호텔,717
63,탑모텔,부산 동구 중앙대로196번길 12-15,모텔/여관,703
64,다이소부산수정점,부산 동구 진성로 22-0,쇼핑기타,698
65,플러스모텔,부산 동구 중앙대로241번길 5-0,모텔/여관,688
66,삼진어묵부산역광장점,부산 동구 중앙대로214번길 7-0,쇼핑기타,679
67,부산유라시아플랫폼,부산 동구 중앙대로 210-0,관광명소기타,647
68,증산체육공원,부산 동구,공원,628
69,수정시장,부산 동구 중앙대로361번길 37-0,종합시장,627
70,틴토호텔,부산 동구 범일로102번길 16-18,모텔/여관,616
71,자유꽃시장,부산 동구 조방로 48-0,쇼핑기타,571
72,브라운도트부산진역점,부산 동구 진성로 7-0,호텔,549
73,에이스스크린골프,부산 동구 자성로133번길 10-0,골프장,533
74,신씨비단,부산 동구 진시장로 14-0,쇼핑기타,496
75,불교전시관,부산 동구 범일로 54-0,쇼핑기타,487
76,신진방수백화점,부산 동구 중앙대로 386-0,쇼핑기타,464
77,농축산마트범일점,부산 동구 조방로16번길 7-0,쇼핑기타,440
78,한성기린스크린골프존,부산 동구 중앙대로 514-0,골프장,438
79,한국해양개발,부산 동구 중앙대로 502-0,쇼핑기타,436
80,부두길,부산 동구,관광명소기타,404
81,충혼탑,부산 동구,탑,388
82,이바구캠프,부산 동구 망양로525번길 22-0,숙박기타,383
83,맨투맨테니스범일점,부산 동구 조방로 21-0,레저/스포츠기타,373
84,조선통신사역사관,부산 동구 자성로 99-0,박물관/기념관,369
84,부산패션비즈센터,부산 동구,쇼핑기타,369
86,루이스호텔,부산 동구 조방로38번길 8-1,모텔/여관,365
87,호텔26,부산 동구 중앙대로209번길 10-15,모텔/여관,363
88,호텔코코,부산 동구 중앙대로196번길 12-4,모텔/여관,346
89,더웨이호텔,부산 동구 중앙대로209번길 12-0,호텔,329
90,아리아모텔,부산 동구 중앙대로209번길 22-0,모텔/여관,313
91,유모텔,부산 동구 자성공원로3번길 23-4,모텔/여관,306
91,코리아나모텔,부산 동구 중앙대로221번길 12-0,모텔/여관,306
93,부산항제3부두,부산 동구 충장대로 164-0,항구,301
93,안용복기념부산포개항문화관,부산 동구,전시장,301
95,맥시멈호텔,부산 동구 대영로243번길 89-0,모텔/여관,300
96,가온아트홀,부산 동구 자성로133번길 10-0,공연장,293
96,동일스크린골프클럽,부산 동구 조방로 14-0,골프장,293
98,프리버드부산직영점,부산 동구 중앙대로 312-0,쇼핑기타,265
99,캠퍼캠핑부산점,부산 동구 수정동로 8-0,쇼핑기타,263
100,168계단,부산 동구,관광명소기타,262
