순위,관광지명,주소,분류,현지인 검색 수
1,현대백화점부산점,부산 동구 범일로 125-0,쇼핑센터,7393
2,부산진시장,부산 동구,재래시장,7363
3,부산항제5부두,부산 동구 충장대로 314-0,항구,5338
4,부산항국제여객터미널,부산 동구 충장대로 206-0,항구,4276
5,부산자유도매시장,부산 동구 조방로 48-0,재래시장,3743
6,토요코인호텔부산역1호점,부산 동구 중앙대로196번길 12-0,호텔,1878
7,한성기린프라자,부산 동구 중앙대로 514-0,쇼핑기타,1647
8,아스티호텔부산,부산 동구 중앙대로214번길 7-8,호텔,1542
9,탑마트초량점,부산 동구 초량로13번길 53-0,쇼핑기타,1196
10,다이소부산초량점,부산 동구 초량상로 91-0,쇼핑기타,929
11,홈플러스익스프레스좌천점,부산 동구 고관로 143-0,쇼핑기타,877
12,라마다앙코르부산역호텔,부산 동구 중앙대로196번길 10-0,호텔,852
13,부산광역시동구도서관,부산 동구 성북로36번길 54-0,문화생활시설기타,777
14,동구국민체육문예센터,부산 동구 구청로 8-0,레저/스포츠기타,745
15,좌천동가구거리,부산 동구,살거리기타,505
16,동구어린이영어도서관,부산 동구 수성로 21-0,문화생활시설기타,461
17,차이나타운,부산 동구,놀거리기타,414
18,오름레지던스호텔,부산 동구 중앙대로180번길 16-8,호텔,398
19,금수사,부산 동구 망양로 533-1,절,387
20,보림극장,부산 동구 중앙대로 537-0,관광명소기타,377
21,자성대공원,부산 동구 자성로 99-0,공원,338
22,유니클로부산범일점,부산 동구 자성로 128-0,쇼핑기타,332
23,코리아시티관광호텔,부산 동구 조방로 10-0,호텔,299
24,부산진남문시장,부산 동구 범일로65번길 8-0,시장기타,293
24,부산항제4부두,부산 동구 충장대로 206-0,항구,293
26,정란각,부산 동구 홍곡로 75-0,문화유적지,281
27,수정산가족체육공원,부산 동구,공원,249
28,유치환우체통,부산 동구 망양로580번길 2-0,관광명소기타,248
29,부산항국제전시컨벤션센터,부산 동구 충장대로 206-0,전시장,229
30,광장관광호텔,부산 동구 중앙대로214번길 7-0,호텔,228
31,디노호텔,부산 동구 초량로13번길 73-0,모텔/여관,225
32,클래스윔스포츠센터초량지점,부산 동구 중앙대로 319-0,수영장,206
33,소림사,부산 동구 초량상로65번길 7-0,절,200
34,부산과학체험관,부산 동구 중앙대로260번길 11-0,과학관,199
35,브라운도트호텔범일점,부산 동구 중앙대로 528-0,모텔/여관,194
36,웰리빙스크린골프,부산 동구 중앙대로 270-0,골프장,185
37,신진방수백화점,부산 동구 중앙대로 386-0,쇼핑기타,172
38,부산광역시립중앙도서관수정분관,부산 동구 홍곡로 53-0,문화생활시설기타,164
39,하운드호텔범일,부산 동구 조방로34번길 5-0,모텔/여관,162
40,증산체육공원,부산 동구,공원,147
41,베스트인시티호텔,부산 동구 고관로 7-0,호텔,142
42,렛츠런CCC부산동구지점,부산 동구 자성로 134-0,경마장,140
43,하운드호텔부산역,부산 동구 중앙대로236번길 9-0,호텔,138
44,브라운도트호텔부산역점,부산 동구 중앙대로209번길 27-0,호텔,137
44,초량시장,부산 동구 초량로13번길 8-0,재래시장,137
46,아몬드호텔,부산 동구 중앙대로196번길 12-5,모텔/여관,131
47,다이소부산수정점,부산 동구 진성로 22-0,쇼핑기타,116
48,이바구캠프,부산 동구 망양로525번길 22-0,숙박기타,114
49,딘텍,부산 동구 중앙대로 309-0,쇼핑기타,112
50,북두칠성도서관,부산 동구 충장대로 160-0,문화생활시설기타,101
51,이데아호텔,부산 동구 중앙대로180번길 16-10,모텔/여관,97
52,부산뷰호텔,부산 동구 중앙대로196번길 16-10,호텔,96
52,부산항힐링야영장,부산 동구 충장대로 0-0,캠프장,96
54,노떼라미아호텔,부산 동구 대영로 265-0,호텔,86
55,팝콘호텔,부산 동구 중앙대로180번길 6-7,모텔/여관,61
56,코리아나모텔,부산 동구 중앙대로221번길 12-0,모텔/여관,59
56,제로투세븐부산상설직영점,부산 동구 중앙대로 522-0,쇼핑기타,59
58,에이스스크린골프,부산 동구 자성로133번길 10-0,골프장,55
58,맨투맨테니스범일점,부산 동구 조방로 21-0,레저/스포츠기타,55
60,동행복권판매점복권방,부산 동구 조방로49번길 18-1,쇼핑기타,54
60,북항오페라하우스건축중(2022년05월완공예정),부산 동구,공연장,54
62,르컬렉티브G7,부산 동구 충장대로 160-0,호텔,53
