순위,관광지명,주소,분류,외지인 검색 수
1,태종대,부산 영도구 전망로 24-0,문화유적지,105039
2,흰여울문화마을,부산 영도구,관광명소기타,47058
3,국립해양박물관,부산 영도구 해양로301번길 45-0,박물관/기념관,35393
4,라발스호텔,부산 영도구 봉래나루로 82-0,호텔,31261
5,태종대전망대,부산 영도구 전망로 209-0,전망대,16583
6,남항시장,부산 영도구 절영로43번길 65-0,재래시장,14043
7,홈플러스영도점,부산 영도구 대교로14번길 57-0,쇼핑센터,12997
8,부산삼진어묵,부산 영도구 태종로99번길 36-0,쇼핑기타,12810
9,태종대자갈마당,부산 영도구,관광명소기타,12124
10,미디호텔부산,부산 영도구 태종로 45-0,호텔,8932
11,카린영도플레이스,부산 영도구 청학동로 16-0,쇼핑기타,5503
12,부산원도심골목길축제(흰여울문화마을),부산 영도구 흰여울길 273-0,축제,5192
13,베이하운드호텔,부산 영도구 태종로65번길 11-0,호텔,5016
14,피아크,부산 영도구 해양로195번길 180-0,문화생활시설기타,4848
15,영도신방파제,부산 영도구,방파제,4681
16,청학배수지전망대,부산 영도구 와치로 36-0,전망대,4531
17,감지해변,부산 영도구,관광명소기타,4462
18,하리선착장,부산 영도구,항구,4429
19,청학수변공원,부산 영도구,공원,3726
20,흰여울해안터널,부산 영도구,관광명소기타,3368
21,그랜드베른호텔,부산 영도구 해양로 38-0,호텔,3309
22,태종사수국꽃문화축제,부산 영도구 전망로 119-0,축제,3305
23,영도조내기고구마역사기념관,부산 영도구 벚꽃길 75-0,박물관/기념관,3108
24,청학시장,부산 영도구 태종로316번길 1-0,종합시장,2869
25,탑마트동삼2호점,부산 영도구 동삼로 56-0,쇼핑기타,2793
26,영도국제크루즈터미널,부산 영도구 해양로301번길 17-0,항구,2763
27,태종대온천,부산 영도구 태종로 808-0,온천,2677
28,영도봉래시장,부산 영도구 태종로113번길 39-0,종합시장,2416
29,글랜스호텔,부산 영도구 봉래나루로 56-0,호텔,2374
30,영도마린축구장,부산 영도구 해양로 307-0,운동장,2329
31,영도하늘전망대,부산 영도구,전망대,2264
32,다이소영도대교점,부산 영도구 태종로 98-0,쇼핑기타,2229
33,탑마트영도점,부산 영도구 태종로 194-0,쇼핑기타,2184
34,75광장,부산 영도구,공원,1935
35,영도도서관,부산 영도구 함지로79번길 6-0,문화생활시설기타,1909
36,복천사,부산 영도구 산정길 41-0,절,1746
37,영도국민체육센터,부산 영도구 함지로79번길 6-0,레저/스포츠기타,1654
38,호텔브릿지,부산 영도구 봉래나루로 72-0,모텔/여관,1584
39,미룡사,부산 영도구 동삼남로 11-0,절,1503
40,중리낚시슈퍼,부산 영도구 중리남로 2-3,쇼핑기타,1469
