순위,관광지명,주소,분류,합산 검색 수
1,태종대,부산 영도구 전망로 24-0,문화유적지,110468
2,흰여울문화마을,부산 영도구,관광명소기타,47647
3,국립해양박물관,부산 영도구 해양로301번길 45-0,박물관/기념관,38285
4,라발스호텔,부산 영도구 봉래나루로 82-0,호텔,32453
5,태종대전망대,부산 영도구 전망로 209-0,전망대,16965
6,남항시장,부산 영도구 절영로43번길 65-0,재래시장,16251
7,홈플러스영도점,부산 영도구 대교로14번길 57-0,쇼핑센터,15296
8,부산삼진어묵,부산 영도구 태종로99번길 36-0,쇼핑기타,13216
9,태종대자갈마당,부산 영도구,관광명소기타,12578
10,미디호텔부산,부산 영도구 태종로 45-0,호텔,9188
11,카린영도플레이스,부산 영도구 청학동로 16-0,쇼핑기타,5908
12,부산원도심골목길축제(흰여울문화마을),부산 영도구 흰여울길 273-0,축제,5254
13,베이하운드호텔,부산 영도구 태종로65번길 11-0,호텔,5251
14,피아크,부산 영도구 해양로195번길 180-0,문화생활시설기타,5021
15,영도신방파제,부산 영도구,방파제,4906
16,청학배수지전망대,부산 영도구 와치로 36-0,전망대,4741
17,하리선착장,부산 영도구,항구,4740
18,감지해변,부산 영도구,관광명소기타,4654
19,청학수변공원,부산 영도구,공원,4026
20,영도국제크루즈터미널,부산 영도구 해양로301번길 17-0,항구,3593
21,영도조내기고구마역사기념관,부산 영도구 벚꽃길 75-0,박물관/기념관,3509
22,그랜드베른호텔,부산 영도구 해양로 38-0,호텔,3452
23,청학시장,부산 영도구 태종로316번길 1-0,종합시장,3429
24,흰여울해안터널,부산 영도구,관광명소기타,3410
25,태종사수국꽃문화축제,부산 영도구 전망로 119-0,축제,3341
26,태종대온천,부산 영도구 태종로 808-0,온천,3304
27,탑마트동삼2호점,부산 영도구 동삼로 56-0,쇼핑기타,3250
28,다이소영도대교점,부산 영도구 태종로 98-0,쇼핑기타,2961
29,탑마트영도점,부산 영도구 태종로 194-0,쇼핑기타,2645
30,영도봉래시장,부산 영도구 태종로113번길 39-0,종합시장,2614
31,글랜스호텔,부산 영도구 봉래나루로 56-0,호텔,2547
32,영도도서관,부산 영도구 함지로79번길 6-0,문화생활시설기타,2439
33,영도마린축구장,부산 영도구 해양로 307-0,운동장,2426
34,영도국민체육센터,부산 영도구 함지로79번길 6-0,레저/스포츠기타,2319
35,영도하늘전망대,부산 영도구,전망대,2280
36,미룡사,부산 영도구 동삼남로 11-0,절,2144
37,75광장,부산 영도구,공원,1998
38,복천사,부산 영도구 산정길 41-0,절,1830
39,호텔브릿지,부산 영도구 봉래나루로 72-0,모텔/여관,1669
40,한마음선원부산지원,부산 영도구 함지로79번길 23-26,절,1633
41,동삼시장,부산 영도구 동삼로59번길 2-0,종합시장,1629
42,중리낚시슈퍼,부산 영도구 중리남로 2-3,쇼핑기타,1521
43,태종대유람선선착장,부산 영도구,항구,1462
44,매일마린,부산 영도구 해양로 17-0,쇼핑기타,1461
45,함지골청소년수련관,부산 영도구 절영로 319-0,수련장,1292
46,캠핑고래부산영도점,부산 영도구 태종로 361-0,쇼핑기타,1290
47,깡깡이예술마을,부산 영도구,관광명소기타,1264
48,영도놀이마루,부산 영도구 와치로 259-0,문화생활시설기타,1251
49,부산항대교공원,부산 영도구 해양로15번길 0-0,공원,1199
50,영도관광사격장,부산 영도구 절영로 319-0,사격장,1169
51,우리마트영도동삼점,부산 영도구 절영로 531-0,쇼핑기타,1160
52,노스하버호텔,부산 영도구 태종로 45-0,호텔,1123
53,영도어울림문화공원,부산 영도구 함지로79번길 6-0,공원,1116
54,레드펄스부산점,부산 영도구 해양로117번길 1-0,낚시,1043
55,삼진어묵체험역사관,부산 영도구 태종로99번길 36-0,전시장,1021
56,브릿지수변테마공원,부산 영도구,공원,996
57,큐모텔,부산 영도구 해양로 50-0,모텔/여관,945
58,하리방파제,부산 영도구,방파제,900
59,다이소영도동삼점,부산 영도구 동삼로 23-0,쇼핑기타,894
60,영도도서관남항분관,부산 영도구 절영로 71-0,문화생활시설기타,886
61,아미르공원,부산 영도구,공원,820
62,조도방파제,부산 영도구,방파제,754
63,봉래산,부산 영도구,명산,729
64,태종대다누비열차,부산 영도구 전망로 0-0,관광명소기타,726
65,절영해안산책로,부산 영도구,관광명소기타,695
66,G2모텔,부산 영도구 아랫서발길 5-0,모텔/여관,674
67,아레아식스,부산 영도구 태종로105번길 37-3,쇼핑기타,602
68,탑마트영도동삼점,부산 영도구 절영로 531-0,쇼핑기타,583
69,CU영도흰여울문화마을점,부산 영도구 절영로 202-2,쇼핑기타,578
70,이마트24라발스호텔점,부산 영도구 봉래나루로 82-0,쇼핑기타,562
71,해동낚시,부산 영도구 절영로 448-0,낚시,544
72,부산항축제(국립해양박물관),부산 영도구 해양로301번길 45-0,축제,520
73,YD스크린골프,부산 영도구 절영로35번길 61-0,골프장,508
74,태종파크텔,부산 영도구 태종로 802-0,모텔/여관,506
75,흰여울문화마을거점센터,부산 영도구 해안산책길 52-0,문화생활시설기타,498
76,비치모텔,부산 영도구 하리해안길 10-9,모텔/여관,493
77,아일랜드골프연습장,부산 영도구 해양로 214-0,골프장,480
78,PSG해동충전소,부산 영도구 해양로135번길 11-0,쇼핑기타,471
79,진진낚시,부산 영도구 태종로765번길 19-0,낚시,462
80,신원모텔,부산 영도구 태종로89번길 13-0,모텔/여관,431
81,흰여울전망대,부산 영도구 절영로 258-0,전망대,408
82,영도불교사,부산 영도구 영선대로 97-2,쇼핑기타,397
