순위,관광지명,주소,분류,현지인 검색 수
1,태종대,부산 영도구 전망로 24-0,문화유적지,5429
2,국립해양박물관,부산 영도구 해양로301번길 45-0,박물관/기념관,2892
3,홈플러스영도점,부산 영도구 대교로14번길 57-0,쇼핑센터,2299
4,남항시장,부산 영도구 절영로43번길 65-0,재래시장,2208
5,라발스호텔,부산 영도구 봉래나루로 82-0,호텔,1192
6,영도국제크루즈터미널,부산 영도구 해양로301번길 17-0,항구,830
7,다이소영도대교점,부산 영도구 태종로 98-0,쇼핑기타,732
8,영도국민체육센터,부산 영도구 함지로79번길 6-0,레저/스포츠기타,665
9,미룡사,부산 영도구 동삼남로 11-0,절,641
10,태종대온천,부산 영도구 태종로 808-0,온천,627
11,흰여울문화마을,부산 영도구,관광명소기타,589
12,청학시장,부산 영도구 태종로316번길 1-0,종합시장,560
13,영도도서관,부산 영도구 함지로79번길 6-0,문화생활시설기타,530
14,탑마트영도점,부산 영도구 태종로 194-0,쇼핑기타,461
15,탑마트동삼2호점,부산 영도구 동삼로 56-0,쇼핑기타,457
16,태종대자갈마당,부산 영도구,관광명소기타,454
17,동삼시장,부산 영도구 동삼로59번길 2-0,종합시장,448
18,부산삼진어묵,부산 영도구 태종로99번길 36-0,쇼핑기타,406
19,카린영도플레이스,부산 영도구 청학동로 16-0,쇼핑기타,405
20,영도조내기고구마역사기념관,부산 영도구 벚꽃길 75-0,박물관/기념관,401
21,태종대전망대,부산 영도구 전망로 209-0,전망대,382
22,하리선착장,부산 영도구,항구,311
23,청학수변공원,부산 영도구,공원,300
24,영도어울림문화공원,부산 영도구 함지로79번길 6-0,공원,261
25,미디호텔부산,부산 영도구 태종로 45-0,호텔,256
26,영도도서관남항분관,부산 영도구 절영로 71-0,문화생활시설기타,245
27,베이하운드호텔,부산 영도구 태종로65번길 11-0,호텔,235
28,영도신방파제,부산 영도구,방파제,225
29,청학배수지전망대,부산 영도구 와치로 36-0,전망대,210
30,영도놀이마루,부산 영도구 와치로 259-0,문화생활시설기타,208
31,영도봉래시장,부산 영도구 태종로113번길 39-0,종합시장,198
32,감지해변,부산 영도구,관광명소기타,192
33,우리마트영도동삼점,부산 영도구 절영로 531-0,쇼핑기타,176
34,한마음선원부산지원,부산 영도구 함지로79번길 23-26,절,174
35,글랜스호텔,부산 영도구 봉래나루로 56-0,호텔,173
35,피아크,부산 영도구 해양로195번길 180-0,문화생활시설기타,173
37,다이소영도동삼점,부산 영도구 동삼로 23-0,쇼핑기타,160
38,매일마린,부산 영도구 해양로 17-0,쇼핑기타,146
39,그랜드베른호텔,부산 영도구 해양로 38-0,호텔,143
40,PSG해동충전소,부산 영도구 해양로135번길 11-0,쇼핑기타,126
41,한국해양수산개발원해양수산정보센터,부산 영도구 해양로301번길 26-0,문화생활시설기타,121
42,YD스크린골프,부산 영도구 절영로35번길 61-0,골프장,117
43,아일랜드골프연습장,부산 영도구 해양로 214-0,골프장,107
44,캠핑고래부산영도점,부산 영도구 태종로 361-0,쇼핑기타,100
45,영도마린축구장,부산 영도구 해양로 307-0,운동장,97
46,큐모텔,부산 영도구 해양로 50-0,모텔/여관,91
47,호텔브릿지,부산 영도구 봉래나루로 72-0,모텔/여관,85
48,복천사,부산 영도구 산정길 41-0,절,84
48,함지그린아파트상가,부산 영도구 함지로 6-0,쇼핑기타,84
50,브릿지수변테마공원,부산 영도구,공원,81
51,함지골청소년수련관,부산 영도구 절영로 319-0,수련장,80
52,깡깡이예술마을,부산 영도구,관광명소기타,72
53,GS25영도개나리점,부산 영도구 개나리길 1-0,쇼핑기타,71
54,태종파크텔,부산 영도구 태종로 802-0,모텔/여관,69
55,다이소탑마트영도동삼2호점,부산 영도구 동삼로 56-0,쇼핑기타,67
55,아미르공원,부산 영도구,공원,67
57,75광장,부산 영도구,공원,63
58,부산원도심골목길축제(흰여울문화마을),부산 영도구 흰여울길 273-0,축제,62
59,오션스크린골프,부산 영도구 해양로 69-0,골프장,61
59,종점문방구,부산 영도구 절영로49번길 2-0,쇼핑기타,61
61,탑마트영도동삼점,부산 영도구 절영로 531-0,쇼핑기타,59
61,청학빅마트,부산 영도구 청학남로29번길 36-0,쇼핑기타,59
63,진진낚시,부산 영도구 태종로765번길 19-0,낚시,56
64,중리낚시슈퍼,부산 영도구 중리남로 2-3,쇼핑기타,52
65,부산항대교공원,부산 영도구 해양로15번길 0-0,공원,50
66,호국관음사,부산 영도구 산제당길 137-0,절,47
67,OK모텔,부산 영도구 절영로19번길 33-0,모텔/여관,46
68,흰여울해안터널,부산 영도구,관광명소기타,42
69,토토볼링센터,부산 영도구 대평남로 8-0,레저/스포츠기타,37
69,한양마트대교점,부산 영도구 절영로35번길 56-0,쇼핑기타,37
71,태종사수국꽃문화축제,부산 영도구 전망로 119-0,축제,36
72,G2모텔,부산 영도구 아랫서발길 5-0,모텔/여관,33
72,나인모텔,부산 영도구 절영로 48-1,모텔/여관,33
72,다이소탑마트영도동삼점,부산 영도구 절영로 531-0,쇼핑기타,33
72,해양스포츠교실,부산 영도구 감지길87번길 19-0,수상해양스포츠,33
76,쌍용골프클럽,부산 영도구,골프장,31
77,영화사,부산 영도구 비나리길 30-0,절,29
77,하리방파제,부산 영도구,방파제,29
79,절영해안산책로,부산 영도구,관광명소기타,28
80,레드펄스부산점,부산 영도구 해양로117번길 1-0,낚시,27
80,영도관광사격장,부산 영도구 절영로 319-0,사격장,27
80,조도방파제,부산 영도구,방파제,27
83,부산영도다리축제,부산 영도구,축제,25
84,골프존파크청학오션스크린,부산 영도구 해양로 69-0,골프장,24
85,노스하버호텔,부산 영도구 태종로 45-0,호텔,23
86,비치모텔,부산 영도구 하리해안길 10-9,모텔/여관,22
86,CU영도포부대점,부산 영도구 청학로 33-2,쇼핑기타,22
88,깡깡이생활문화센터,부산 영도구 대평로27번길 8-8,문화생활시설기타,21
89,봉래산,부산 영도구,명산,20
90,달라스짐,부산 영도구 절영로35번길 56-0,레저/스포츠기타,19
90,삼진어묵체험역사관,부산 영도구 태종로99번길 36-0,전시장,19
92,골프존파크영선골든점,부산 영도구 영선대로 77-0,골프장,18
92,은우피싱,부산 영도구 남항서로 105-0,쇼핑기타,18
92,중리노을전망대,부산 영도구 중리북로 5-0,전망대,18
92,해동낚시,부산 영도구 절영로 448-0,낚시,18
96,아레아식스,부산 영도구 태종로105번길 37-3,쇼핑기타,17
96,GS25남항시장점,부산 영도구 절영로35번길 27-0,쇼핑기타,17
98,부산항축제(국립해양박물관),부산 영도구 해양로301번길 45-0,축제,16
98,영도하늘전망대,부산 영도구,전망대,16
100,봉래산불로초공원,부산 영도구,공원,15
