순위,관광지명,주소,분류,외지인 검색 수
1,롯데백화점동래점,부산 동래구 중앙대로 1393-0,쇼핑센터,104089
2,메가마트동래점,부산 동래구 충렬대로 197-0,쇼핑센터,79177
3,사직야구장,부산 동래구 사직로 45-0,운동장,46564
4,허심청,부산 동래구 온천장로107번길 32-0,온천,33854
5,홈플러스동래점,부산 동래구 중앙대로 1523-0,쇼핑센터,31731
6,호텔농심,부산 동래구 금강공원로20번길 23-0,호텔,29424
7,부산사직종합운동장,부산 동래구 사직로 45-0,운동장,18625
8,서원시장,부산 동래구 충렬대로359번길 55-0,재래시장,16020
9,롯데마트동래점,부산 동래구 중앙대로 1393-0,쇼핑센터,14853
10,충렬사,부산 동래구 충렬대로 345-0,문화유적지,12515
11,자이언츠파크,부산 동래구 사직북로 4-0,쇼핑기타,11148
12,동래시장,부산 동래구 동래시장길 14-0,재래시장,10944
13,사직실내체육관,부산 동래구 체육공원로 74-0,운동장,9418
14,다이소부산동래역점,부산 동래구 중앙대로 1295-0,쇼핑기타,9344
15,복천박물관,부산 동래구 복천로 63-0,박물관/기념관,8413
16,녹천온천호텔,부산 동래구 금강공원로26번길 31-0,호텔,8316
17,CGV동래,부산 동래구 중앙대로 1523-0,극장,6987
18,금강공원,부산 동래구 우장춘로 155-0,공원,6424
19,금강식물원,부산 동래구 우장춘로 221-0,동식물원,6122
20,부산해양자연사박물관,부산 동래구 우장춘로 175-0,박물관/기념관,6106
21,사직실내수영장,부산 동래구 종합운동장로 29-0,수영장,5863
22,만덕고개누리길전망테크,부산 동래구,전망대,5669
23,부산광역시립명장도서관,부산 동래구 명안로46번길 35-0,문화생활시설기타,5638
24,동래아이스링크,부산 동래구 충렬대로 420-0,스케이트장,5235
25,만어낚시본점,부산 동래구 충렬대로 113-0,낚시,4827
26,우장춘기념관,부산 동래구 우장춘로62번길 7-0,박물관/기념관,4146
27,덴바스타시그니처호텔,부산 동래구 여고북로23번길 55-0,호텔,4098
28,탑마트온천점,부산 동래구 아시아드대로 215-0,쇼핑기타,3832
29,롯데시네마동래,부산 동래구 중앙대로 1393-0,극장,3809
30,KH마이우스,부산 동래구 금강공원로 27-0,쇼핑기타,3661
31,GS더프레시명장점,부산 동래구 반송로 291-0,쇼핑기타,3643
32,동래읍성도서관,부산 동래구 동래로159번길 153-0,문화생활시설기타,3550
33,골프존파크명륜JK골프점,부산 동래구 명륜로138번길 40-0,골프장,3272
34,골프존파크사직JK스크린골프,부산 동래구 아시아드대로161번길 81-0,골프장,3174
35,브라운도트호텔미남역점,부산 동래구 미남로 100-0,모텔/여관,3133
36,브라운도트호텔사직야구장점,부산 동래구 사직북로13번길 11-0,호텔,3044
37,대성관호텔,부산 동래구 금강로124번길 19-0,모텔/여관,2937
38,미스터브릭호텔,부산 동래구 충렬대로92번길 24-0,모텔/여관,2926
39,파라다이스골프랜드,부산 동래구,쇼핑기타,2790
40,하운드호텔미남역점,부산 동래구 충렬대로86번길 25-0,호텔,2558
41,부산시체육회관,부산 동래구 사직로 77-0,운동장,2550
42,온천프라자,부산 동래구 금강로 69-0,쇼핑기타,2529
43,동래구국민체육센터,부산 동래구 미남로 110-0,레저/스포츠기타,2513
44,금정상가시장,부산 동래구 충렬대로108번길 81-0,재래시장,2377
45,오렌지실내테니스장,부산 동래구 연안로58번길 38-0,레저/스포츠기타,2321
46,명장시장,부산 동래구 명장로64번길 12-0,재래시장,2253
47,다이소부산온천시장점,부산 동래구 금강공원로20번길 93-0,쇼핑기타,2210
48,G&G모텔,부산 동래구 온천장로 35-7,모텔/여관,2158
49,안락시장,부산 동래구 충렬대로410번길 21-0,재래시장,1993
50,안락누리도서관,부산 동래구 명안로10번길 64-0,문화생활시설기타,1949
51,부산종합실내테니스장,부산 동래구 종합운동장로 35-6,레저/스포츠기타,1856
52,온천시장,부산 동래구 온천장로119번길 48-0,재래시장,1836
53,버튼호텔,부산 동래구 충렬대로86번길 24-0,모텔/여관,1753
54,더월마트안락점,부산 동래구 안남로 112-0,쇼핑기타,1742
55,카리노호텔,부산 동래구 금강로124번길 25-0,모텔/여관,1656
56,호텔이그니스,부산 동래구 중앙대로1473번길 14-13,모텔/여관,1611
57,스카이짐,부산 동래구 안남로 108-0,레저/스포츠기타,1562
58,하나로마트사직점,부산 동래구 사직로70번길 56-0,쇼핑센터,1548
59,더스톤브릿지호텔,부산 동래구 미남로 96-0,모텔/여관,1546
60,올리브모텔,부산 동래구 여고북로73번길 62-0,모텔/여관,1495
61,호텔아마레동래점,부산 동래구 명륜로112번가길 24-0,모텔/여관,1395
62,미투나호텔,부산 동래구 차밭골로 28-0,모텔/여관,1387
63,AK골프부산본점,부산 동래구 충렬대로 311-0,쇼핑기타,1335
64,성일레포츠,부산 동래구 명장로 153-0,레저/스포츠기타,1225
65,탑마트사직점,부산 동래구 사직북로33번길 34-0,쇼핑기타,1208
66,인터파크모텔,부산 동래구 동래로 21-11,모텔/여관,1206
67,명진골프클럽안락점,부산 동래구 안남로 108-0,골프장,1190
67,삼성볼링장,부산 동래구 명장로20번길 90-0,레저/스포츠기타,1190
69,오호텔,부산 동래구 온천장로 35-9,모텔/여관,1176
70,총각정육백화점,부산 동래구 아시아드대로 153-1,쇼핑기타,1164
71,글로빌아트홀,부산 동래구 사직북로48번길 162-0,공연장,1077
72,천일온천호텔,부산 동래구 금강공원로26번길 42-0,호텔,1030
73,금강국민호텔,부산 동래구 금샘로7번길 43-0,호텔,1027
74,사직토이장난감,부산 동래구 여고로 38-0,쇼핑기타,1020
75,대교마트사직점,부산 동래구 여고북로 156-0,쇼핑기타,1006
76,새부산기독서점,부산 동래구 아시아드대로 127-0,쇼핑기타,989
77,금강케이블카,부산 동래구 우장춘로 155-26,관광명소기타,964
78,동래향교,부산 동래구 동래로 103-0,문화유적지,934
79,온천타일공구,부산 동래구 중앙대로1335번길 49-2,쇼핑기타,886
80,보림프라자,부산 동래구 안남로 23-0,쇼핑기타,884
81,자이언츠파크스크린&골프,부산 동래구 사직북로 4-0,골프장,883
82,에이치에비뉴,부산 동래구 충렬대로92번길 21-0,호텔,830
83,사직시장,부산 동래구 사직북로34번길 48-0,재래시장,826
84,사직동보현타워,부산 동래구 석사로 35-0,쇼핑기타,803
85,동래사적공원,부산 동래구,공원,800
86,투헤븐호텔,부산 동래구 충렬대로86번길 38-0,모텔/여관,790
87,보노호텔,부산 동래구 온천장로 35-1,모텔/여관,786
88,동래읍성지북문광장,부산 동래구,공원,764
89,세븐브릿지호텔,부산 동래구 충렬대로 245-6,모텔/여관,710
90,메가모텔,부산 동래구 명륜로112번가길 37-0,모텔/여관,659
91,하루호텔,부산 동래구 충렬대로86번길 9-0,모텔/여관,651
92,골프존파크수안명품스크린점,부산 동래구 명륜로 52-0,골프장,649
93,부산민속예술관,부산 동래구 우장춘로 195-46,문화생활시설기타,644
94,사직롯데캐슬더클래식아파트상가,부산 동래구 아시아드대로146번길 1-0,쇼핑기타,632
95,스파볼링장,부산 동래구 금강공원로 10-1,레저/스포츠기타,596
96,골프존파크온천티박스스크린점,부산 동래구 금강공원로20번길 46-0,골프장,582
97,우리종합상사,부산 동래구 안락로 53-0,쇼핑기타,581
98,세인트나인호텔,부산 동래구 안연로 105-0,모텔/여관,577
99,자연드림동래사직점,부산 동래구 사직북로47번길 17-0,농수축산물시장,570
100,자연드림부산명륜점,부산 동래구 명륜로 222-0,쇼핑기타,557
