순위,관광지명,주소,분류,합산 검색 수
1,롯데백화점동래점,부산 동래구 중앙대로 1393-0,쇼핑센터,126344
2,메가마트동래점,부산 동래구 충렬대로 197-0,쇼핑센터,96988
3,사직야구장,부산 동래구 사직로 45-0,운동장,58458
4,허심청,부산 동래구 온천장로107번길 32-0,온천,41118
5,홈플러스동래점,부산 동래구 중앙대로 1523-0,쇼핑센터,39688
6,호텔농심,부산 동래구 금강공원로20번길 23-0,호텔,32663
7,부산사직종합운동장,부산 동래구 사직로 45-0,운동장,22285
8,서원시장,부산 동래구 충렬대로359번길 55-0,재래시장,20032
9,롯데마트동래점,부산 동래구 중앙대로 1393-0,쇼핑센터,17876
10,충렬사,부산 동래구 충렬대로 345-0,문화유적지,16194
11,자이언츠파크,부산 동래구 사직북로 4-0,쇼핑기타,14184
12,동래시장,부산 동래구 동래시장길 14-0,재래시장,13163
13,다이소부산동래역점,부산 동래구 중앙대로 1295-0,쇼핑기타,12801
14,사직실내체육관,부산 동래구 체육공원로 74-0,운동장,11482
15,복천박물관,부산 동래구 복천로 63-0,박물관/기념관,10848
16,녹천온천호텔,부산 동래구 금강공원로26번길 31-0,호텔,9005
17,CGV동래,부산 동래구 중앙대로 1523-0,극장,8282
18,금강공원,부산 동래구 우장춘로 155-0,공원,7721
19,부산광역시립명장도서관,부산 동래구 명안로46번길 35-0,문화생활시설기타,7660
20,사직실내수영장,부산 동래구 종합운동장로 29-0,수영장,7520
21,금강식물원,부산 동래구 우장춘로 221-0,동식물원,7263
22,부산해양자연사박물관,부산 동래구 우장춘로 175-0,박물관/기념관,6929
23,동래아이스링크,부산 동래구 충렬대로 420-0,스케이트장,6351
24,만덕고개누리길전망테크,부산 동래구,전망대,6349
25,우장춘기념관,부산 동래구 우장춘로62번길 7-0,박물관/기념관,6100
26,KH마이우스,부산 동래구 금강공원로 27-0,쇼핑기타,5710
27,만어낚시본점,부산 동래구 충렬대로 113-0,낚시,5544
28,동래읍성도서관,부산 동래구 동래로159번길 153-0,문화생활시설기타,5033
29,탑마트온천점,부산 동래구 아시아드대로 215-0,쇼핑기타,4866
30,GS더프레시명장점,부산 동래구 반송로 291-0,쇼핑기타,4804
31,덴바스타시그니처호텔,부산 동래구 여고북로23번길 55-0,호텔,4714
32,롯데시네마동래,부산 동래구 중앙대로 1393-0,극장,4672
33,골프존파크명륜JK골프점,부산 동래구 명륜로138번길 40-0,골프장,3915
34,온천프라자,부산 동래구 금강로 69-0,쇼핑기타,3857
35,골프존파크사직JK스크린골프,부산 동래구 아시아드대로161번길 81-0,골프장,3730
36,브라운도트호텔미남역점,부산 동래구 미남로 100-0,모텔/여관,3579
