순위,관광지명,주소,분류,현지인 검색 수
1,롯데백화점동래점,부산 동래구 중앙대로 1393-0,쇼핑센터,22255
2,메가마트동래점,부산 동래구 충렬대로 197-0,쇼핑센터,17811
3,사직야구장,부산 동래구 사직로 45-0,운동장,11894
4,홈플러스동래점,부산 동래구 중앙대로 1523-0,쇼핑센터,7957
5,허심청,부산 동래구 온천장로107번길 32-0,온천,7264
6,서원시장,부산 동래구 충렬대로359번길 55-0,재래시장,4012
7,충렬사,부산 동래구 충렬대로 345-0,문화유적지,3679
8,부산사직종합운동장,부산 동래구 사직로 45-0,운동장,3660
9,다이소부산동래역점,부산 동래구 중앙대로 1295-0,쇼핑기타,3457
10,호텔농심,부산 동래구 금강공원로20번길 23-0,호텔,3239
11,자이언츠파크,부산 동래구 사직북로 4-0,쇼핑기타,3036
12,롯데마트동래점,부산 동래구 중앙대로 1393-0,쇼핑센터,3023
13,복천박물관,부산 동래구 복천로 63-0,박물관/기념관,2435
14,동래시장,부산 동래구 동래시장길 14-0,재래시장,2219
15,사직실내체육관,부산 동래구 체육공원로 74-0,운동장,2064
16,KH마이우스,부산 동래구 금강공원로 27-0,쇼핑기타,2049
17,부산광역시립명장도서관,부산 동래구 명안로46번길 35-0,문화생활시설기타,2022
18,우장춘기념관,부산 동래구 우장춘로62번길 7-0,박물관/기념관,1954
19,사직실내수영장,부산 동래구 종합운동장로 29-0,수영장,1657
20,동래읍성도서관,부산 동래구 동래로159번길 153-0,문화생활시설기타,1483
21,온천프라자,부산 동래구 금강로 69-0,쇼핑기타,1328
22,금강공원,부산 동래구 우장춘로 155-0,공원,1297
23,CGV동래,부산 동래구 중앙대로 1523-0,극장,1295
24,GS더프레시명장점,부산 동래구 반송로 291-0,쇼핑기타,1161
25,금강식물원,부산 동래구 우장춘로 221-0,동식물원,1141
26,동래아이스링크,부산 동래구 충렬대로 420-0,스케이트장,1116
27,탑마트온천점,부산 동래구 아시아드대로 215-0,쇼핑기타,1034
28,안락누리도서관,부산 동래구 명안로10번길 64-0,문화생활시설기타,969
29,안락시장,부산 동래구 충렬대로410번길 21-0,재래시장,922
30,명장시장,부산 동래구 명장로64번길 12-0,재래시장,881
31,롯데시네마동래,부산 동래구 중앙대로 1393-0,극장,863
