순위,관광지명,주소,분류,외지인 검색 수
1,롯데백화점광복점,부산 중구 중앙대로 2-0,쇼핑센터,170610
2,국제시장,부산 중구 국제시장2길 25-0,종합시장,98932
3,자갈치시장,부산 중구 자갈치해안로 52-0,농수축산물시장,89655
4,부평깡통시장,부산 중구 부평1길 48-0,시장기타,37165
5,코모도호텔부산,부산 중구 중구로 151-0,호텔,24651
6,부산민주공원,부산 중구 민주공원길 19-0,공원,22193
7,롯데마트광복점,부산 중구 중앙대로 2-0,쇼핑센터,17076
8,롯데백화점광복점아쿠아몰,부산 중구 중앙대로 2-0,쇼핑센터,16161
9,크라운하버호텔부산,부산 중구 중앙대로 114-0,호텔,15302
10,용두산공원,부산 중구 용두산길 37-55,공원,9716
11,신동아시장,부산 중구 자갈치로 42-0,종합시장,8351
12,부산항연안여객터미널,부산 중구 충장대로 24-0,항구,7420
13,ABC마트GS부산광복점,부산 중구 광복중앙로 2-0,쇼핑기타,7183
14,토요코인호텔부산역2호점,부산 중구 중앙대로 125-0,호텔,6327
15,지앤비호텔,부산 중구 흑교로 19-0,호텔,5664
16,부산관광호텔,부산 중구 광복로97번길 23-0,호텔,5613
17,가톨릭센터,부산 중구 중구로 71-0,문화생활시설기타,4431
18,하운드호텔,부산 중구 보수대로 24-0,호텔,4195
19,하나로마트자갈치점,부산 중구 구덕로 73-0,쇼핑센터,4048
20,부산근현대역사관공사중(2022년06월개관예정),부산 중구 대청로 104-0,관광명소기타,4014
21,호텔포레프리미어남포점,부산 중구 구덕로 54-1,호텔,3788
22,타워힐호텔,부산 중구 백산길 20-0,호텔,3615
23,롯데시네마광복,부산 중구 중앙대로 2-0,극장,3549
24,부산광역시립중앙도서관,부산 중구 망양로193번길 146-0,문화생활시설기타,3365
25,BIFF광장,부산 중구,놀거리기타,3324
26,부산데파트,부산 중구 중앙대로 21-0,쇼핑기타,3221
27,호텔아벤트리부산,부산 중구 광복로39번길 6-0,호텔,3119
28,와이즈파크광복점,부산 중구 광복로39번길 6-0,쇼핑센터,2965
29,부산항제2부두,부산 중구 충장대로 54-0,항구,2915
30,커넥트부산호텔&레지던스,부산 중구 대교로 115-1,호텔,2673
31,넘버25호텔대청점,부산 중구 대청로 107-0,호텔,2624
32,부산항제1부두,부산 중구,항구,2623
33,부산영화체험박물관,부산 중구 대청로126번길 12-0,박물관/기념관,2327
34,스탠포드인부산,부산 중구 구덕로 53-0,호텔,2182
35,엘리제호텔,부산 중구 대청로126번길 22-0,호텔,2110
36,YTT호텔남포,부산 중구 백산길 15-0,호텔,2029
37,남포문고,부산 중구 중구로 13-0,쇼핑기타,1898
38,롯데시네마대영,부산 중구 비프광장로 37-0,극장,1737
39,메가박스부산극장본관,부산 중구 비프광장로 36-0,극장,1729
40,호텔그레이남포점,부산 중구 보수대로124번길 82-0,호텔,1702
41,센트럴파크호텔부산,부산 중구 해관로 20-0,호텔,1672
42,소유호텔,부산 중구 대청로126번길 23-0,모텔/여관,1663
43,보수동책방골목,부산 중구,살거리기타,1607
44,대각사,부산 중구 광복중앙로 19-0,절,1573
45,호텔콘트,부산 중구 용두산길 12-0,호텔,1529
46,조은극장1관,부산 중구 구덕로34번길 4-0,공연장,1424
47,더 하운드 호텔,부산 중구 대청로126번길 9-0,호텔,1316
48,아리아호텔,부산 중구 중앙대로41번길 23-0,호텔,1195
49,카카오프렌즈부산플래그십스토어,부산 중구 광복로 62-0,쇼핑기타,1177
50,다이소부산남포점,부산 중구 구덕로 46-0,쇼핑기타,1153
51,호텔더루아남포롯데점,부산 중구 대청로134번길 23-0,모텔/여관,1118
52,엠유,부산 중구 대청로126번길 36-0,호텔,1100
53,부산시수협자갈치위판장,부산 중구 자갈치해안로 70-0,농수축산물시장,1027
54,오션투헤븐호텔&스파,부산 중구 자갈치로 21-0,모텔/여관,958
55,힐사이드호텔,부산 중구 중구로 160-0,호텔,954
56,한신스포렉스,부산 중구 고가길 32-0,레저/스포츠기타,947
57,스테이웰호텔,부산 중구 구덕로 22-0,호텔,945
58,투헤븐호텔,부산 중구 흑교로21번길 7-0,모텔/여관,931
59,민주공원민주항쟁기념관,부산 중구 민주공원길 19-0,박물관/기념관,898
60,보수종합시장,부산 중구 보수대로 94-0,종합시장,858
61,중앙컴퓨터도매상가,부산 중구 중앙대로 26-0,쇼핑기타,836
62,월드밸리수입상가,부산 중구 대청로 60-0,쇼핑기타,801
63,바르도호텔남포,부산 중구 광복로67번길 12-0,호텔,677
64,부산타워,부산 중구 용두산길 37-55,전망대,672
65,메이호텔,부산 중구 구덕로34번길 4-0,모텔/여관,668
66,더라스트호텔,부산 중구 광복로85번길 5-7,모텔/여관,663
67,브이호텔,부산 중구 보수대로 8-3,모텔/여관,629
68,보브텔,부산 중구 흑교로 7-0,모텔/여관,593
69,아트박스부산광복점,부산 중구 비프광장로 28-0,쇼핑기타,579
70,호텔린,부산 중구 구덕로34번길 4-0,모텔/여관,554
71,꽃분이네,부산 중구 중구로 42-0,쇼핑기타,535
72,다이소부산국제시장점,부산 중구 중구로 13-0,쇼핑기타,523
73,신천지시장,부산 중구 자갈치로 33-0,쇼핑기타,463
74,WA호텔,부산 중구 광복로97번안길 5-0,모텔/여관,451
75,영주하늘눈전망대,부산 중구,전망대,445
76,다이아몬드타워,부산 중구 용두산길 37-55,전망대,432
77,비센트호텔,부산 중구 충장대로9번길 64-0,호텔,419
77,헤르메스호텔,부산 중구 보수대로 26-0,호텔,419
79,백산기념관,부산 중구 백산길 11-0,박물관/기념관,408
80,CGV남포 휴점,부산 중구 비프광장로 18-0,극장,391
81,그리핀베이호텔,부산 중구 자갈치로59번길 6-0,호텔,385
82,고심정사,부산 중구 대청로135번길 20-0,절,383
83,40계단문화관,부산 중구 동광길 49-0,문화원,339
84,콤마모텔,부산 중구 광복로 88-0,모텔/여관,333
85,폭시모텔,부산 중구 중앙대로41번길 24-0,모텔/여관,331
86,마르쉐호텔,부산 중구 흑교로 10-0,모텔/여관,326
87,고래사어묵자갈치점,부산 중구 자갈치로37번길 4-0,쇼핑기타,316
88,브로시스호텔,부산 중구 구덕로48번길 4-0,호텔,313
89,더하운드호텔,부산 중구 대청로126번길 9-0,호텔,310
90,웰빙체육관,부산 중구 영주로 89-0,운동장,307
91,광복로패션거리,부산 중구,살거리기타,299
91,헬스보이짐남포점,부산 중구 광복로39번길 6-0,레저/스포츠기타,299
93,남포동트리축제,부산 중구,축제,288
94,나이키뉴광복점,부산 중구 광복로 45-0,쇼핑기타,287
95,남포동건어물도매시장,부산 중구 용미길8번길 4-1,재래시장,276
96,트릭아이뮤지엄부산,부산 중구 대청로126번길 12-0,미술관,273
97,보수동책방골목문화관,부산 중구 대청로 61-2,문화원,262
98,남포동건어물시장,부산 중구 용미길8번길 7-0,농수축산물시장,240
99,40계단거리,부산 중구,놀거리기타,232
100,마론호텔남포,부산 중구 광복로67번길 12-0,호텔,231
