순위,관광지명,주소,분류,합산 검색 수
1,롯데백화점광복점,부산 중구 중앙대로 2-0,쇼핑센터,178575
2,국제시장,부산 중구 국제시장2길 25-0,종합시장,100890
3,자갈치시장,부산 중구 자갈치해안로 52-0,농수축산물시장,92428
4,부평깡통시장,부산 중구 부평1길 48-0,시장기타,37651
5,코모도호텔부산,부산 중구 중구로 151-0,호텔,26971
6,부산민주공원,부산 중구 민주공원길 19-0,공원,25121
7,롯데마트광복점,부산 중구 중앙대로 2-0,쇼핑센터,18580
8,롯데백화점광복점아쿠아몰,부산 중구 중앙대로 2-0,쇼핑센터,16810
9,크라운하버호텔부산,부산 중구 중앙대로 114-0,호텔,16465
10,용두산공원,부산 중구 용두산길 37-55,공원,9959
11,신동아시장,부산 중구 자갈치로 42-0,종합시장,9424
12,부산항연안여객터미널,부산 중구 충장대로 24-0,항구,8173
13,ABC마트GS부산광복점,부산 중구 광복중앙로 2-0,쇼핑기타,7623
14,토요코인호텔부산역2호점,부산 중구 중앙대로 125-0,호텔,7019
15,부산관광호텔,부산 중구 광복로97번길 23-0,호텔,6243
16,지앤비호텔,부산 중구 흑교로 19-0,호텔,5766
17,가톨릭센터,부산 중구 중구로 71-0,문화생활시설기타,5167
18,하나로마트자갈치점,부산 중구 구덕로 73-0,쇼핑센터,4721
19,하운드호텔,부산 중구 보수대로 24-0,호텔,4280
20,타워힐호텔,부산 중구 백산길 20-0,호텔,4259
21,부산근현대역사관공사중(2022년06월개관예정),부산 중구 대청로 104-0,관광명소기타,4219
22,부산데파트,부산 중구 중앙대로 21-0,쇼핑기타,3863
23,부산광역시립중앙도서관,부산 중구 망양로193번길 146-0,문화생활시설기타,3840
24,롯데시네마광복,부산 중구 중앙대로 2-0,극장,3838
25,호텔포레프리미어남포점,부산 중구 구덕로 54-1,호텔,3829
26,BIFF광장,부산 중구,놀거리기타,3398
27,와이즈파크광복점,부산 중구 광복로39번길 6-0,쇼핑센터,3313
28,호텔아벤트리부산,부산 중구 광복로39번길 6-0,호텔,3154
29,부산항제2부두,부산 중구 충장대로 54-0,항구,3131
30,넘버25호텔대청점,부산 중구 대청로 107-0,호텔,2875
31,커넥트부산호텔&레지던스,부산 중구 대교로 115-1,호텔,2763
32,부산항제1부두,부산 중구,항구,2714
33,부산영화체험박물관,부산 중구 대청로126번길 12-0,박물관/기념관,2640
34,엘리제호텔,부산 중구 대청로126번길 22-0,호텔,2278
