순위,관광지명,주소,분류,현지인 검색 수
1,롯데백화점광복점,부산 중구 중앙대로 2-0,쇼핑센터,7965
2,부산민주공원,부산 중구 민주공원길 19-0,공원,2928
3,자갈치시장,부산 중구 자갈치해안로 52-0,농수축산물시장,2773
4,코모도호텔부산,부산 중구 중구로 151-0,호텔,2320
5,국제시장,부산 중구 국제시장2길 25-0,종합시장,1958
6,롯데마트광복점,부산 중구 중앙대로 2-0,쇼핑센터,1504
7,크라운하버호텔부산,부산 중구 중앙대로 114-0,호텔,1163
8,신동아시장,부산 중구 자갈치로 42-0,종합시장,1073
9,부산항연안여객터미널,부산 중구 충장대로 24-0,항구,753
10,가톨릭센터,부산 중구 중구로 71-0,문화생활시설기타,736
11,토요코인호텔부산역2호점,부산 중구 중앙대로 125-0,호텔,692
12,하나로마트자갈치점,부산 중구 구덕로 73-0,쇼핑센터,673
13,롯데백화점광복점아쿠아몰,부산 중구 중앙대로 2-0,쇼핑센터,649
14,타워힐호텔,부산 중구 백산길 20-0,호텔,644
15,부산데파트,부산 중구 중앙대로 21-0,쇼핑기타,642
16,부산관광호텔,부산 중구 광복로97번길 23-0,호텔,630
17,부평깡통시장,부산 중구 부평1길 48-0,시장기타,486
18,부산광역시립중앙도서관,부산 중구 망양로193번길 146-0,문화생활시설기타,475
19,ABC마트GS부산광복점,부산 중구 광복중앙로 2-0,쇼핑기타,440
20,대각사,부산 중구 광복중앙로 19-0,절,406
21,와이즈파크광복점,부산 중구 광복로39번길 6-0,쇼핑센터,348
22,부산영화체험박물관,부산 중구 대청로126번길 12-0,박물관/기념관,313
23,한신스포렉스,부산 중구 고가길 32-0,레저/스포츠기타,310
24,롯데시네마광복,부산 중구 중앙대로 2-0,극장,289
25,넘버25호텔대청점,부산 중구 대청로 107-0,호텔,251
26,용두산공원,부산 중구 용두산길 37-55,공원,243
27,부산항제2부두,부산 중구 충장대로 54-0,항구,216
28,부산근현대역사관공사중(2022년06월개관예정),부산 중구 대청로 104-0,관광명소기타,205
29,보수동책방골목,부산 중구,살거리기타,195
30,부산시수협자갈치위판장,부산 중구 자갈치해안로 70-0,농수축산물시장,191
31,조은극장1관,부산 중구 구덕로34번길 4-0,공연장,174
32,엘리제호텔,부산 중구 대청로126번길 22-0,호텔,168
33,보수종합시장,부산 중구 보수대로 94-0,종합시장,156
34,씨앤투어,부산 중구 중앙대로81번길 9-0,여행/레저기타,150
35,중앙컴퓨터도매상가,부산 중구 중앙대로 26-0,쇼핑기타,135
36,지앤비호텔,부산 중구 흑교로 19-0,호텔,102
37,부산항제1부두,부산 중구,항구,91
