순위,관광지명,주소,분류,외지인 검색 수
1,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑센터,332628
2,NC백화점서면점,부산 부산진구 동천로 92-0,쇼핑센터,140004
3,이마트트레이더스서면점,부산 부산진구 시민공원로 31-0,쇼핑센터,95049
4,부산시민공원,부산 부산진구 시민공원로 73-0,공원,73943
5,부산어린이대공원,부산 부산진구 새싹로 295-0,테마파크,57969
6,홈플러스가야점,부산 부산진구 가야대로 506-0,쇼핑센터,55253
7,롯데호텔부산점,부산 부산진구 가야대로 772-0,호텔,52259
8,롯데마트부산점,부산 부산진구 신천대로 241-0,쇼핑센터,37766
9,부전시장,부산 부산진구 중앙대로783번길 23-0,재래시장,32064
10,황령산봉수대,부산 부산진구,관광명소기타,28174
11,쥬디스태화본관,부산 부산진구 중앙대로 694-0,쇼핑센터,25730
12,영광도서서면점,부산 부산진구 서면문화로 10-0,쇼핑기타,25333
13,교보문고부산점,부산 부산진구 중앙대로 658-0,쇼핑기타,21592
14,범일동귀금속거리,부산 부산진구,살거리기타,17747
15,삼광사,부산 부산진구 초읍천로43번길 77-0,절,17580
16,홈플러스서면점,부산 부산진구 동천로 4-0,쇼핑센터,15414
17,국립부산국악원,부산 부산진구 국악로 2-0,공연장,14451
18,쥬디스태화신관,부산 부산진구 서전로10번길 61-0,쇼핑센터,13761
19,평화도매시장,부산 부산진구 자유평화로 7-0,재래시장,13352
20,지오플레이스,부산 부산진구 동천로 4-0,쇼핑센터,13345
21,아르반호텔,부산 부산진구 중앙대로691번길 32-0,호텔,12374
22,당감시장,부산 부산진구 백양대로60번길 39-9,종합시장,12253
23,KT&G상상마당부산,부산 부산진구 서면로 39-0,문화생활시설기타,11180
24,CGV서면,부산 부산진구 동천로 4-0,극장,10739
25,선암사,부산 부산진구 백양산로 138-0,절,10489
26,부산광역시립시민도서관,부산 부산진구 월드컵대로 462-0,문화생활시설기타,9463
27,삼보게임랜드,부산 부산진구 서전로10번길 61-0,놀이시설,8935
28,황령산,부산 부산진구,명산,8811
29,개금골목시장,부산 부산진구 복지로13번길 75-0,재래시장,8786
30,부산광역시립부전도서관,부산 부산진구 동천로 79-0,문화생활시설기타,8117
31,송상현광장,부산 부산진구,공원,7934
32,솔라리아니시테츠호텔부산점,부산 부산진구 서면로 20-0,호텔,7544
33,가야공원,부산 부산진구,공원,7525
34,가야벽산상가,부산 부산진구 엄광로 68-0,쇼핑기타,7453
35,이비스앰배서더부산시티센터,부산 부산진구 중앙대로 777-0,호텔,7136
36,부산비즈니스호텔,부산 부산진구 부전로 67-0,호텔,7034
37,CGV서면삼정타워,부산 부산진구 중앙대로 672-0,극장,6949
38,화지골프클럽,부산 부산진구 동평로325번길 56-9,골프장,6488
39,서면A1프라자,부산 부산진구 중앙대로 668-0,쇼핑기타,6439
40,신신호텔,부산 부산진구 중앙대로743번길 24-0,호텔,6083
41,티티호텔,부산 부산진구 새싹로 35-0,호텔,5936
42,성지곡수원지,부산 부산진구 새싹로 295-0,유원지,5766
43,양정청소년수련관,부산 부산진구 동평로405번길 85-0,수련장,5712
44,하나로마트부전점,부산 부산진구 중앙대로783번길 14-0,쇼핑센터,5407
45,토요코인호텔부산서면점,부산 부산진구 서전로 39-0,호텔,5145
46,브라운도트호텔서면범천점,부산 부산진구 황령대로7번길 20-11,호텔,4950
47,가야골프센터,부산 부산진구 가야대로 545-0,골프장,4856
48,황령산레포츠공원,부산 부산진구 진남로328번길 176-0,공원,4766
49,서면시장,부산 부산진구 서면로 56-0,종합시장,4268
50,어반스테이더센트럴,부산 부산진구,호텔,4184
51,동의과학대학교스포츠센터,부산 부산진구 양지로 54-0,레저/스포츠기타,4101
52,부산진구국민체육센터,부산 부산진구 진남로328번길 35-0,레저/스포츠기타,3800
53,놀이마루,부산 부산진구 전포대로209번길 26-0,문화생활시설기타,3436
54,양정시장,부산 부산진구 동평로420번길 18-0,시장기타,3396
55,호텔엔젤,부산 부산진구 중앙대로692번길 46-7,호텔,3395
56,하운드호텔서면범천점,부산 부산진구 황령대로7번길 10-0,호텔,3331
57,호천문화플랫폼,부산 부산진구 엄광로 491-0,문화생활시설기타,3251
58,GDR아카데미부산부암점,부산 부산진구 신천대로 252-0,골프장,3219
59,리순덕호텔,부산 부산진구 황령대로7번길 26-0,모텔/여관,3181
60,서면1번가,부산 부산진구 신천대로62번길 0-0,놀거리기타,3051
61,사우스반데코호텔,부산 부산진구 서면로 6-0,호텔,2875
62,COMMA모텔,부산 부산진구 황령대로7번길 20-3,모텔/여관,2837
63,TRT호텔,부산 부산진구 부전로 33-1,모텔/여관,2686
64,한국신발관,부산 부산진구 백양대로 227-0,박물관/기념관,2681
65,유나호텔,부산 부산진구 서면로 15-9,호텔,2674
66,금강제화부산서면점,부산 부산진구 중앙대로 691-0,쇼핑기타,2673
67,중앙시장,부산 부산진구 중앙번영로20번길 34-0,종합시장,2633
68,브라운도트호텔서면1호점,부산 부산진구 서전로9번길 30-0,호텔,2520
69,부산전자종합도매상가,부산 부산진구 부전로 196-0,쇼핑기타,2490
70,오성휘트니스시청점,부산 부산진구 거제천로44번길 8-0,레저/스포츠기타,2484
