순위,관광지명,주소,분류,합산 검색 수
1,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑센터,373965
2,NC백화점서면점,부산 부산진구 동천로 92-0,쇼핑센터,167869
3,이마트트레이더스서면점,부산 부산진구 시민공원로 31-0,쇼핑센터,115414
4,부산시민공원,부산 부산진구 시민공원로 73-0,공원,87742
5,부산어린이대공원,부산 부산진구 새싹로 295-0,테마파크,74501
6,홈플러스가야점,부산 부산진구 가야대로 506-0,쇼핑센터,72433
7,롯데호텔부산점,부산 부산진구 가야대로 772-0,호텔,57026
8,롯데마트부산점,부산 부산진구 신천대로 241-0,쇼핑센터,49524
9,부전시장,부산 부산진구 중앙대로783번길 23-0,재래시장,39154
10,황령산봉수대,부산 부산진구,관광명소기타,31260
11,영광도서서면점,부산 부산진구 서면문화로 10-0,쇼핑기타,29704
12,쥬디스태화본관,부산 부산진구 중앙대로 694-0,쇼핑센터,29010
13,교보문고부산점,부산 부산진구 중앙대로 658-0,쇼핑기타,25478
14,삼광사,부산 부산진구 초읍천로43번길 77-0,절,20611
15,홈플러스서면점,부산 부산진구 동천로 4-0,쇼핑센터,19653
16,범일동귀금속거리,부산 부산진구,살거리기타,19166
17,국립부산국악원,부산 부산진구 국악로 2-0,공연장,18409
18,지오플레이스,부산 부산진구 동천로 4-0,쇼핑센터,17054
19,당감시장,부산 부산진구 백양대로60번길 39-9,종합시장,15726
20,쥬디스태화신관,부산 부산진구 서전로10번길 61-0,쇼핑센터,15677
21,평화도매시장,부산 부산진구 자유평화로 7-0,재래시장,14862
22,아르반호텔,부산 부산진구 중앙대로691번길 32-0,호텔,14049
23,선암사,부산 부산진구 백양산로 138-0,절,13263
24,KT&G상상마당부산,부산 부산진구 서면로 39-0,문화생활시설기타,12622
25,CGV서면,부산 부산진구 동천로 4-0,극장,12097
26,가야벽산상가,부산 부산진구 엄광로 68-0,쇼핑기타,11951
27,부산광역시립시민도서관,부산 부산진구 월드컵대로 462-0,문화생활시설기타,11614
28,개금골목시장,부산 부산진구 복지로13번길 75-0,재래시장,11510
29,삼보게임랜드,부산 부산진구 서전로10번길 61-0,놀이시설,10302
30,가야공원,부산 부산진구,공원,9956
31,송상현광장,부산 부산진구,공원,9781
32,황령산,부산 부산진구,명산,9595
33,부산광역시립부전도서관,부산 부산진구 동천로 79-0,문화생활시설기타,9534
34,솔라리아니시테츠호텔부산점,부산 부산진구 서면로 20-0,호텔,8364
35,화지골프클럽,부산 부산진구 동평로325번길 56-9,골프장,8116
36,CGV서면삼정타워,부산 부산진구 중앙대로 672-0,극장,8108
37,서면A1프라자,부산 부산진구 중앙대로 668-0,쇼핑기타,7823
38,이비스앰배서더부산시티센터,부산 부산진구 중앙대로 777-0,호텔,7679
39,부산비즈니스호텔,부산 부산진구 부전로 67-0,호텔,7569
40,양정청소년수련관,부산 부산진구 동평로405번길 85-0,수련장,7302
41,하나로마트부전점,부산 부산진구 중앙대로783번길 14-0,쇼핑센터,6874
42,성지곡수원지,부산 부산진구 새싹로 295-0,유원지,6802
43,신신호텔,부산 부산진구 중앙대로743번길 24-0,호텔,6791
44,티티호텔,부산 부산진구 새싹로 35-0,호텔,6346
45,브라운도트호텔서면범천점,부산 부산진구 황령대로7번길 20-11,호텔,6047
46,가야골프센터,부산 부산진구 가야대로 545-0,골프장,5989
47,황령산레포츠공원,부산 부산진구 진남로328번길 176-0,공원,5593
48,토요코인호텔부산서면점,부산 부산진구 서전로 39-0,호텔,5590
49,부산진구국민체육센터,부산 부산진구 진남로328번길 35-0,레저/스포츠기타,5397
50,동의과학대학교스포츠센터,부산 부산진구 양지로 54-0,레저/스포츠기타,5301
51,서면시장,부산 부산진구 서면로 56-0,종합시장,5159
52,어반스테이더센트럴,부산 부산진구,호텔,4763
53,놀이마루,부산 부산진구 전포대로209번길 26-0,문화생활시설기타,4710
54,GDR아카데미부산부암점,부산 부산진구 신천대로 252-0,골프장,4591
55,양정시장,부산 부산진구 동평로420번길 18-0,시장기타,4472
56,호텔엔젤,부산 부산진구 중앙대로692번길 46-7,호텔,3841
57,리순덕호텔,부산 부산진구 황령대로7번길 26-0,모텔/여관,3783
58,하운드호텔서면범천점,부산 부산진구 황령대로7번길 10-0,호텔,3781
59,호천문화플랫폼,부산 부산진구 엄광로 491-0,문화생활시설기타,3698
60,한국신발관,부산 부산진구 백양대로 227-0,박물관/기념관,3612
61,서면1번가,부산 부산진구 신천대로62번길 0-0,놀거리기타,3419
62,사우스반데코호텔,부산 부산진구 서면로 6-0,호텔,3407
63,금강제화부산서면점,부산 부산진구 중앙대로 691-0,쇼핑기타,3198
64,개금시장,부산 부산진구 엄광로 15-0,종합시장,3143
65,COMMA모텔,부산 부산진구 황령대로7번길 20-3,모텔/여관,3120
66,다이소부산초읍점,부산 부산진구 성지로 104-0,쇼핑기타,3105
67,중앙시장,부산 부산진구 중앙번영로20번길 34-0,종합시장,3104
68,오성휘트니스시청점,부산 부산진구 거제천로44번길 8-0,레저/스포츠기타,3088
69,다이소부산개금점,부산 부산진구 가야대로 477-0,쇼핑기타,3086
70,부산전자종합도매상가,부산 부산진구 부전로 196-0,쇼핑기타,3080
71,유나호텔,부산 부산진구 서면로 15-9,호텔,3073
72,TRT호텔,부산 부산진구 부전로 33-1,모텔/여관,2997
73,더클럽관광호텔,부산 부산진구 중앙대로691번길 46-0,호텔,2946
74,서면레포츠,부산 부산진구 시민공원로20번길 11-0,골프장,2828
75,로얄볼링장,부산 부산진구 부전로 57-0,레저/스포츠기타,2825
76,양정꽃상가,부산 부산진구 동평로420번길 18-0,쇼핑기타,2816
77,브라운도트호텔서면1호점,부산 부산진구 서전로9번길 30-0,호텔,2790
78,현대프라자,부산 부산진구 동평로 352-0,쇼핑기타,2769
79,브라운도트호텔양정점,부산 부산진구 동평로406번길 55-0,모텔/여관,2750
79,더샵센트럴스타상가,부산 부산진구 중앙대로666번길 50-0,쇼핑기타,2750
81,하루호텔,부산 부산진구 황령대로7번길 20-7,모텔/여관,2734
82,시티호텔지앤지,부산 부산진구 부전로20번길 36-0,호텔,2675
83,라이온호텔,부산 부산진구 중앙대로691번가길 14-7,호텔,2566
84,G7모텔,부산 부산진구 황령대로17번길 21-0,모텔/여관,2489
85,가야시장,부산 부산진구 가야대로 667-0,종합시장,2470
86,정묘사,부산 부산진구,고택/생가/민속마을,2463
87,런닝맨부산점,부산 부산진구 중앙대로 672-0,테마파크,2424
