순위,관광지명,주소,분류,현지인 검색 수
1,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑센터,41337
2,NC백화점서면점,부산 부산진구 동천로 92-0,쇼핑센터,27865
3,이마트트레이더스서면점,부산 부산진구 시민공원로 31-0,쇼핑센터,20365
4,홈플러스가야점,부산 부산진구 가야대로 506-0,쇼핑센터,17180
5,부산어린이대공원,부산 부산진구 새싹로 295-0,테마파크,16532
6,부산시민공원,부산 부산진구 시민공원로 73-0,공원,13799
7,롯데마트부산점,부산 부산진구 신천대로 241-0,쇼핑센터,11758
8,부전시장,부산 부산진구 중앙대로783번길 23-0,재래시장,7090
9,롯데호텔부산점,부산 부산진구 가야대로 772-0,호텔,4767
10,가야벽산상가,부산 부산진구 엄광로 68-0,쇼핑기타,4498
11,영광도서서면점,부산 부산진구 서면문화로 10-0,쇼핑기타,4371
12,홈플러스서면점,부산 부산진구 동천로 4-0,쇼핑센터,4239
13,국립부산국악원,부산 부산진구 국악로 2-0,공연장,3958
14,교보문고부산점,부산 부산진구 중앙대로 658-0,쇼핑기타,3886
15,지오플레이스,부산 부산진구 동천로 4-0,쇼핑센터,3709
16,당감시장,부산 부산진구 백양대로60번길 39-9,종합시장,3473
17,쥬디스태화본관,부산 부산진구 중앙대로 694-0,쇼핑센터,3280
18,황령산봉수대,부산 부산진구,관광명소기타,3086
19,삼광사,부산 부산진구 초읍천로43번길 77-0,절,3031
20,선암사,부산 부산진구 백양산로 138-0,절,2774
21,개금골목시장,부산 부산진구 복지로13번길 75-0,재래시장,2724
22,가야공원,부산 부산진구,공원,2431
23,부산광역시립시민도서관,부산 부산진구 월드컵대로 462-0,문화생활시설기타,2151
24,쥬디스태화신관,부산 부산진구 서전로10번길 61-0,쇼핑센터,1916
25,송상현광장,부산 부산진구,공원,1847
26,아르반호텔,부산 부산진구 중앙대로691번길 32-0,호텔,1675
27,화지골프클럽,부산 부산진구 동평로325번길 56-9,골프장,1628
28,부산진구국민체육센터,부산 부산진구 진남로328번길 35-0,레저/스포츠기타,1597
29,양정청소년수련관,부산 부산진구 동평로405번길 85-0,수련장,1590
30,평화도매시장,부산 부산진구 자유평화로 7-0,재래시장,1510
31,하나로마트부전점,부산 부산진구 중앙대로783번길 14-0,쇼핑센터,1467
32,KT&G상상마당부산,부산 부산진구 서면로 39-0,문화생활시설기타,1442
33,범일동귀금속거리,부산 부산진구,살거리기타,1419
34,부산광역시립부전도서관,부산 부산진구 동천로 79-0,문화생활시설기타,1417
35,서면A1프라자,부산 부산진구 중앙대로 668-0,쇼핑기타,1384
36,GDR아카데미부산부암점,부산 부산진구 신천대로 252-0,골프장,1372
37,삼보게임랜드,부산 부산진구 서전로10번길 61-0,놀이시설,1367
38,CGV서면,부산 부산진구 동천로 4-0,극장,1358
39,놀이마루,부산 부산진구 전포대로209번길 26-0,문화생활시설기타,1274
40,동의과학대학교스포츠센터,부산 부산진구 양지로 54-0,레저/스포츠기타,1200
41,CGV서면삼정타워,부산 부산진구 중앙대로 672-0,극장,1159
42,가야골프센터,부산 부산진구 가야대로 545-0,골프장,1133
43,브라운도트호텔서면범천점,부산 부산진구 황령대로7번길 20-11,호텔,1097
44,양정시장,부산 부산진구 동평로420번길 18-0,시장기타,1076
45,성지곡수원지,부산 부산진구 새싹로 295-0,유원지,1036
46,다이소부산초읍점,부산 부산진구 성지로 104-0,쇼핑기타,1033
47,한국신발관,부산 부산진구 백양대로 227-0,박물관/기념관,931
48,서면시장,부산 부산진구 서면로 56-0,종합시장,891
49,더샵센트럴스타상가,부산 부산진구 중앙대로666번길 50-0,쇼핑기타,845
50,개금시장,부산 부산진구 엄광로 15-0,종합시장,836
51,황령산레포츠공원,부산 부산진구 진남로328번길 176-0,공원,827
52,솔라리아니시테츠호텔부산점,부산 부산진구 서면로 20-0,호텔,820
53,다이소부산개금점,부산 부산진구 가야대로 477-0,쇼핑기타,788
54,황령산,부산 부산진구,명산,784
55,신신호텔,부산 부산진구 중앙대로743번길 24-0,호텔,708
56,가야시장,부산 부산진구 가야대로 667-0,종합시장,696
57,현대프라자,부산 부산진구 동평로 352-0,쇼핑기타,690
58,GS더프레시초읍점,부산 부산진구 새싹로 244-0,쇼핑기타,621
59,서면볼링센터,부산 부산진구 신천대로 252-0,레저/스포츠기타,607
60,오성휘트니스시청점,부산 부산진구 거제천로44번길 8-0,레저/스포츠기타,604
61,리순덕호텔,부산 부산진구 황령대로7번길 26-0,모텔/여관,602
62,부산전자종합도매상가,부산 부산진구 부전로 196-0,쇼핑기타,590
63,정묘사,부산 부산진구,고택/생가/민속마을,589
64,자연드림부산당감점,부산 부산진구 당감서로 84-0,농수축산물시장,586
65,더클럽관광호텔,부산 부산진구 중앙대로691번길 46-0,호텔,583
66,서면레포츠,부산 부산진구 시민공원로20번길 11-0,골프장,582
67,어반스테이더센트럴,부산 부산진구,호텔,579
68,이비스앰배서더부산시티센터,부산 부산진구 중앙대로 777-0,호텔,543
69,부산비즈니스호텔,부산 부산진구 부전로 67-0,호텔,535
70,사우스반데코호텔,부산 부산진구 서면로 6-0,호텔,532
71,금강제화부산서면점,부산 부산진구 중앙대로 691-0,쇼핑기타,525
71,양정꽃상가,부산 부산진구 동평로420번길 18-0,쇼핑기타,525
73,로얄볼링장,부산 부산진구 부전로 57-0,레저/스포츠기타,522
74,다이소부산양정점,부산 부산진구 중앙대로 904-0,쇼핑기타,510
75,보아마트,부산 부산진구 중앙대로 792-0,쇼핑기타,485
76,중앙시장,부산 부산진구 중앙번영로20번길 34-0,종합시장,471
77,하운드호텔서면범천점,부산 부산진구 황령대로7번길 10-0,호텔,450
78,호천문화플랫폼,부산 부산진구 엄광로 491-0,문화생활시설기타,447
79,호텔엔젤,부산 부산진구 중앙대로692번길 46-7,호텔,446
80,토요코인호텔부산서면점,부산 부산진구 서전로 39-0,호텔,445
81,티티호텔,부산 부산진구 새싹로 35-0,호텔,410
81,롯데시네마서면,부산 부산진구 동천로 92-0,극장,410
83,대구연쇄점,부산 부산진구 중앙대로783번길 8-0,쇼핑기타,400
84,유나호텔,부산 부산진구 서면로 15-9,호텔,399
85,GS25초읍포레나점,부산 부산진구 새싹로 207-21,쇼핑기타,388
86,서면1번가,부산 부산진구 신천대로62번길 0-0,놀거리기타,368
87,다이소당감점,부산 부산진구 백양대로60번길 78-0,쇼핑기타,364
88,하루호텔,부산 부산진구 황령대로7번길 20-7,모텔/여관,355
89,롯데시네마부산본점,부산 부산진구 가야대로 772-0,극장,350
90,센트럴스퀘어,부산 부산진구 중앙대로666번길 50-0,쇼핑센터,347
91,다이소백양점,부산 부산진구 백양관문로 20-0,쇼핑기타,342
92,골프존파크부전네오스크린점,부산 부산진구 신천대로 122-0,골프장,334
93,덴바스타호텔,부산 부산진구 자유평화로37번길 41-0,호텔,331
94,브라운도트호텔초읍점,부산 부산진구 새싹로278번길 11-0,호텔,317
95,브라운도트호텔양정점,부산 부산진구 동평로406번길 55-0,모텔/여관,312
96,TRT호텔,부산 부산진구 부전로 33-1,모텔/여관,311
96,서면종합시장,부산 부산진구 부전로162번길 28-0,종합시장,311
98,G7모텔,부산 부산진구 황령대로17번길 21-0,모텔/여관,301
99,서면전자악기상가,부산 부산진구 부전로162번길 28-0,쇼핑기타,300
100,시티호텔지앤지,부산 부산진구 부전로20번길 36-0,호텔,299
