순위,관광지명,주소,분류,외지인 검색 수
1,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑센터,477120
2,송정해수욕장,부산 해운대구 송정해변로 62-0,해수욕장,246841
3,해운대해수욕장,부산 해운대구 해운대해변로 264-0,해수욕장,220314
4,BEXCO,부산 해운대구 APEC로 55-0,전시장,116595
5,반여농산물도매시장,부산 해운대구 수영강변대로 626-0,농수축산물시장,113600
6,파라다이스호텔부산,부산 해운대구 해운대해변로 296-0,호텔,102897
7,이마트해운대점,부산 해운대구 좌동순환로 511-0,쇼핑센터,94912
8,한화리조트해운대,부산 해운대구 마린시티3로 52-0,콘도/리조트,81067
9,신세계센텀시티몰,부산 해운대구 센텀4로 15-0,쇼핑센터,72877
10,롯데백화점센텀시티점,부산 해운대구 센텀남대로 59-0,쇼핑센터,64948
11,파크하얏트부산호텔,부산 해운대구 마린시티1로 51-0,호텔,59141
12,해운대달맞이길,부산 해운대구 달맞이길 0-0,드라이브코스,58344
13,웨스틴조선호텔부산,부산 해운대구 동백로 67-0,호텔,56017
14,해운대블루라인파크미포정거장,부산 해운대구 달맞이길62번길 13-0,관광명소기타,53107
15,해운대센텀호텔,부산 해운대구 센텀3로 20-0,호텔,53080
16,신라스테이해운대,부산 해운대구 해운대로570번길 46-0,호텔,52106
17,홈플러스센텀시티점,부산 해운대구 센텀동로 6-0,쇼핑센터,50937
18,그랜드조선부산,부산 해운대구 해운대해변로 292-0,호텔,50827
19,시그니엘부산,부산 해운대구 달맞이길 30-0,호텔,46815
20,NC백화점해운대점,부산 해운대구 해운대로 813-0,쇼핑센터,42164
21,팔레드시즈,부산 해운대구 해운대해변로298번길 24-0,콘도/리조트,42126
22,SEA LIFE 부산아쿠아리움,부산 해운대구 해운대해변로 266-0,수족관,41502
23,더베이101,부산 해운대구 동백로 52-0,문화생활시설기타,41397
24,부산요트경기장,부산 해운대구 해운대해변로 84-0,수상해양스포츠,39392
25,센텀프리미어호텔,부산 해운대구 센텀1로 17-0,호텔,37664
26,벡스코제2전시장,부산 해운대구 APEC로 30-0,전시장,36085
27,청사포방파제,부산 해운대구,방파제,33187
28,코오롱씨클라우드호텔,부산 해운대구 해운대해변로 287-0,호텔,29672
29,라마다앙코르바이윈덤해운대호텔,부산 해운대구 구남로 9-0,호텔,29348
30,동백섬,부산 해운대구 동백로 99-0,섬,28008
31,홈플러스해운대점,부산 해운대구 해운대해변로 140-0,쇼핑센터,27652
32,선프라자,부산 해운대구 마린시티3로 1-0,쇼핑기타,27604
