순위,관광지명,주소,분류,합산 검색 수
1,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑센터,554683
2,송정해수욕장,부산 해운대구 송정해변로 62-0,해수욕장,282782
3,해운대해수욕장,부산 해운대구 해운대해변로 264-0,해수욕장,237314
4,반여농산물도매시장,부산 해운대구 수영강변대로 626-0,농수축산물시장,145842
5,BEXCO,부산 해운대구 APEC로 55-0,전시장,133178
6,이마트해운대점,부산 해운대구 좌동순환로 511-0,쇼핑센터,130730
7,파라다이스호텔부산,부산 해운대구 해운대해변로 296-0,호텔,116055
8,한화리조트해운대,부산 해운대구 마린시티3로 52-0,콘도/리조트,89819
9,신세계센텀시티몰,부산 해운대구 센텀4로 15-0,쇼핑센터,85381
10,롯데백화점센텀시티점,부산 해운대구 센텀남대로 59-0,쇼핑센터,80432
11,해운대센텀호텔,부산 해운대구 센텀3로 20-0,호텔,67196
12,홈플러스센텀시티점,부산 해운대구 센텀동로 6-0,쇼핑센터,66948
13,파크하얏트부산호텔,부산 해운대구 마린시티1로 51-0,호텔,66361
14,해운대달맞이길,부산 해운대구 달맞이길 0-0,드라이브코스,65432
15,웨스틴조선호텔부산,부산 해운대구 동백로 67-0,호텔,61469
16,NC백화점해운대점,부산 해운대구 해운대로 813-0,쇼핑센터,56713
17,그랜드조선부산,부산 해운대구 해운대해변로 292-0,호텔,56460
18,신라스테이해운대,부산 해운대구 해운대로570번길 46-0,호텔,56354
19,해운대블루라인파크미포정거장,부산 해운대구 달맞이길62번길 13-0,관광명소기타,55724
20,팔레드시즈,부산 해운대구 해운대해변로298번길 24-0,콘도/리조트,53952
21,시그니엘부산,부산 해운대구 달맞이길 30-0,호텔,52026
22,부산요트경기장,부산 해운대구 해운대해변로 84-0,수상해양스포츠,48371
23,더베이101,부산 해운대구 동백로 52-0,문화생활시설기타,44654
24,SEA LIFE 부산아쿠아리움,부산 해운대구 해운대해변로 266-0,수족관,44082
25,센텀프리미어호텔,부산 해운대구 센텀1로 17-0,호텔,43461
26,벡스코제2전시장,부산 해운대구 APEC로 30-0,전시장,42293
27,청사포방파제,부산 해운대구,방파제,38904
28,선프라자,부산 해운대구 마린시티3로 1-0,쇼핑기타,38098
29,홈플러스해운대점,부산 해운대구 해운대해변로 140-0,쇼핑센터,36622
30,부산광역시립반송도서관,부산 해운대구 아랫반송로 22-0,문화생활시설기타,34830
31,영화의전당,부산 해운대구 수영강변대로 120-0,극장,34113
32,제니스스퀘어,부산 해운대구 마린시티2로 33-0,쇼핑기타,33478
33,해운대수목원,부산 해운대구,동식물원,32628
34,코오롱씨클라우드호텔,부산 해운대구 해운대해변로 287-0,호텔,32353
35,라마다앙코르바이윈덤해운대호텔,부산 해운대구 구남로 9-0,호텔,31508
36,동백섬,부산 해운대구 동백로 99-0,섬,30610
37,해운대구문화복합센터,부산 해운대구 센텀중앙로 170-0,문화생활시설기타,30287
38,골든튤립해운대호텔앤스위트,부산 해운대구 해운대해변로 322-0,호텔,29032
39,좌동재래시장,부산 해운대구 좌동로91번길 20-0,재래시장,28657
40,홈플러스부산반여점,부산 해운대구 선수촌로21번길 37-0,쇼핑센터,26317
41,펠릭스바이에스티엑스,부산 해운대구 해운대로 620-0,호텔,23854
42,벽산E-오렌지프라자,부산 해운대구 마린시티3로 23-0,쇼핑기타,20620
43,마린파크,부산 해운대구 마린시티2로 2-0,쇼핑기타,18516
44,롯데시네마프리미엄해운대,부산 해운대구 해운대로 802-0,극장,17840
