순위,관광지명,주소,분류,현지인 검색 수
1,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑센터,77563
2,송정해수욕장,부산 해운대구 송정해변로 62-0,해수욕장,35941
3,이마트해운대점,부산 해운대구 좌동순환로 511-0,쇼핑센터,35818
4,반여농산물도매시장,부산 해운대구 수영강변대로 626-0,농수축산물시장,32242
5,해운대해수욕장,부산 해운대구 해운대해변로 264-0,해수욕장,17000
6,BEXCO,부산 해운대구 APEC로 55-0,전시장,16583
7,홈플러스센텀시티점,부산 해운대구 센텀동로 6-0,쇼핑센터,16011
8,롯데백화점센텀시티점,부산 해운대구 센텀남대로 59-0,쇼핑센터,15484
9,NC백화점해운대점,부산 해운대구 해운대로 813-0,쇼핑센터,14549
10,해운대센텀호텔,부산 해운대구 센텀3로 20-0,호텔,14116
11,파라다이스호텔부산,부산 해운대구 해운대해변로 296-0,호텔,13158
12,신세계센텀시티몰,부산 해운대구 센텀4로 15-0,쇼핑센터,12504
13,팔레드시즈,부산 해운대구 해운대해변로298번길 24-0,콘도/리조트,11826
14,해운대구문화복합센터,부산 해운대구 센텀중앙로 170-0,문화생활시설기타,10769
15,선프라자,부산 해운대구 마린시티3로 1-0,쇼핑기타,10494
16,제니스스퀘어,부산 해운대구 마린시티2로 33-0,쇼핑기타,10124
17,부산요트경기장,부산 해운대구 해운대해변로 84-0,수상해양스포츠,8979
18,홈플러스해운대점,부산 해운대구 해운대해변로 140-0,쇼핑센터,8970
19,부산광역시립반송도서관,부산 해운대구 아랫반송로 22-0,문화생활시설기타,8915
20,한화리조트해운대,부산 해운대구 마린시티3로 52-0,콘도/리조트,8752
21,좌동재래시장,부산 해운대구 좌동로91번길 20-0,재래시장,8369
22,파크하얏트부산호텔,부산 해운대구 마린시티1로 51-0,호텔,7220
23,해운대달맞이길,부산 해운대구 달맞이길 0-0,드라이브코스,7088
24,홈플러스부산반여점,부산 해운대구 선수촌로21번길 37-0,쇼핑센터,6853
25,영화의전당,부산 해운대구 수영강변대로 120-0,극장,6726
26,벡스코제2전시장,부산 해운대구 APEC로 30-0,전시장,6208
27,해운대도서관본관,부산 해운대구 양운로 183-0,문화생활시설기타,5986
28,마린파크,부산 해운대구 마린시티2로 2-0,쇼핑기타,5934
29,센텀프리미어호텔,부산 해운대구 센텀1로 17-0,호텔,5797
30,해운대수목원,부산 해운대구,동식물원,5749
31,청사포방파제,부산 해운대구,방파제,5717
32,그랜드조선부산,부산 해운대구 해운대해변로 292-0,호텔,5633
33,벽산E-오렌지프라자,부산 해운대구 마린시티3로 23-0,쇼핑기타,5549
34,웨스틴조선호텔부산,부산 해운대구 동백로 67-0,호텔,5452
35,반여도서관,부산 해운대구 재반로282번길 38-0,문화생활시설기타,5297
36,시그니엘부산,부산 해운대구 달맞이길 30-0,호텔,5211
37,탑마트해운대점,부산 해운대구 좌동로 38-0,쇼핑기타,4768
38,롯데시네마프리미엄해운대,부산 해운대구 해운대로 802-0,극장,4463
39,신라스테이해운대,부산 해운대구 해운대로570번길 46-0,호텔,4248
40,해운대로데오아울렛,부산 해운대구 좌동순환로 473-0,쇼핑센터,4219
41,반송큰시장,부산 해운대구 윗반송로35번길 68-0,재래시장,3372
42,다이소해운대장산본점,부산 해운대구 해운대로 785-0,쇼핑기타,3332
43,더베이101,부산 해운대구 동백로 52-0,문화생활시설기타,3257
44,CGV해운대,부산 해운대구 해운대로 620-0,극장,3039
45,세이브존해운대점,부산 해운대구 구남로29번길 21-0,쇼핑센터,3014
46,대천공원,부산 해운대구 장산로 331-19,공원,2754
47,세븐티나인우창골프클럽,부산 해운대구 좌동순환로 77-0,골프장,2711
48,코오롱씨클라우드호텔,부산 해운대구 해운대해변로 287-0,호텔,2681
49,해운대블루라인파크미포정거장,부산 해운대구 달맞이길62번길 13-0,관광명소기타,2617
50,동백섬,부산 해운대구 동백로 99-0,섬,2602
51,SEA LIFE 부산아쿠아리움,부산 해운대구 해운대해변로 266-0,수족관,2580
52,해리단길,부산 해운대구,놀거리기타,2360
53,해운대인문학도서관,부산 해운대구 반여로 132-0,문화생활시설기타,2339
54,부산사회체육센터,부산 해운대구 APEC로 68-0,레저/스포츠기타,2338
55,탑마트반여점,부산 해운대구 선수촌로 119-0,쇼핑기타,2282
56,아르피나스포츠센터,부산 해운대구 해운대해변로 35-0,레저/스포츠기타,2239
57,재송볼링장,부산 해운대구 재반로 16-0,레저/스포츠기타,2195
58,APEC나루공원,부산 해운대구,공원,2192
59,라마다앙코르바이윈덤해운대호텔,부산 해운대구 구남로 9-0,호텔,2160
