순위,관광지명,주소,분류,외지인 검색 수
1,롯데마트화명점,부산 북구 화명대로 47-0,쇼핑센터,87949
2,화명생태공원,부산 북구,공원,32723
3,뉴코아아울렛덕천점,부산 북구 만덕대로 23-0,쇼핑센터,27186
4,화명수목원,부산 북구 산성로 299-0,산림욕장,18457
5,하나로마트부산점,부산 북구 금곡대로 469-0,쇼핑센터,17685
6,부산북구문화빙상센터,부산 북구 금곡대로46번길 50-0,스케이트장,14956
7,화명오토캠핑장,부산 북구 강변대로 1629-0,캠프장,6796
8,정이있는구포시장,부산 북구 구포시장1길 17-0,재래시장,6303
9,화명도서관,부산 북구 화명대로12번길 59-0,문화생활시설기타,6091
10,메가마트덕천점,부산 북구 기찰로 164-0,쇼핑센터,6018
11,부산광역시립구포도서관,부산 북구 백양대로1016번다길 43-0,문화생활시설기타,4797
12,금곡도서관,부산 북구 효열로203번길 34-0,문화생활시설기타,4636
13,장미원,부산 북구,공원,3785
14,덕천지하상가,부산 북구 금곡대로 지하 14-0,시장기타,3736
15,하나로마트북부산농협화명점,부산 북구 금곡대로 344-0,쇼핑기타,3645
16,탑마트구포점,부산 북구 백양대로 1052-0,쇼핑기타,3619
17,애기소폭포,부산 북구,폭포/계곡,3553
18,바르도호텔,부산 북구 낙동대로 1746-8,호텔,3468
19,금곡골프프라자,부산 북구 금곡대로 479-0,골프장,3261
20,브라운도트호텔덕천점,부산 북구 금곡대로8번길 20-0,호텔,2975
21,다이소부산화명2호점,부산 북구 금곡대로 208-0,쇼핑센터,2929
22,만덕도서관오픈예정(2021년11월말),부산 북구 은행나무로 26-0,문화생활시설기타,2859
23,CGV화명,부산 북구 화명대로 16-0,극장,2811
24,화명코아프라자,부산 북구 금곡대로303번길 80-0,쇼핑기타,2621
25,구포축산물도매시장,부산 북구 사상로583번길 25-0,농수축산물시장,2573
26,숙등공원,부산 북구 의성로115번길 71-0,공원,2402
27,덴바스타호텔화명점,부산 북구 금곡대로303번길 91-0,호텔,2399
28,화명수상레포츠타운,부산 북구,수상해양스포츠,2349
29,우리마트화명점 다원푸드,부산 북구 화명신도시로 24-0,쇼핑기타,2246
30,자연드림부산화명점,부산 북구 와석장터로 14-0,농수축산물시장,2167
31,브라운도트호텔화명점,부산 북구 금곡대로303번길 89-0,호텔,2156
32,아몬드호텔,부산 북구 구포만세길 53-0,호텔,2121
33,다이소부산덕천점,부산 북구 백양대로 1200-0,쇼핑기타,2066
34,GS더프레시구포점,부산 북구 낙동대로1780번길 106-0,쇼핑기타,2043
35,탑마트화명점,부산 북구 금곡대로 270-0,쇼핑기타,2030
36,덴바스타호텔 포레스트,부산 북구 만덕고개길 72-3,호텔,1953
37,구포무장애숲길,부산 북구,여행/레저기타,1916
38,백양생활체육관,부산 북구,운동장,1884
39,화명운동장,부산 북구,운동장,1871
40,북구국민체육센터,부산 북구 화명대로94번길 83-0,레저/스포츠기타,1843
41,다이소구포구남점,부산 북구 백양대로 1041-0,쇼핑기타,1831
42,부산어촌민속관,부산 북구 학사로 128-0,박물관/기념관,1820
43,만덕도서관,부산 북구 은행나무로 26-0,문화생활시설기타,1763
44,브라운도트만덕점,부산 북구 만덕고개길 70-0,모텔/여관,1731
45,우창웰스골프연습장,부산 북구 기찰로 164-0,골프장,1683
46,다이소부산화명점,부산 북구 금곡대로 358-0,쇼핑기타,1612
47,다이소부산만덕점,부산 북구 덕천로 275-0,쇼핑기타,1584
48,메가박스덕천,부산 북구 만덕대로 23-0,극장,1553
49,드림스크린골프아카데미,부산 북구 화명대로94번길 116-0,골프장,1481
50,캠핑고래부산북구점,부산 북구 만덕1로104번가길 63-0,쇼핑기타,1434
51,GS더프레시화명점,부산 북구 대천천길 15-0,쇼핑기타,1403
52,브라운도트호텔구포점,부산 북구 낙동대로1762번길 27-0,호텔,1398
53,화명스포렉스볼링센터,부산 북구 금곡대로285번길 13-0,레저/스포츠기타,1348
