순위,관광지명,주소,분류,합산 검색 수
1,롯데마트화명점,부산 북구 화명대로 47-0,쇼핑센터,116848
2,화명생태공원,부산 북구,공원,40068
3,뉴코아아울렛덕천점,부산 북구 만덕대로 23-0,쇼핑센터,35212
4,하나로마트부산점,부산 북구 금곡대로 469-0,쇼핑센터,23773
5,화명수목원,부산 북구 산성로 299-0,산림욕장,21401
6,부산북구문화빙상센터,부산 북구 금곡대로46번길 50-0,스케이트장,19267
7,화명도서관,부산 북구 화명대로12번길 59-0,문화생활시설기타,8903
8,메가마트덕천점,부산 북구 기찰로 164-0,쇼핑센터,8074
9,정이있는구포시장,부산 북구 구포시장1길 17-0,재래시장,7817
10,화명오토캠핑장,부산 북구 강변대로 1629-0,캠프장,7811
11,부산광역시립구포도서관,부산 북구 백양대로1016번다길 43-0,문화생활시설기타,6650
12,금곡도서관,부산 북구 효열로203번길 34-0,문화생활시설기타,6565
13,하나로마트북부산농협화명점,부산 북구 금곡대로 344-0,쇼핑기타,4738
14,덕천지하상가,부산 북구 금곡대로 지하 14-0,시장기타,4706
15,장미원,부산 북구,공원,4536
16,탑마트구포점,부산 북구 백양대로 1052-0,쇼핑기타,4404
17,다이소부산화명2호점,부산 북구 금곡대로 208-0,쇼핑센터,4294
18,만덕도서관오픈예정(2021년11월말),부산 북구 은행나무로 26-0,문화생활시설기타,4282
19,바르도호텔,부산 북구 낙동대로 1746-8,호텔,4177
20,애기소폭포,부산 북구,폭포/계곡,4121
21,금곡골프프라자,부산 북구 금곡대로 479-0,골프장,4090
22,화명코아프라자,부산 북구 금곡대로303번길 80-0,쇼핑기타,3648
23,브라운도트호텔덕천점,부산 북구 금곡대로8번길 20-0,호텔,3445
24,CGV화명,부산 북구 화명대로 16-0,극장,3394
25,자연드림부산화명점,부산 북구 와석장터로 14-0,농수축산물시장,3243
26,구포축산물도매시장,부산 북구 사상로583번길 25-0,농수축산물시장,3013
27,우리마트화명점 다원푸드,부산 북구 화명신도시로 24-0,쇼핑기타,2907
28,숙등공원,부산 북구 의성로115번길 71-0,공원,2875
29,북구국민체육센터,부산 북구 화명대로94번길 83-0,레저/스포츠기타,2856
30,덴바스타호텔화명점,부산 북구 금곡대로303번길 91-0,호텔,2841
31,화명수상레포츠타운,부산 북구,수상해양스포츠,2710
32,다이소부산덕천점,부산 북구 백양대로 1200-0,쇼핑기타,2606
33,아몬드호텔,부산 북구 구포만세길 53-0,호텔,2564
34,브라운도트호텔화명점,부산 북구 금곡대로303번길 89-0,호텔,2506
35,탑마트화명점,부산 북구 금곡대로 270-0,쇼핑기타,2493
36,GS더프레시구포점,부산 북구 낙동대로1780번길 106-0,쇼핑기타,2477
37,다이소구포구남점,부산 북구 백양대로 1041-0,쇼핑기타,2426
38,만덕도서관,부산 북구 은행나무로 26-0,문화생활시설기타,2416
39,화명운동장,부산 북구,운동장,2358
40,구포무장애숲길,부산 북구,여행/레저기타,2305
41,다이소부산화명점,부산 북구 금곡대로 358-0,쇼핑기타,2221
42,다이소부산만덕점,부산 북구 덕천로 275-0,쇼핑기타,2211
43,부산어촌민속관,부산 북구 학사로 128-0,박물관/기념관,2173
44,덴바스타호텔 포레스트,부산 북구 만덕고개길 72-3,호텔,2144
45,우창웰스골프연습장,부산 북구 기찰로 164-0,골프장,2105
46,백양생활체육관,부산 북구,운동장,2095
47,캠핑고래부산북구점,부산 북구 만덕1로104번가길 63-0,쇼핑기타,2085
48,브라운도트만덕점,부산 북구 만덕고개길 70-0,모텔/여관,2038
49,메가박스덕천,부산 북구 만덕대로 23-0,극장,1994
50,드림스크린골프아카데미,부산 북구 화명대로94번길 116-0,골프장,1959
51,화명스포렉스볼링센터,부산 북구 금곡대로285번길 13-0,레저/스포츠기타,1863
52,GS더프레시화명점,부산 북구 대천천길 15-0,쇼핑기타,1797
53,브라운도트호텔구포점,부산 북구 낙동대로1762번길 27-0,호텔,1634
54,화명생태공원요트계류장,부산 북구,수상해양스포츠,1604
55,화명생태공원축구장,부산 북구,운동장,1456
56,HM풋살파크부산북구점,부산 북구 금곡대로 469-0,운동장,1444
57,미래스크린골프,부산 북구 백양대로 1057-0,골프장,1437
58,화명롯데캐슬카이저상가,부산 북구 금곡대로 166-0,쇼핑기타,1432
59,투헤븐모텔,부산 북구 만덕고개길 74-0,모텔/여관,1411
60,구포어린이교통공원,부산 북구 낙동북로 687-0,공원,1401
61,덕천시장,부산 북구 만덕대로78번길 22-0,재래시장,1364
62,레인보우스퀘어락볼링장,부산 북구 금곡대로8번길 33-0,레저/스포츠기타,1338
63,부산북구문화예술회관,부산 북구 금곡대로46번길 50-0,공연장,1336
64,이데아호텔,부산 북구 구포만세길 143-0,모텔/여관,1328
65,석불사,부산 북구 만덕고개길 143-79,절,1299
66,화명생태공원야구장,부산 북구,운동장,1288
67,덕진수산,부산 북구 금곡대로 72-0,농수축산물시장,1277
68,스카이모텔,부산 북구 금곡대로285번길 62-0,모텔/여관,1249
69,호텔런더너,부산 북구 금곡대로303번길 85-0,모텔/여관,1197
70,온그린골프스크린,부산 북구 금곡대로 287-0,골프장,1164
71,구포유림노르웨이숲아파트상가,부산 북구 낙동북로 736-0,쇼핑기타,1147
72,스파호텔,부산 북구 금곡대로285번길 68-0,모텔/여관,1106
73,투헤븐호텔,부산 북구 낙동대로 1779-8,모텔/여관,1103
74,피트니스캐슬,부산 북구 금곡대로 126-0,레저/스포츠기타,1069
75,호텔엠브이지,부산 북구 만덕고개길 72-2,모텔/여관,985
76,화명휘트니스,부산 북구 금곡대로 287-0,레저/스포츠기타,956
77,호산스포렉스,부산 북구 덕천로 188-0,레저/스포츠기타,954
78,하나로마트북부산농협만덕점,부산 북구 만덕1로 21-0,쇼핑기타,952
79,백양산동문굿모닝힐1단지아파트상가,부산 북구 덕천로276번길 60-0,쇼핑기타,946
80,골프프렌드골때려골프부산화명점,부산 북구 금곡대로 102-0,쇼핑기타,934
81,상학작은도서관,부산 북구 상학산복길 215-0,문화생활시설기타,921
82,하나로마트북부산농협본점,부산 북구 덕천1길 18-0,쇼핑기타,907
83,에이유호텔,부산 북구 금곡대로7번길 38-0,모텔/여관,819
84,신마트대림점,부산 북구 금곡대로 268-0,쇼핑기타,812
85,구룡사,부산 북구 금곡대로 66-19,절,810
86,현대레포션볼링센터,부산 북구 덕천로 253-0,레저/스포츠기타,800
87,아바모텔,부산 북구 화명대로 6-0,모텔/여관,782
88,금곡청소년수련관,부산 북구 효열로 158-0,수련장,772
89,굿모닝공구테크,부산 북구 사상로 611-0,쇼핑기타,758
90,모텔25시,부산 북구 만덕대로66번길 4-0,모텔/여관,734
91,덕천주공2단지아파트상가,부산 북구 덕천로 76-0,쇼핑기타,732
92,MU모텔,부산 북구 가람로 54-0,모텔/여관,730
93,벨로시티휘트니스화명점,부산 북구 화명대로 27-0,레저/스포츠기타,729
94,와우모텔,부산 북구 낙동대로1739번길 12-0,모텔/여관,727
95,비앤비모텔,부산 북구 금곡대로285번길 78-0,모텔/여관,699
96,골프존마켓부산덕천점,부산 북구 금곡대로 47-0,쇼핑기타,695
97,화명생태공원튤립꽃밭,부산 북구,관광명소기타,686
98,웰컴백,부산 북구 금곡대로 287-0,쇼핑기타,682
99,럭키스크린골프연습장,부산 북구 산성로 39-0,골프장,679
100,알라딘중고서점부산덕천점,부산 북구 만덕대로27번길 3-0,쇼핑기타,649
