순위,관광지명,주소,분류,현지인 검색 수
1,롯데마트화명점,부산 북구 화명대로 47-0,쇼핑센터,28899
2,뉴코아아울렛덕천점,부산 북구 만덕대로 23-0,쇼핑센터,8026
3,화명생태공원,부산 북구,공원,7345
4,하나로마트부산점,부산 북구 금곡대로 469-0,쇼핑센터,6088
5,부산북구문화빙상센터,부산 북구 금곡대로46번길 50-0,스케이트장,4311
6,화명수목원,부산 북구 산성로 299-0,산림욕장,2944
7,화명도서관,부산 북구 화명대로12번길 59-0,문화생활시설기타,2812
8,메가마트덕천점,부산 북구 기찰로 164-0,쇼핑센터,2056
9,금곡도서관,부산 북구 효열로203번길 34-0,문화생활시설기타,1929
10,부산광역시립구포도서관,부산 북구 백양대로1016번다길 43-0,문화생활시설기타,1853
11,정이있는구포시장,부산 북구 구포시장1길 17-0,재래시장,1514
12,만덕도서관오픈예정(2021년11월말),부산 북구 은행나무로 26-0,문화생활시설기타,1423
13,다이소부산화명2호점,부산 북구 금곡대로 208-0,쇼핑센터,1365
14,하나로마트북부산농협화명점,부산 북구 금곡대로 344-0,쇼핑기타,1093
15,자연드림부산화명점,부산 북구 와석장터로 14-0,농수축산물시장,1076
16,화명코아프라자,부산 북구 금곡대로303번길 80-0,쇼핑기타,1027
17,화명오토캠핑장,부산 북구 강변대로 1629-0,캠프장,1015
18,북구국민체육센터,부산 북구 화명대로94번길 83-0,레저/스포츠기타,1013
19,덕천지하상가,부산 북구 금곡대로 지하 14-0,시장기타,970
20,금곡골프프라자,부산 북구 금곡대로 479-0,골프장,829
21,탑마트구포점,부산 북구 백양대로 1052-0,쇼핑기타,785
22,장미원,부산 북구,공원,751
23,바르도호텔,부산 북구 낙동대로 1746-8,호텔,709
24,우리마트화명점 다원푸드,부산 북구 화명신도시로 24-0,쇼핑기타,661
25,만덕도서관,부산 북구 은행나무로 26-0,문화생활시설기타,653
26,캠핑고래부산북구점,부산 북구 만덕1로104번가길 63-0,쇼핑기타,651
27,다이소부산만덕점,부산 북구 덕천로 275-0,쇼핑기타,627
28,다이소부산화명점,부산 북구 금곡대로 358-0,쇼핑기타,609
29,다이소구포구남점,부산 북구 백양대로 1041-0,쇼핑기타,595
30,CGV화명,부산 북구 화명대로 16-0,극장,583
31,애기소폭포,부산 북구,폭포/계곡,568
32,다이소부산덕천점,부산 북구 백양대로 1200-0,쇼핑기타,540
33,화명스포렉스볼링센터,부산 북구 금곡대로285번길 13-0,레저/스포츠기타,515
34,화명운동장,부산 북구,운동장,487
35,드림스크린골프아카데미,부산 북구 화명대로94번길 116-0,골프장,478
36,숙등공원,부산 북구 의성로115번길 71-0,공원,473
37,브라운도트호텔덕천점,부산 북구 금곡대로8번길 20-0,호텔,470
38,탑마트화명점,부산 북구 금곡대로 270-0,쇼핑기타,463
39,아몬드호텔,부산 북구 구포만세길 53-0,호텔,443
40,덴바스타호텔화명점,부산 북구 금곡대로303번길 91-0,호텔,442
41,메가박스덕천,부산 북구 만덕대로 23-0,극장,441
