순위,관광지명,주소,분류,외지인 검색 수
1,엄궁농산물도매시장,부산 사상구 농산물시장로9번길 11-0,농수축산물시장,67821
2,이마트사상점,부산 사상구 광장로 17-0,쇼핑센터,67518
3,삼락생태공원,부산 사상구,공원,56907
4,부산산업용품유통상가,부산 사상구 괘감로 37-0,쇼핑기타,49471
5,르네시떼,부산 사상구 광장로 7-0,쇼핑센터,43702
6,롯데마트사상점,부산 사상구 낙동대로 733-0,쇼핑센터,36152
7,농협중앙회부산화훼공판장,부산 사상구 강변대로 512-0,쇼핑기타,20467
8,홈플러스서부산점,부산 사상구 광장로 7-0,쇼핑센터,19873
9,부산도서관,부산 사상구 사상로310번길 33-0,문화생활시설기타,15137
10,삼락생태공원오토캠핑장,부산 사상구,캠프장,13708
11,새벽청과시장,부산 사상구 새벽로 141-0,농수축산물시장,13616
12,애플아울렛본관,부산 사상구 사상로 201-0,쇼핑센터,13536
13,사상근린공원,부산 사상구,공원,12484
14,호텔파라곤,부산 사상구 광장로 46-0,호텔,11283
15,롯데시네마사상,부산 사상구 사상로 201-0,극장,8683
16,덕포시장,부산 사상구 사상로293번길 12-0,재래시장,8297
17,사상도서관,부산 사상구 덕상로72번길 9-0,문화생활시설기타,6986
18,부산청과,부산 사상구 농산물시장로 17-0,종합시장,5906
19,신주례LG1단지아파트상가,부산 사상구 백양대로342번길 16-0,쇼핑기타,5129
20,사상구다누림센터,부산 사상구 가야대로196번길 51-0,문화생활시설기타,5061
21,엄궁농산물도매시장관리사업소,부산 사상구 농산물시장로 9-0,농수축산물시장,4673
22,농협부산공판장,부산 사상구 농산물시장로25번길 75-0,농수축산물시장,4660
23,운수사,부산 사상구 모라로219번길 173-0,절,4597
24,항도청과,부산 사상구 농산물시장로 33-0,종합시장,4590
25,감전동산업용품상가,부산 사상구 낙동대로 910-0,쇼핑기타,4213
26,가야컴퓨터도매상가,부산 사상구 가야대로 256-0,쇼핑기타,4161
27,감전시장,부산 사상구 새벽로168번길 21-11,재래시장,3987
28,삼락생태공원수영장,부산 사상구,수영장,3919
29,88낚시,부산 사상구 낙동대로882번길 7-18,낚시,3869
30,호텔1954,부산 사상구 낙동대로1048번길 38-0,모텔/여관,3345
31,골드리버골프클럽,부산 사상구 낙동대로 672-42,골프장,3306
32,마트월드,부산 사상구 낙동대로 910-0,쇼핑기타,3125
33,한림공구도매상가,부산 사상구 괘감로 38-0,쇼핑기타,2920
34,홈플러스익스프레스모라점,부산 사상구 모라로 116-0,쇼핑기타,2898
35,만어,부산 사상구 사상로 543-0,낚시,2801
36,이마트서부산점,부산 사상구 낙동대로 910-0,쇼핑센터,2750
37,캐슬스포츠센터,부산 사상구 모덕로 43-0,레저/스포츠기타,2743
38,삼락강변체육공원인라인스케이트장,부산 사상구,스케이트장,2659
39,하나로마트주례점,부산 사상구 냉정로 120-0,쇼핑센터,2608
40,덴바스타감전점,부산 사상구 대동로 278-0,모텔/여관,2592
41,여성문화회관,부산 사상구 학감대로 95-0,문화생활시설기타,2474
42,골프아카데미타가,부산 사상구 새벽시장로 100-0,골프장,2467
43,우리환경,부산 사상구 학장로 269-0,쇼핑기타,2238
44,다이소부산주례점,부산 사상구 백양대로 526-0,쇼핑기타,2236
45,사상생활사박물관,부산 사상구 낙동대로1258번길 36-0,박물관/기념관,2215
46,삼락강변체육공원야구장,부산 사상구,운동장,2123
47,삼락생태공원테니스장,부산 사상구,레저/스포츠기타,2090
48,이레호텔,부산 사상구 사상로417번길 32-0,모텔/여관,2061
49,삼락습지생태원,부산 사상구,공원,2022
50,사상티오피,부산 사상구 사상로 208-1,쇼핑기타,1983
51,코끼리툴,부산 사상구 괘감로 21-0,쇼핑기타,1965
52,삼락수상레포츠타운,부산 사상구,수상해양스포츠,1958
53,브라운도트엄궁점,부산 사상구 낙동대로 753-17,호텔,1957
54,잠101호텔,부산 사상구 새벽로223번길 42-0,호텔,1949
55,다이소부산주례역점,부산 사상구 가야대로 270-0,쇼핑기타,1844
56,브라운도트호텔사상르네시떼점,부산 사상구 새벽로223번길 83-0,호텔,1734
57,총각정육백화점학장점,부산 사상구 학감대로 128-0,쇼핑기타,1669
58,브라운도트호텔사상낙동대로점,부산 사상구 낙동대로1048번길 12-0,호텔,1645
59,빈스70호텔,부산 사상구 사상로211번길 56-0,모텔/여관,1632
