순위,관광지명,주소,분류,합산 검색 수
1,이마트사상점,부산 사상구 광장로 17-0,쇼핑센터,82264
2,엄궁농산물도매시장,부산 사상구 농산물시장로9번길 11-0,농수축산물시장,82048
3,부산산업용품유통상가,부산 사상구 괘감로 37-0,쇼핑기타,65777
4,삼락생태공원,부산 사상구,공원,64899
5,르네시떼,부산 사상구 광장로 7-0,쇼핑센터,50853
6,롯데마트사상점,부산 사상구 낙동대로 733-0,쇼핑센터,43861
7,홈플러스서부산점,부산 사상구 광장로 7-0,쇼핑센터,24501
8,농협중앙회부산화훼공판장,부산 사상구 강변대로 512-0,쇼핑기타,22960
9,부산도서관,부산 사상구 사상로310번길 33-0,문화생활시설기타,18094
10,새벽청과시장,부산 사상구 새벽로 141-0,농수축산물시장,17111
11,애플아울렛본관,부산 사상구 사상로 201-0,쇼핑센터,15934
12,삼락생태공원오토캠핑장,부산 사상구,캠프장,15288
13,사상근린공원,부산 사상구,공원,13765
14,호텔파라곤,부산 사상구 광장로 46-0,호텔,13189
15,롯데시네마사상,부산 사상구 사상로 201-0,극장,10347
16,덕포시장,부산 사상구 사상로293번길 12-0,재래시장,10332
17,사상도서관,부산 사상구 덕상로72번길 9-0,문화생활시설기타,9821
18,신주례LG1단지아파트상가,부산 사상구 백양대로342번길 16-0,쇼핑기타,7030
19,사상구다누림센터,부산 사상구 가야대로196번길 51-0,문화생활시설기타,6855
20,부산청과,부산 사상구 농산물시장로 17-0,종합시장,6832
21,농협부산공판장,부산 사상구 농산물시장로25번길 75-0,농수축산물시장,6211
22,엄궁농산물도매시장관리사업소,부산 사상구 농산물시장로 9-0,농수축산물시장,6194
23,항도청과,부산 사상구 농산물시장로 33-0,종합시장,5661
24,운수사,부산 사상구 모라로219번길 173-0,절,5521
25,감전동산업용품상가,부산 사상구 낙동대로 910-0,쇼핑기타,5332
26,감전시장,부산 사상구 새벽로168번길 21-11,재래시장,4666
27,삼락생태공원수영장,부산 사상구,수영장,4608
28,88낚시,부산 사상구 낙동대로882번길 7-18,낚시,4576
29,가야컴퓨터도매상가,부산 사상구 가야대로 256-0,쇼핑기타,4573
30,마트월드,부산 사상구 낙동대로 910-0,쇼핑기타,4250
31,호텔1954,부산 사상구 낙동대로1048번길 38-0,모텔/여관,4153
32,이마트서부산점,부산 사상구 낙동대로 910-0,쇼핑센터,4026
33,골드리버골프클럽,부산 사상구 낙동대로 672-42,골프장,3764
34,홈플러스익스프레스모라점,부산 사상구 모라로 116-0,쇼핑기타,3482
35,캐슬스포츠센터,부산 사상구 모덕로 43-0,레저/스포츠기타,3362
36,만어,부산 사상구 사상로 543-0,낚시,3285
37,사상생활사박물관,부산 사상구 낙동대로1258번길 36-0,박물관/기념관,3241
38,골프아카데미타가,부산 사상구 새벽시장로 100-0,골프장,3193
39,한림공구도매상가,부산 사상구 괘감로 38-0,쇼핑기타,3182
40,여성문화회관,부산 사상구 학감대로 95-0,문화생활시설기타,3055
41,하나로마트주례점,부산 사상구 냉정로 120-0,쇼핑센터,3035
42,덴바스타감전점,부산 사상구 대동로 278-0,모텔/여관,3015
43,삼락강변체육공원인라인스케이트장,부산 사상구,스케이트장,2987
44,다이소부산주례점,부산 사상구 백양대로 526-0,쇼핑기타,2832
45,이레호텔,부산 사상구 사상로417번길 32-0,모텔/여관,2527
46,사상티오피,부산 사상구 사상로 208-1,쇼핑기타,2493
47,우리환경,부산 사상구 학장로 269-0,쇼핑기타,2380
48,잠101호텔,부산 사상구 새벽로223번길 42-0,호텔,2325
49,삼락강변체육공원야구장,부산 사상구,운동장,2316
50,삼락생태공원테니스장,부산 사상구,레저/스포츠기타,2285
51,다이소부산주례역점,부산 사상구 가야대로 270-0,쇼핑기타,2247
52,삼락습지생태원,부산 사상구,공원,2244
53,브라운도트엄궁점,부산 사상구 낙동대로 753-17,호텔,2197
54,삼락수상레포츠타운,부산 사상구,수상해양스포츠,2181
55,코끼리툴,부산 사상구 괘감로 21-0,쇼핑기타,2160
56,총각정육백화점학장점,부산 사상구 학감대로 128-0,쇼핑기타,2088
57,웁스모텔,부산 사상구 낙동대로 1336-0,모텔/여관,1988
58,브라운도트호텔사상르네시떼점,부산 사상구 새벽로223번길 83-0,호텔,1941
59,브라운도트호텔사상낙동대로점,부산 사상구 낙동대로1048번길 12-0,호텔,1931
60,사상구국민체육센터,부산 사상구 가야대로196번길 51-0,운동장,1915
61,소르젠떼비지니스호텔,부산 사상구 광장로81번길 55-0,호텔,1876
62,빈스70호텔,부산 사상구 사상로211번길 56-0,모텔/여관,1850
63,엔젤모텔,부산 사상구 학감대로39번길 49-0,모텔/여관,1842
64,타가스크린골프,부산 사상구 새벽시장로 100-0,골프장,1800
65,디자인호텔짝,부산 사상구 낙동대로 717-0,모텔/여관,1780
66,프리미엄아바호텔,부산 사상구 새벽로223번길 26-0,모텔/여관,1741
67,하운드호텔사상점,부산 사상구 새벽로223번길 117-0,호텔,1682
68,스파캐슬스크린골프,부산 사상구 백양대로 987-0,골프장,1678
69,코코모텔,부산 사상구 학감대로39번길 49-0,모텔/여관,1664
70,푸드엔엄궁점,부산 사상구 농산물시장로 42-0,쇼핑기타,1658
71,상승배드민턴센터,부산 사상구 가야대로 235-0,레저/스포츠기타,1577
72,넘버25호텔사상구청점,부산 사상구 학감대로237번길 12-0,호텔,1548
73,투헤븐호텔,부산 사상구 사상로211번길 52-0,호텔,1512
74,사상구청소년수련관,부산 사상구 덕상로 129-0,수련장,1476
75,삼락생태공원연꽃단지,부산 사상구,공원,1447
76,GS더프레시신주례점,부산 사상구 백양대로342번길 21-0,쇼핑기타,1418
77,GS더프레시주례점,부산 사상구 가야대로284번길 2-0,쇼핑기타,1394
78,한국다까미야,부산 사상구 학감대로192번길 6-0,낚시,1355
79,호텔더반,부산 사상구 사상로224번길 10-0,모텔/여관,1339
80,청과물직판장,부산 사상구 농산물시장로25번길 70-0,농수축산물시장,1295
81,mu모텔,부산 사상구 사상로211번길 46-0,모텔/여관,1287
81,르네상스호텔,부산 사상구 광장로 60-0,호텔,1287
83,홀인원골프클럽,부산 사상구 사상로223번길 40-0,골프장,1271
84,제이모텔,부산 사상구 대동로 297-0,모텔/여관,1267
85,부민축산,부산 사상구 사상로565번길 19-0,쇼핑기타,1263
86,다이소부산학장동점,부산 사상구 대동로 95-0,쇼핑기타,1251
87,호텔야자사상터미널점,부산 사상구 광장로81번길 72-0,모텔/여관,1245
88,롯데주류스피리츠부산지점,부산 사상구 낙동대로1318번길 47-0,쇼핑기타,1226
89,하이호텔,부산 사상구 새벽로223번길 10-0,모텔/여관,1224
90,부산산업용재유통상가1동,부산 사상구 새벽로 131-0,쇼핑기타,1221
91,부산삼락벚꽃축제,부산 사상구,축제,1190
92,나무늘보호텔,부산 사상구 사상로211번길 28-0,모텔/여관,1184
93,더스톤브릿지호텔,부산 사상구 대동로 295-0,호텔,1177
94,ND.1226호텔,부산 사상구 낙동대로 1226-0,모텔/여관,1173
95,한울볼링장,부산 사상구 사상로 149-0,레저/스포츠기타,1161
96,아리엘호텔,부산 사상구 낙동대로 1406-0,모텔/여관,1125
97,부산농협화훼판매장,부산 사상구 강변대로 512-0,쇼핑기타,1102
98,거성스크린골프클럽,부산 사상구 사상로349번길 19-0,골프장,1067
99,콤마모텔,부산 사상구 사상로211번길 58-0,모텔/여관,1064
100,사상스크린골프,부산 사상구 사상로223번길 70-0,골프장,1017
