순위,관광지명,주소,분류,현지인 검색 수
1,부산산업용품유통상가,부산 사상구 괘감로 37-0,쇼핑기타,16306
2,이마트사상점,부산 사상구 광장로 17-0,쇼핑센터,14746
3,엄궁농산물도매시장,부산 사상구 농산물시장로9번길 11-0,농수축산물시장,14227
4,삼락생태공원,부산 사상구,공원,7992
5,롯데마트사상점,부산 사상구 낙동대로 733-0,쇼핑센터,7709
6,르네시떼,부산 사상구 광장로 7-0,쇼핑센터,7151
7,홈플러스서부산점,부산 사상구 광장로 7-0,쇼핑센터,4628
8,새벽청과시장,부산 사상구 새벽로 141-0,농수축산물시장,3495
9,부산도서관,부산 사상구 사상로310번길 33-0,문화생활시설기타,2957
10,사상도서관,부산 사상구 덕상로72번길 9-0,문화생활시설기타,2835
11,농협중앙회부산화훼공판장,부산 사상구 강변대로 512-0,쇼핑기타,2493
12,애플아울렛본관,부산 사상구 사상로 201-0,쇼핑센터,2398
13,덕포시장,부산 사상구 사상로293번길 12-0,재래시장,2035
14,호텔파라곤,부산 사상구 광장로 46-0,호텔,1906
15,신주례LG1단지아파트상가,부산 사상구 백양대로342번길 16-0,쇼핑기타,1901
16,사상구다누림센터,부산 사상구 가야대로196번길 51-0,문화생활시설기타,1794
17,롯데시네마사상,부산 사상구 사상로 201-0,극장,1664
18,삼락생태공원오토캠핑장,부산 사상구,캠프장,1580
19,농협부산공판장,부산 사상구 농산물시장로25번길 75-0,농수축산물시장,1551
20,엄궁농산물도매시장관리사업소,부산 사상구 농산물시장로 9-0,농수축산물시장,1521
21,사상근린공원,부산 사상구,공원,1281
22,이마트서부산점,부산 사상구 낙동대로 910-0,쇼핑센터,1276
23,마트월드,부산 사상구 낙동대로 910-0,쇼핑기타,1125
24,감전동산업용품상가,부산 사상구 낙동대로 910-0,쇼핑기타,1119
25,항도청과,부산 사상구 농산물시장로 33-0,종합시장,1071
26,사상생활사박물관,부산 사상구 낙동대로1258번길 36-0,박물관/기념관,1026
27,부산청과,부산 사상구 농산물시장로 17-0,종합시장,926
28,운수사,부산 사상구 모라로219번길 173-0,절,924
29,호텔1954,부산 사상구 낙동대로1048번길 38-0,모텔/여관,808
30,골프아카데미타가,부산 사상구 새벽시장로 100-0,골프장,726
31,88낚시,부산 사상구 낙동대로882번길 7-18,낚시,707
32,삼락생태공원수영장,부산 사상구,수영장,689
33,감전시장,부산 사상구 새벽로168번길 21-11,재래시장,679
34,캐슬스포츠센터,부산 사상구 모덕로 43-0,레저/스포츠기타,619
35,다이소부산주례점,부산 사상구 백양대로 526-0,쇼핑기타,596
36,홈플러스익스프레스모라점,부산 사상구 모라로 116-0,쇼핑기타,584
37,여성문화회관,부산 사상구 학감대로 95-0,문화생활시설기타,581
38,사상구국민체육센터,부산 사상구 가야대로196번길 51-0,운동장,534
39,사상티오피,부산 사상구 사상로 208-1,쇼핑기타,510
40,만어,부산 사상구 사상로 543-0,낚시,484
41,이레호텔,부산 사상구 사상로417번길 32-0,모텔/여관,466
42,골드리버골프클럽,부산 사상구 낙동대로 672-42,골프장,458
43,하나로마트주례점,부산 사상구 냉정로 120-0,쇼핑센터,427
44,덴바스타감전점,부산 사상구 대동로 278-0,모텔/여관,423
45,총각정육백화점학장점,부산 사상구 학감대로 128-0,쇼핑기타,419
46,가야컴퓨터도매상가,부산 사상구 가야대로 256-0,쇼핑기타,412
47,다이소부산주례역점,부산 사상구 가야대로 270-0,쇼핑기타,403
48,잠101호텔,부산 사상구 새벽로223번길 42-0,호텔,376
49,웁스모텔,부산 사상구 낙동대로 1336-0,모텔/여관,358
50,삼락강변체육공원인라인스케이트장,부산 사상구,스케이트장,328
51,부민축산,부산 사상구 사상로565번길 19-0,쇼핑기타,317
52,타가스크린골프,부산 사상구 새벽시장로 100-0,골프장,315
53,브라운도트호텔사상낙동대로점,부산 사상구 낙동대로1048번길 12-0,호텔,286
54,소르젠떼비지니스호텔,부산 사상구 광장로81번길 55-0,호텔,284
55,스파캐슬스크린골프,부산 사상구 백양대로 987-0,골프장,283
56,푸드엔엄궁점,부산 사상구 농산물시장로 42-0,쇼핑기타,280
57,하운드호텔사상점,부산 사상구 새벽로223번길 117-0,호텔,279
58,한울볼링장,부산 사상구 사상로 149-0,레저/스포츠기타,276
59,홀인원골프클럽,부산 사상구 사상로223번길 40-0,골프장,274
60,한림공구도매상가,부산 사상구 괘감로 38-0,쇼핑기타,262
61,웰본축산,부산 사상구 낙동대로 1562-0,농수축산물시장,259
62,더스톤브릿지호텔,부산 사상구 대동로 295-0,호텔,258
63,GS더프레시주례점,부산 사상구 가야대로284번길 2-0,쇼핑기타,257
64,다이소부산학장동점,부산 사상구 대동로 95-0,쇼핑기타,255
65,상승배드민턴센터,부산 사상구 가야대로 235-0,레저/스포츠기타,251
