,Unnamed: 0,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,구군명,주소,위도,경도
0,0,해동용궁사,부산 기장군 용궁길 86-0,역사관광지,절,Gijang-gun,부산 기장군 용궁길 86-0,35.192335,129.2204459
1,1,장안사,부산 기장군 장안로 482-0,역사관광지,절,Gijang-gun,부산 기장군 장안로 482,35.3706495,129.2157318
2,2,아홉산숲,부산 기장군 미동길 37-1,휴양관광지,동식물원,Gijang-gun,부산 기장군 미동길 37-1,35.2871856,129.1702733
3,3,국립부산과학관,부산 기장군 동부산관광6로 59-0,문화시설,과학관,Gijang-gun,부산 기장군 동부산관광6로 59-0,35.1992151,129.2112373
4,4,아난티코브,부산 기장군 기장해안로 268-32,휴양관광지,종합위락시설,Gijang-gun,부산 기장군 기장해안로 268-32,35.2248054,129.2297666
5,5,고리원자력홍보관,부산 기장군,문화시설,박물관/기념관,Gijang-gun,부산 기장군,35.2446,129.223
6,6,롯데시네마드라이브오시리아,부산 기장군,공연/행사,극장,Gijang-gun,부산 기장군,35.2446,129.223
7,7,CGV정관,부산 기장군 정관중앙로 45-0,공연/행사,극장,Gijang-gun,부산 기장군 정관중앙로 45-0,35.3280145,129.1824235
8,8,국립수산과학관,부산 기장군 기장해안로 216-0,문화시설,과학관,Gijang-gun,부산 기장군 기장해안로 216,35.2248054,129.2297666
9,9,해광사,부산 기장군 기장해안로 340-0,역사관광지,절,Gijang-gun,부산 기장군 기장해안로 340,35.2248054,129.2297666
10,10,메가박스정관,부산 기장군 정관6로 39-0,공연/행사,극장,Gijang-gun,부산 기장군 정관6로 39-0,35.3196151,129.1793852
11,11,기장도서관,부산 기장군 차성동로126번길 13-5,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 차성동로126번길 13-5,35.2490043,129.2177214
12,12,부산 칠드런스 뮤지엄,부산 기장군 기장해안로 172-0,휴양관광지,테마파크,Gijang-gun,부산 기장군 기장해안로 172,35.2248054,129.2297666
13,13,고리스포츠문화센터,부산 기장군 해맞이로 454-0,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 해맞이로 454,35.31354,129.24921
14,14,정관온천,부산 기장군 정관8로 16-5,휴양관광지,온천,Gijang-gun,부산 기장군 정관8로 16-5,35.3224598,129.1774812
15,15,소원사,부산 기장군 정관중앙로 198-0,역사관광지,절,Gijang-gun,부산 기장군 정관중앙로 198,35.3280145,129.1824235
16,16,정관도서관,부산 기장군 정관중앙로 138-11,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 정관중앙로 138-11,35.3280145,129.1824235
17,17,롯데시네마동부산아울렛,부산 기장군 기장해안로 147-0,공연/행사,극장,Gijang-gun,부산 기장군 기장해안로 147,35.2248054,129.2297666
18,18,은진사,부산 기장군 고무로 271-47,역사관광지,절,Gijang-gun,부산 기장군 고무로 271-47,35.3309372,129.2810111
19,19,히어로테마파크정관점,부산 기장군 정관중앙로 45-0,휴양관광지,테마파크,Gijang-gun,부산 기장군 정관중앙로 45-0,35.3280145,129.1824235
20,20,옥정사,부산 기장군 달음길 101-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
21,21,해동성취사,부산 기장군 일광로 429-0,역사관광지,절,Gijang-gun,부산 기장군 일광로 429,35.31492,129.26159
22,22,안데르센극장,부산 기장군 장안로 211-0,공연/행사,공연장,Gijang-gun,부산 기장군 장안로 211,35.3706495,129.2157318
23,23,정관박물관,부산 기장군 정관중앙로 122-0,문화시설,박물관/기념관,Gijang-gun,부산 기장군 정관중앙로 122,35.3280145,129.1824235
24,24,본다빈치스퀘어부산,부산 기장군 기장해안로 98-0,문화시설,화랑/전시관,Gijang-gun,부산 기장군 기장해안로 98-0,35.2248054,129.2297666
25,25,안적사,부산 기장군 내리길 461-16,역사관광지,절,Gijang-gun,부산 기장군 내리길 461-16,35.2149963,129.2013227
26,26,카덴96,부산 기장군 기장대로 1075-3,휴양관광지,온천,Gijang-gun,부산 기장군 기장대로 1075-3,35.3311736,129.247094
27,27,물조은온천,부산 기장군 반송로 1650-0,휴양관광지,온천,Gijang-gun,부산 기장군 반송로 1650,35.2514646,129.2205571
28,28,오랑대,부산 기장군,역사관광지,문화유적지,Gijang-gun,부산 기장군,35.2446,129.223
29,29,안데르센동화마을,부산 기장군,휴양관광지,놀거리기타,Gijang-gun,부산 기장군,35.2446,129.223
30,30,용왕당굿당,부산 기장군 기장해안로 767-0,역사관광지,절,Gijang-gun,부산 기장군 기장해안로 767,35.2248054,129.2297666
31,31,보림사,부산 기장군,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
32,32,석탑사,부산 기장군 용수공단2길 70-14,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
33,33,기장향교,부산 기장군 차성로417번길 35-0,역사관광지,문화유적지,Gijang-gun,부산 기장군 차성로417번길 35-0,35.2567349,129.2159119
34,34,묘관음사,부산 기장군 해맞이로 253-38,역사관광지,절,Gijang-gun,부산 기장군 해맞이로 253-38,35.31354,129.24921
35,35,백두사,부산 기장군 물방길 98-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
36,36,대라다목적도서관,부산 기장군 차성서로 86-0,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 차성서로 86-0,35.2473275,129.2108173
37,37,정관어린이도서관,부산 기장군 정관8로 11-0,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 정관8로 11-0,35.3224598,129.1774812
38,38,금산사,부산 기장군 신리길 17-37,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
39,39,롯데월드매직포레스트건축중(2022년03월개장예정),부산 기장군,휴양관광지,테마파크,Gijang-gun,부산 기장군,35.2446,129.223
40,40,기장문화원,부산 기장군 청강로74번길 35-6,문화시설,문화원,Gijang-gun,부산 기장군 청강로74번길 35-6,35.235709,129.2215395
41,41,브릭캠퍼스부산,부산 기장군 동부산관광로 8-0,문화시설,화랑/전시관,Gijang-gun,부산 기장군 동부산관광로 8-0,35.1968203,129.2091728
42,42,롯데월드매직포레스트건축중(2022년02월25일개장예정),부산 기장군,휴양관광지,테마파크,Gijang-gun,부산 기장군,35.2446,129.223
43,43,박태준기념관,부산 기장군 임랑해안길 1-0,문화시설,박물관/기념관,Gijang-gun,부산 기장군 임랑해안길 1-0,35.3170707,129.2630681
44,44,가마골소극장,부산 기장군 이천6길 2-0,공연/행사,극장,Gijang-gun,부산 기장군 이천6길 2-0,35.2677054,129.2369086
45,45,갤러리예동,부산 기장군 미동길 7-20,문화시설,화랑/전시관,Gijang-gun,부산 기장군 미동길 7-20,35.2871856,129.1702733
46,46,내리새라도서관,부산 기장군 기장대로 51-0,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 기장대로 51-0,35.3311736,129.247094
47,47,아난티워터하우스,부산 기장군 기장해안로 268-32,휴양관광지,온천,Gijang-gun,부산 기장군 기장해안로 268-32,35.2248054,129.2297666
48,48,롯데월드어드벤처부산 건축중(2022년03월31일개장예정),부산 기장군,휴양관광지,테마파크,Gijang-gun,부산 기장군,35.2446,129.223
49,49,카스인부산,부산 기장군 차성서로 158-12,휴양관광지,수족관,Gijang-gun,부산 기장군 차성서로 158-12,35.2473275,129.2108173
50,50,척판암,부산 기장군 장안로 490-156,역사관광지,절,Gijang-gun,부산 기장군 장안로 490,35.3706495,129.2157318
51,51,백운암,부산 기장군 임곡1길 114-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
52,52,국립부산어린이과학관,부산 기장군 동부산관광6로 59-0,문화시설,과학관,Gijang-gun,부산 기장군 동부산관광6로 59-0,35.1992151,129.2112373
53,53,월명사,부산 기장군 참샘길 124-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
54,54,장안사대웅전,부산 기장군 장안로 482-0,역사관광지,문화유적지,Gijang-gun,부산 기장군 장안로 482,35.3706495,129.2157318
55,55,기장죽성리왜성,부산 기장군,역사관광지,문화유적지,Gijang-gun,부산 기장군,35.2446,129.223
56,56,기장군청차성아트홀,부산 기장군 기장대로 560-0,공연/행사,공연장,Gijang-gun,부산 기장군 기장대로 560,35.2443679,129.22221599536627
57,57,광명사,부산 기장군 정관로 1070-140,역사관광지,절,Gijang-gun,부산 기장군 정관로 1070,35.3222563,129.1940209
58,58,청량사,부산 기장군 임밖길 12-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
