,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,gu,주소,위도,경도,cnt
0,금곡도서관,부산 북구 효열로203번길 34-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 효열로203번길 34-0,35.26301,129.01751,65
1,수덕사,부산 북구 상학산복길 107-0,역사관광지,절,Buk-gu,부산 북구 상학산복길 107-0,35.2161314,129.0390534,65
2,구포대리마을커뮤니티센터,부산 북구 백양대로1172번길 18-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 백양대로1172번길 18-0,35.2064015,129.0055941,65
3,만덕사,부산 북구 구만덕로 63-13,역사관광지,절,Buk-gu,부산 북구 구만덕로 63-13,35.21487,129.04172,65
4,만덕사,부산 북구 덕천로386번길 47-18,역사관광지,절,Buk-gu,부산 북구 덕천로386번길 47-18,35.2081877,129.0448091,65
5,안심사,부산 북구 공해4길 98-100,역사관광지,절,Buk-gu,부산 북구,35.1969,128.9901999,65
6,장금선원,부산 북구 백양대로1074번길 5-15,역사관광지,절,Buk-gu,부산 북구 백양대로1074번길 5-15,35.2005081,128.9983132,65
7,옥천사,부산 북구 만덕1로104번가길 29-13,역사관광지,절,Buk-gu,부산 북구 만덕1로104번가길 29-13,35.2154544,129.0271738,65
8,수월선원,부산 북구 금곡대로92번길 36-0,역사관광지,절,Buk-gu,부산 북구 금곡대로92번길 36-0,35.2185429,129.006825,65
9,미륵사,부산 북구 백양대로1016번길 71-0,역사관광지,절,Buk-gu,부산 북구 백양대로1016번길 71-0,35.1970454,128.997499,65
10,맨발동무도서관,부산 북구 양달로 64-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 양달로 64,35.2430232,129.0178376,65
11,만덕사지,부산 북구,역사관광지,문화유적지,Buk-gu,부산 북구,35.1969,128.9901999,65
12,불암사,부산 북구 효열로162번길 180-22,역사관광지,절,Buk-gu,부산 북구 효열로162번길 180-22,35.2619265,129.0206561,65
13,금수선사,부산 북구 시랑로185번길 20-0,역사관광지,절,Buk-gu,부산 북구 시랑로185번길 20-0,35.1959609,129.0156785,65
14,문화예술플랫폼,부산 북구 구포만세길 113-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 구포만세길 113-0,35.2068781,128.9984907,65
15,솔밭작은도서관,부산 북구 금곡대로324번길 29-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 금곡대로324번길 29-0,35.2371832,129.0152816,65
16,창조문화활력센터,부산 북구 백양대로 1167-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 백양대로 1167,35.2035711,128.999641,65
17,금수사,부산 북구 시랑로185번길 20-0,역사관광지,절,Buk-gu,부산 북구 시랑로185번길 20-0,35.1959609,129.0156785,65
18,진홍사,부산 북구 효열로162번길 180-14,역사관광지,절,Buk-gu,부산 북구 효열로162번길 180-14,35.2619265,129.0206561,65
19,상학작은도서관,부산 북구 상학산복길 215-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 상학산복길 215,35.2171458,129.0402148,65
20,구룡사,부산 북구 금곡대로 66-19,역사관광지,절,Buk-gu,부산 북구 금곡대로 66-19,35.2697243,129.0189206,65
21,부산북구문화예술회관,부산 북구 금곡대로46번길 50-0,공연/행사,공연장,Buk-gu,부산 북구 금곡대로46번길 50-0,35.2143446,129.0056348,65
22,석불사,부산 북구 만덕고개길 143-79,역사관광지,절,Buk-gu,부산 북구 만덕고개길 143-79,35.2136508,129.0491704,65
23,메가박스덕천,부산 북구 만덕대로 23-0,공연/행사,극장,Buk-gu,부산 북구 만덕대로 23-0,35.2130268,129.0365374,65
24,만덕도서관,부산 북구 은행나무로 26-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 은행나무로 26-0,35.2078315,129.0374984,65
25,부산어촌민속관,부산 북구 학사로 128-0,문화시설,박물관/기념관,Buk-gu,부산 북구 학사로 128,35.2248365,129.0066949,65
26,CGV화명,부산 북구 화명대로 16-0,공연/행사,극장,Buk-gu,부산 북구 화명대로 16-0,35.2342187,129.0162219,65
27,만덕도서관오픈예정(2021년11월말),부산 북구 은행나무로 26-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 은행나무로 26-0,35.2078315,129.0374984,65
28,부산광역시립구포도서관,부산 북구 백양대로1016번다길 43-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 백양대로1016번다길 43-0,35.1947728,128.9955519,65
29,화명도서관,부산 북구 화명대로12번길 59-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 화명대로12번길 59-0,35.2330938,129.0092259,65
30,화명선원,부산 북구 금곡대로 358-0,역사관광지,절,Buk-gu,부산 북구 금곡대로 358,35.2697243,129.0189206,65
31,관음사,부산 북구 팽나무로56번길 13-0,역사관광지,절,Buk-gu,부산 북구 팽나무로56번길 13-0,35.2051258,129.0106218,65
32,무사이,부산 북구 산성로12번길 21-0,공연/행사,극장,Buk-gu,부산 북구 산성로12번길 21-0,35.2371832,129.0152816,65
33,화명수목원숲속작은도서관,부산 북구 산성로 299-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 산성로 299,35.24162,129.02244,65
34,관음사,부산 북구 만덕대로178번길 7-0,역사관광지,절,Buk-gu,부산 북구 만덕대로178번길 7-0,35.2121831,129.0242193,65
35,낙양사,부산 북구 백양대로1050번길 31-1,역사관광지,절,Buk-gu,부산 북구 백양대로1050번길 31-1,35.1986639,128.9972406,65
36,스트릿624,부산 북구 백양대로 1167-0,문화시설,문화생활시설기타,Buk-gu,부산 북구 백양대로 1167,35.2035711,128.999641,65
37,아세아극장,부산 북구 낙동대로 1704-0,공연/행사,극장,Buk-gu,부산 북구 낙동대로 1704,35.2080822,128.9983126,65
