중분류 카테고리,소분류 카테고리,검색건수
공연/행사,공연장,62634
공연/행사,극장,204464
기타관광지,공항,794105
기타관광지,관광단지,3180
기타관광지,관광명소기타,451401
기타관광지,관광안내소,2335
기타관광지,데이트코스,238
기타관광지,드라이브코스,68306
기타관광지,수영장,20525
기타관광지,운동장,249665
기타관광지,전망대,156282
기타관광지,정자,4251
기타관광지,체험농가,4203
기타관광지,촬영지,46883
기타관광지,축제,28867
기타관광지,카지노,767
기타관광지,특산물단지,3098
레포츠(육상/해상/항공),경륜장,4752
레포츠(육상/해상/항공),경마장,43273
레포츠(육상/해상/항공),골프장,581327
레포츠(육상/해상/항공),낚시,69030
레포츠(육상/해상/항공),눈썰매장,1567
레포츠(육상/해상/항공),레저/스포츠기타,285274
레포츠(육상/해상/항공),사격장,1367
레포츠(육상/해상/항공),수련장,22140
레포츠(육상/해상/항공),수상해양스포츠,64921
레포츠(육상/해상/항공),스케이트장,35820
레포츠(육상/해상/항공),승마장,4206
레포츠(육상/해상/항공),양궁/곡궁,344
레포츠(육상/해상/항공),여행/레저기타,26241
문화시설,과학관,61638
문화시설,문화생활시설기타,406139
문화시설,문화원,4767
문화시설,미술관,50879
문화시설,박물관/기념관,116079
문화시설,전시장,180987
문화시설,화랑/전시관,11430
쇼핑,농수축산물시장,462458
쇼핑,면세점,3629
쇼핑,살거리기타,33931
쇼핑,쇼핑기타,1590367
쇼핑,쇼핑센터,5775821
쇼핑,시장기타,110179
쇼핑,재래시장,581719
쇼핑,종합시장,237587
숙박,모텔/여관,514111
숙박,민박,984
숙박,숙박기타,15972
숙박,유스호스텔,8337
숙박,캠프장,55510
숙박,콘도/리조트,150191
숙박,펜션,61514
숙박,호텔,1996992
역사관광지,고택/생가/민속마을,2178
역사관광지,기념비,868
역사관광지,능묘,723
역사관광지,문화유적지,151589
역사관광지,성,4620
역사관광지,절,516390
역사관광지,탑,458
음식,먹거리기타,24198
음식,부페,79431
음식,분식,128988
음식,세계요리,137692
음식,음식점기타,173775
음식,음악카페,72
음식,이색카페,22353
음식,일식,281515
음식,전문음식점,1662123
음식,전통찻집,11907
음식,제과점,222395
음식,중식,218990
음식,카페기타,1440110
음식,커피전문점,766629
음식,테마카페,42774
음식,패밀리레스토랑,69141
음식,패스트푸드,632035
음식,한식,2626041
자연관광지,고개/재/령,8393
자연관광지,공원,871722
자연관광지,동굴,15360
자연관광지,등대,24140
자연관광지,명산,18223
자연관광지,방파제,165557
자연관광지,산림욕장,26897
자연관광지,섬,71532
자연관광지,약수터,3
자연관광지,자연휴양림,5099
자연관광지,저수지,13287
자연관광지,포구,21228
자연관광지,폭포/계곡,9444
자연관광지,항구,532816
자연관광지,해수욕장,1247625
자연관광지,호수,28
휴양관광지,놀거리기타,33835
휴양관광지,놀이시설,20557
휴양관광지,동식물원,96941
휴양관광지,수족관,46644
휴양관광지,온천,66598
휴양관광지,유원지,7238
휴양관광지,종합위락시설,37071
휴양관광지,테마파크,96947
