,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,구군명,구군명(영어)
0,해동용궁사,부산 기장군 용궁길 86-0,역사관광지,절,기장군,Gijang-gun
1,장안사,부산 기장군 장안로 482-0,역사관광지,절,기장군,Gijang-gun
2,아홉산숲,부산 기장군 미동길 37-1,휴양관광지,동식물원,기장군,Gijang-gun
3,국립부산과학관,부산 기장군 동부산관광6로 59-0,문화시설,과학관,기장군,Gijang-gun
4,아난티코브,부산 기장군 기장해안로 268-32,휴양관광지,종합위락시설,기장군,Gijang-gun
5,고리원자력홍보관,부산 기장군,문화시설,박물관/기념관,기장군,Gijang-gun
6,롯데시네마드라이브오시리아,부산 기장군,공연/행사,극장,기장군,Gijang-gun
7,CGV정관,부산 기장군 정관중앙로 45-0,공연/행사,극장,기장군,Gijang-gun
8,국립수산과학관,부산 기장군 기장해안로 216-0,문화시설,과학관,기장군,Gijang-gun
9,해광사,부산 기장군 기장해안로 340-0,역사관광지,절,기장군,Gijang-gun
10,메가박스정관,부산 기장군 정관6로 39-0,공연/행사,극장,기장군,Gijang-gun
11,기장도서관,부산 기장군 차성동로126번길 13-5,문화시설,문화생활시설기타,기장군,Gijang-gun
12,부산 칠드런스 뮤지엄,부산 기장군 기장해안로 172-0,휴양관광지,테마파크,기장군,Gijang-gun
13,고리스포츠문화센터,부산 기장군 해맞이로 454-0,문화시설,문화생활시설기타,기장군,Gijang-gun
14,정관온천,부산 기장군 정관8로 16-5,휴양관광지,온천,기장군,Gijang-gun
15,소원사,부산 기장군 정관중앙로 198-0,역사관광지,절,기장군,Gijang-gun
16,정관도서관,부산 기장군 정관중앙로 138-11,문화시설,문화생활시설기타,기장군,Gijang-gun
17,롯데시네마동부산아울렛,부산 기장군 기장해안로 147-0,공연/행사,극장,기장군,Gijang-gun
18,은진사,부산 기장군 고무로 271-47,역사관광지,절,기장군,Gijang-gun
19,히어로테마파크정관점,부산 기장군 정관중앙로 45-0,휴양관광지,테마파크,기장군,Gijang-gun
20,옥정사,부산 기장군 달음길 101-0,역사관광지,절,기장군,Gijang-gun
21,해동성취사,부산 기장군 일광로 429-0,역사관광지,절,기장군,Gijang-gun
22,안데르센극장,부산 기장군 장안로 211-0,공연/행사,공연장,기장군,Gijang-gun
23,정관박물관,부산 기장군 정관중앙로 122-0,문화시설,박물관/기념관,기장군,Gijang-gun
24,본다빈치스퀘어부산,부산 기장군 기장해안로 98-0,문화시설,화랑/전시관,기장군,Gijang-gun
25,안적사,부산 기장군 내리길 461-16,역사관광지,절,기장군,Gijang-gun
26,카덴96,부산 기장군 기장대로 1075-3,휴양관광지,온천,기장군,Gijang-gun
27,물조은온천,부산 기장군 반송로 1650-0,휴양관광지,온천,기장군,Gijang-gun
28,오랑대,부산 기장군,역사관광지,문화유적지,기장군,Gijang-gun
29,안데르센동화마을,부산 기장군,휴양관광지,놀거리기타,기장군,Gijang-gun
30,용왕당굿당,부산 기장군 기장해안로 767-0,역사관광지,절,기장군,Gijang-gun
31,보림사,부산 기장군,역사관광지,절,기장군,Gijang-gun
32,석탑사,부산 기장군 용수공단2길 70-14,역사관광지,절,기장군,Gijang-gun
33,기장향교,부산 기장군 차성로417번길 35-0,역사관광지,문화유적지,기장군,Gijang-gun
34,묘관음사,부산 기장군 해맞이로 253-38,역사관광지,절,기장군,Gijang-gun
35,백두사,부산 기장군 물방길 98-0,역사관광지,절,기장군,Gijang-gun
36,대라다목적도서관,부산 기장군 차성서로 86-0,문화시설,문화생활시설기타,기장군,Gijang-gun
37,정관어린이도서관,부산 기장군 정관8로 11-0,문화시설,문화생활시설기타,기장군,Gijang-gun
38,금산사,부산 기장군 신리길 17-37,역사관광지,절,기장군,Gijang-gun
39,롯데월드매직포레스트건축중(2022년03월개장예정),부산 기장군,휴양관광지,테마파크,기장군,Gijang-gun
40,기장문화원,부산 기장군 청강로74번길 35-6,문화시설,문화원,기장군,Gijang-gun
41,브릭캠퍼스부산,부산 기장군 동부산관광로 8-0,문화시설,화랑/전시관,기장군,Gijang-gun
42,롯데월드매직포레스트건축중(2022년02월25일개장예정),부산 기장군,휴양관광지,테마파크,기장군,Gijang-gun
43,박태준기념관,부산 기장군 임랑해안길 1-0,문화시설,박물관/기념관,기장군,Gijang-gun
44,가마골소극장,부산 기장군 이천6길 2-0,공연/행사,극장,기장군,Gijang-gun
45,갤러리예동,부산 기장군 미동길 7-20,문화시설,화랑/전시관,기장군,Gijang-gun
46,내리새라도서관,부산 기장군 기장대로 51-0,문화시설,문화생활시설기타,기장군,Gijang-gun
47,아난티워터하우스,부산 기장군 기장해안로 268-32,휴양관광지,온천,기장군,Gijang-gun
48,롯데월드어드벤처부산 건축중(2022년03월31일개장예정),부산 기장군,휴양관광지,테마파크,기장군,Gijang-gun
49,카스인부산,부산 기장군 차성서로 158-12,휴양관광지,수족관,기장군,Gijang-gun
50,척판암,부산 기장군 장안로 490-156,역사관광지,절,기장군,Gijang-gun
51,백운암,부산 기장군 임곡1길 114-0,역사관광지,절,기장군,Gijang-gun
52,국립부산어린이과학관,부산 기장군 동부산관광6로 59-0,문화시설,과학관,기장군,Gijang-gun
53,월명사,부산 기장군 참샘길 124-0,역사관광지,절,기장군,Gijang-gun
54,장안사대웅전,부산 기장군 장안로 482-0,역사관광지,문화유적지,기장군,Gijang-gun
55,기장죽성리왜성,부산 기장군,역사관광지,문화유적지,기장군,Gijang-gun
56,기장군청차성아트홀,부산 기장군 기장대로 560-0,공연/행사,공연장,기장군,Gijang-gun
57,광명사,부산 기장군 정관로 1070-140,역사관광지,절,기장군,Gijang-gun
58,청량사,부산 기장군 임밖길 12-0,역사관광지,절,기장군,Gijang-gun
59,고촌어울림도서관,부산 기장군 고촌로 51-0,문화시설,문화생활시설기타,기장군,Gijang-gun
60,모노플렉스오시리아,부산 기장군 동부산관광로 34-0,공연/행사,극장,기장군,Gijang-gun
61,국립부산어린이과학관건축중(2021년12월개관예정),부산 기장군 동부산관광6로 59-0,문화시설,과학관,기장군,Gijang-gun
62,고불사,부산 기장군 고촌로28번길 77-0,역사관광지,절,기장군,Gijang-gun
63,고반재,부산 기장군 석산길 39-5,문화시설,문화생활시설기타,기장군,Gijang-gun
64,지장암,부산 기장군 임기3길 88-24,역사관광지,절,기장군,Gijang-gun
65,봉림사,부산 기장군 부명1길 20-0,역사관광지,절,기장군,Gijang-gun
66,정암사,부산 기장군 곰내길 379-6,역사관광지,절,기장군,Gijang-gun
67,대천사,부산 기장군 제석골길 89-0,역사관광지,절,기장군,Gijang-gun
68,연암수목원,부산 기장군 철마천로 212-0,휴양관광지,동식물원,기장군,Gijang-gun
69,동림사,부산 기장군 기장대로 143-12,역사관광지,절,기장군,Gijang-gun
70,기장죽성리해송,부산 기장군 두호2길 20-0,역사관광지,문화유적지,기장군,Gijang-gun
71,극락암,부산 기장군 철마로 425-0,역사관광지,절,기장군,Gijang-gun
72,수도암,부산 기장군 홍류길 44-0,역사관광지,절,기장군,Gijang-gun
73,방곡사,부산 기장군 구연방곡로 87-0,역사관광지,절,기장군,Gijang-gun
74,꿈꾸는공방,부산 기장군 가동2길 4-0,문화시설,문화생활시설기타,기장군,Gijang-gun
75,원적사,부산 기장군 장곡길 63-34,역사관광지,절,기장군,Gijang-gun
76,초암사,부산 기장군 동서길 79-57,역사관광지,절,기장군,Gijang-gun
77,휴심사,부산 기장군 일광로 493-47,역사관광지,절,기장군,Gijang-gun
78,갤러리후아,부산 기장군 곰내길 242-0,문화시설,문화생활시설기타,기장군,Gijang-gun
79,보원사,부산 기장군 양수길 7-11,역사관광지,절,기장군,Gijang-gun
80,도선사,부산 기장군 상곡길 116-0,역사관광지,절,기장군,Gijang-gun
81,선바위유원지,부산 기장군,휴양관광지,유원지,기장군,Gijang-gun
82,고려암,부산 기장군 화전2길 51-0,역사관광지,절,기장군,Gijang-gun
83,덕주사,부산 기장군 장곡길 63-10,역사관광지,절,기장군,Gijang-gun
84,수효사,부산 기장군 방모산2길 20-23,역사관광지,절,기장군,Gijang-gun
85,대성사,부산 기장군 달음길 30-18,역사관광지,절,기장군,Gijang-gun
86,횡금사,부산 기장군 곡천길 286-320,역사관광지,절,기장군,Gijang-gun
87,기장도예관,부산 기장군 임랑해안길 82-0,문화시설,화랑/전시관,기장군,Gijang-gun
88,원효대,부산 기장군 상곡길 45-8,역사관광지,절,기장군,Gijang-gun
89,묘법사,부산 기장군,역사관광지,절,기장군,Gijang-gun
90,국립부산어린이과학관건축중(2022년1월개관예정),부산 기장군 동부산관광6로 59-0,문화시설,과학관,기장군,Gijang-gun
91,장안요,부산 기장군 하장안1길 24-0,문화시설,문화생활시설기타,기장군,Gijang-gun
92,약수정사,부산 기장군 이화로 109-29,역사관광지,절,기장군,Gijang-gun
93,용주사,부산 기장군 일광로 435-6,역사관광지,절,기장군,Gijang-gun
