,순위,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수,구군명
893,894,스포원파크싸이드롬,부산 금정구 체육공원로399번길 324-0,레포츠(육상/해상/항공),경륜장,4752,금정구
3377,3373,렛츠런CCC부산연제지점,부산 연제구 월드컵대로164번길 26-0,레포츠(육상/해상/항공),경마장,976,연제구
2951,2949,렛츠런CCC부산동구지점,부산 동구 자성로 134-0,레포츠(육상/해상/항공),경마장,1210,동구
100,101,렛츠런파크부산경남,부산 강서구 가락대로 929-0,레포츠(육상/해상/항공),경마장,41087,강서구
6675,6667,대연동고개,부산 남구,자연관광지,고개/재/령,292,남구
9841,9817,갈치고개,부산 기장군,자연관광지,고개/재/령,122,기장군
3459,3457,문현장고개,부산 남구,자연관광지,고개/재/령,940,남구
10341,10336,곰내재,부산 기장군,자연관광지,고개/재/령,108,기장군
5227,5227,부암새고개,부산 부산진구,자연관광지,고개/재/령,471,부산진구
13379,13322,산성고개,부산 금정구,자연관광지,고개/재/령,57,금정구
1599,1600,대티고개,부산 사하구,자연관광지,고개/재/령,2557,사하구
4966,4965,신평배고개,부산 사하구,자연관광지,고개/재/령,520,사하구
16809,16695,전포새고개,부산 남구,자연관광지,고개/재/령,31,남구
1263,1264,서동고갯길,부산 금정구,자연관광지,고개/재/령,3295,금정구
22419,22150,이태석신부생가,부산 서구 해양로22번길 12-0,역사관광지,고택/생가/민속마을,14,서구
25405,25273,상현재실,부산 금정구 상현로105번길 90-0,역사관광지,고택/생가/민속마을,9,금정구
1879,1880,정묘사,부산 부산진구,역사관광지,고택/생가/민속마을,2155,부산진구
6928,6926,골프존파크대연동진스크린점,부산 남구 황령대로319번가길 137-0,레포츠(육상/해상/항공),골프장,267,남구
7444,7434,골프존파크다대나이스골프점,부산 사하구 다송로84번길 42-0,레포츠(육상/해상/항공),골프장,228,사하구
20672,20247,마린스크린골프,부산 수영구 광남로 33-0,레포츠(육상/해상/항공),골프장,18,수영구
2323,2322,드림스크린골프아카데미,부산 북구 화명대로94번길 116-0,레포츠(육상/해상/항공),골프장,1698,북구
32072,31312,서면대우디오빌실내골프연습장,부산 부산진구 전포대로 274-0,레포츠(육상/해상/항공),골프장,4,부산진구
2818,2819,명진골프클럽안락점,부산 동래구 안남로 108-0,레포츠(육상/해상/항공),골프장,1296,동래구
2332,2332,골프존파크부전티티스크린점,부산 부산진구 부전로 57-0,레포츠(육상/해상/항공),골프장,1689,부산진구
2355,2356,타가스크린골프,부산 사상구 새벽시장로 100-0,레포츠(육상/해상/항공),골프장,1668,사상구
20724,20681,윤프로골프스크린,부산 북구 금곡대로 344-0,레포츠(육상/해상/항공),골프장,17,북구
7399,7384,하나골프연습장,부산 사상구 새벽로 218-0,레포츠(육상/해상/항공),골프장,231,사상구
20754,20681,홀인원스크린골프,부산 사하구 을숙도대로 713-0,레포츠(육상/해상/항공),골프장,17,사하구
20774,20681,현대골프장&스크린,부산 북구 백양대로1064번길 4-0,레포츠(육상/해상/항공),골프장,17,북구
7326,7327,마스터골프연습장,부산 기장군 읍내로 28-0,레포츠(육상/해상/항공),골프장,235,기장군
7325,7317,윈스크린골프,부산 해운대구 해운대로774번길 11-0,레포츠(육상/해상/항공),골프장,236,해운대구
2415,2416,정관골프클럽,부산 기장군 곰내길 593-16,레포츠(육상/해상/항공),골프장,1603,기장군
2296,2297,더킹스크린골프,부산 해운대구 해운대로76번길 16-0,레포츠(육상/해상/항공),골프장,1720,해운대구
20577,20247,로데오골프아카데미,부산 해운대구 좌동순환로 473-0,레포츠(육상/해상/항공),골프장,18,해운대구
20575,20247,나이스골프,부산 사하구 다송로84번길 42-0,레포츠(육상/해상/항공),골프장,18,사하구
20826,20681,에스골프피팅센터,부산 사상구 사상로 71-0,레포츠(육상/해상/항공),골프장,17,사상구
20140,19858,골프존파크초읍빅토리점,부산 부산진구 성지로 94-0,레포츠(육상/해상/항공),골프장,19,부산진구
20173,19858,F2동경실내골프연습장,부산 동래구 미남로 122-0,레포츠(육상/해상/항공),골프장,19,동래구
6742,6737,모전스크린골프,부산 기장군 정관로 391-0,레포츠(육상/해상/항공),골프장,285,기장군
20183,19858,프렌즈스크린장산점,부산 해운대구 해운대로 793-0,레포츠(육상/해상/항공),골프장,19,해운대구
6783,6781,골프존파크다대MK골프존,부산 사하구 다대낙조2길 85-0,레포츠(육상/해상/항공),골프장,281,사하구
2243,2243,골프존파크반여잼스점,부산 해운대구 반여로155번길 10-0,레포츠(육상/해상/항공),골프장,1764,해운대구
7560,7561,365스크린골프,부산 강서구 명지국제8로 284-0,레포츠(육상/해상/항공),골프장,219,강서구
7465,7452,GDR아카데미부산중동2호점,부산 해운대구 좌동순환로 395-0,레포츠(육상/해상/항공),골프장,227,해운대구
7536,7530,M스크린골프,부산 동래구 금강로 132-6,레포츠(육상/해상/항공),골프장,221,동래구
7529,7530,조은골프골프연습장,부산 금정구 금샘로488번길 5-0,레포츠(육상/해상/항공),골프장,221,금정구
7509,7509,골프존파크부곡골드스크린점,부산 금정구 중앙대로1685번길 7-0,레포츠(육상/해상/항공),골프장,223,금정구
20433,20247,SG골프강남스크린,부산 강서구 공항로791번길 8-0,레포츠(육상/해상/항공),골프장,18,강서구
2278,2278,GDR아카데미부산센텀점,부산 해운대구 센텀3로 20-0,레포츠(육상/해상/항공),골프장,1739,해운대구
7474,7468,레몬스크린골프,부산 기장군 정관로 595-0,레포츠(육상/해상/항공),골프장,226,기장군
32246,31312,W골프스튜디오,부산 해운대구 마린시티3로 37-0,레포츠(육상/해상/항공),골프장,4,해운대구
