구군명,gu,소계,인구(천명),인구 대비 문화시설비
강서구,Gangseo-gu,54,137.957,0.3914263139963902
금정구,Geumjeong-gu,133,232.666,0.5716348757446297
기장군,Gijang-gun,153,174.545,0.8765647827207884
남구,Nam-gu,85,267.731,0.31748284658855347
동구,Dong-gu,80,88.901,0.8998773917053802
동래구,Dongnae-gu,98,270.745,0.3619642098653715
부산진구,Busanjin-gu,127,359.886,0.3528895261277182
북구,Buk-gu,65,283.952,0.22891192877669467
사상구,Sasang-gu,56,212.586,0.2634228030067831
사하구,Saha-gu,68,311.757,0.21811859878046042
서구,Seo-gu,55,108.135,0.5086234799093725
수영구,Suyeong-gu,77,176.894,0.43528893009372843
연제구,Yeonje-gu,55,209.157,0.26296035992101624
영도구,Yeongdo-gu,60,113.342,0.529371283372448
중구,Jung-gu,57,41.523,1.3727331840184958
해운대구,Haeundae-gu,159,402.169,0.3953561811079422
